Giocatore,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs.1,Att,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,SCA,Passaggio Live,Passaggio Dead,A,Falli,Def.,GCA,Passaggio Live.1,Passaggio Dead.1,A.1,Tiri.1,Falli.1,Def..1,Compl.,"Tent,",Dist. Tot.,Dist. Prog.,Compl..1,"Tent,.1",Compl..2,"Tent,.2",Compl..3,"Tent,.3",Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Fuorigioco,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,KP,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Squadra,Paese,Competizione
A. Bastoni,36.5,22.5,21.0,10.5,5.0,14.0,28.5,14.5,21.5,10.5,11.0,21.5,58.0,40.0,0.0,50.0,41.5,2.5,0.5,2.5,0.5,3.5,2.5,0.5,0.0,0.0,0.5,0.0,1281.0,1515.0,25325.5,8800.0,474.5,513.0,608.0,671.0,182.5,275.0,1.0,2.75,2.8,-1.75,15.5,110.0,26.0,10.0,119.5,1384.5,123.5,48.5,1.5,22.0,52.0,61.5,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter,it ITA,1. Serie A
A. Buongiorno,43.0,26.5,26.0,15.5,1.5,15.5,28.0,12.5,27.0,15.0,12.0,52.0,95.0,95.5,1.0,18.5,14.0,0.0,0.0,1.0,2.0,2.5,1.5,0.0,0.0,0.5,0.5,0.0,976.0,1161.0,16419.5,5164.5,423.5,477.0,490.0,550.0,46.0,88.0,1.0,0.7000000000000001,0.7,0.3,5.5,45.5,4.5,2.0,62.0,1132.5,26.0,20.0,1.0,2.5,5.5,3.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torino,it ITA,1. Serie A
A. Cambiaso,42.5,27.0,25.0,14.0,3.5,22.5,48.0,25.5,23.0,1.5,21.5,16.5,59.0,25.5,0.5,50.5,39.0,2.5,4.0,2.5,0.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,962.0,1145.5,14812.0,4038.0,517.0,569.5,357.5,410.5,59.5,98.0,3.0,2.45,1.95,0.55,23.0,36.5,17.0,6.5,59.5,993.0,149.5,15.5,0.5,6.0,53.0,127.5,6.0,1.5,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bologna,it ITA,1. Serie A
A. Conti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.5,49.0,12.5,3.5,4.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sampdoria,it ITA,1. Serie A
A. Dossena,39.5,24.0,30.0,9.5,0.0,19.5,32.5,13.0,33.5,18.0,15.5,33.0,72.5,115.5,1.0,18.0,13.0,0.5,0.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,768.5,932.5,16740.0,5571.0,190.0,218.5,440.0,497.0,132.0,191.0,1.5,1.1,0.65,0.4,6.0,42.5,1.5,0.0,61.0,903.5,26.5,24.5,1.5,11.5,1.0,1.5,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cagliari,it ITA,2. Serie B
A. Ferrari,20.5,12.0,16.5,3.5,0.5,14.5,23.0,8.5,12.5,4.5,8.0,16.5,37.0,27.0,0.5,3.5,2.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.5,317.0,4746.5,1783.5,93.0,111.0,130.5,150.0,25.0,47.0,0.0,0.05,0.1,-0.05,2.0,15.5,3.0,0.5,15.5,291.0,26.0,13.0,0.0,2.0,3.0,12.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cremonese,it ITA,1. Serie A
A. Florenzi,20.5,10.5,12.0,6.0,2.5,12.0,24.0,12.0,7.0,3.5,3.5,9.5,30.0,10.0,0.5,30.0,19.0,7.0,0.0,1.0,0.5,1.5,1.0,0.5,0.0,0.0,0.0,0.0,428.0,526.5,7766.5,2545.5,178.5,190.5,193.5,224.0,47.0,93.5,1.0,1.1,1.4500000000000002,-0.1,15.5,35.0,9.0,5.5,40.0,435.5,89.5,20.5,0.0,7.0,45.5,51.5,17.5,9.0,7.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milan,it ITA,1. Serie A
A. Gravillon,16.0,11.5,9.0,6.0,1.0,8.0,13.0,5.0,18.0,9.0,9.0,23.0,37.0,36.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,330.0,445.0,6298.0,2474.0,127.0,157.0,159.0,191.0,38.0,75.0,0.0,0.4,0.6,-0.4,3.0,31.0,4.0,2.0,38.0,384.0,58.0,19.0,2.0,5.0,10.5,39.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reims,fr FRA,1. Ligue 1
A. Ismajli,29.0,21.5,18.5,9.5,1.0,15.0,19.5,4.5,35.0,23.0,12.0,22.5,51.5,108.0,0.5,10.5,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,929.5,15620.5,5433.5,240.0,262.5,458.0,505.0,82.0,134.5,0.0,0.2,0.30000000000000004,-0.2,4.0,31.0,2.5,0.0,40.0,870.5,57.0,27.5,1.0,3.0,1.0,13.5,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empoli,it ITA,1. Serie A
A. Izzo,43.5,30.0,26.0,16.5,1.0,16.5,27.5,11.0,18.0,10.5,7.5,31.0,74.5,54.5,1.0,18.0,15.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,958.0,1088.0,17703.5,5455.5,365.0,390.0,483.5,526.0,94.5,146.0,0.0,0.65,1.0,-0.65,9.5,58.5,5.0,1.0,62.5,1023.5,61.5,44.0,0.5,11.0,5.0,14.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monza,it ITA,1. Serie A
