Nome Giocatore,Partite Giocate,Minuti Giocati,Gol Fatti,Tiri in Porta,Dribbling Riusciti,Occasioni Sprecate,Dribbling Tentati,Partite - Passaggi,Minuti - Passaggi,Totale Passaggi,Passaggi Riusciti,Percentuale Passaggi Riusciti,Passaggi Chiave,Occasioni Create,Cross Riusciti,Porta Invulnerata,Falli Subiti,Cartellini Gialli,Cartellini Rossi,Palloni Rubati,Tackle Riusciti,Partite - Azioni Difensive,Minuti - Azioni Difensive,Intercept,Palloni Recuperati,Duelli Aerei/Terra Vinti,Duelli Aerei/Terra Persi,Errori Decisionali,Tackle - Azioni Difensive,Contropiedi,Contropiedi Vinti,Transizioni Difensive,Transizioni Centrali,Transizioni Offensive,Attacchi,Palloni Persi,Blocchi Effettuati,Tiri Effettuati,Tipo Passaggio,Intercettazioni,Tackle + Intercettazioni,Salvataggi,Errori,Azione Creata,Passaggi Live,Passaggi Dead,Assist,Azione Difensiva,Azione Gol Creata,Passaggi Completati,Tentativi,Distanza Totale Percorsa,Distanza Progressiva,Expected Assists Gol,Expected Assists,Differenza tra Assist Attesi e Gol,Palle Ferme,Entrate nel Terzo Finale,Passaggi Penetranti nell'Area,Cross nell'Area di Rigore,Passaggi Progressivi,Palla in Gioco,Palla Fuori Gioco,Punizioni,Passaggi Filtranti,Scambi Palla,Rimesse Laterali,Calci d'Angolo,Conversioni,Divise,Direzione,Posizioni di Fuorigioco,Contesti,Interceptazioni,Falli Commessi,Fuorigioco,Spazi,Dribbling,Respinte,Valutazione Giocatore
A. Bastoni,0.6805555555555555,0.6247544204322201,0.125,0.25,0.13,0.09090909090909091,0.125,0.6805555555555555,0.6247544204322201,0.49839285714285714,0.48018053375196235,0.8793500000000001,0.2831858407079646,0.6521739130434783,0.19008264462809918,0.6666666666666666,0.3275862068965517,0.36363636363636365,0.0,0.44949494949494956,0.5104895104895105,0.6805555555555555,0.6247544204322201,0.33333333333333337,0.44949494949494956,0.49999999999999994,0.42024539877300615,0.0,0.5104895104895105,0.5214285714285715,0.5294117647058824,0.42,0.375,0.5,0.5,0.537037037037037,0.4215686274509804,0.30434782608695654,0.3728813559322034,0.4134615384615385,0.43609022556390975,0.27303754266211605,0.0,0.4975124378109453,0.4797687861271676,0.056179775280898875,0.07142857142857142,0.125,0.3684210526315789,0.6118939574874612,0.6622950819672131,0.6857982317180498,0.6276299835960345,0.41353383458646614,0.5233644859813085,0.16129032258064518,0.27678571428571425,0.658682634730539,0.4193548387096774,0.38461538461538464,0.5184381778741866,0.6204346851893345,0.2630457933972311,0.5705882352941176,0.16666666666666666,0.5432098765432098,0.21061643835616436,0.0,0.0,0.0,0.0,0.7000000000000001,0.5,0.38095238095238093,0.2333333333333333,0.2,0.27450980392156865,0.35294117647058826,0.28571428571428575,0.9421720733427362
A. Buongiorno,0.736111111111111,0.7154551407989522,0.5,0.21428571428571427,0.06,0.18181818181818182,0.075,0.736111111111111,0.7154551407989522,0.4110714285714286,0.3818681318681319,0.8421500000000001,0.09734513274336283,0.13043478260869565,0.03305785123966942,0.6666666666666666,0.48275862068965514,0.5909090909090909,0.0,0.8080808080808082,0.6153846153846154,0.736111111111111,0.7154551407989522,0.8030303030303031,0.8080808080808082,0.7831632653061223,0.7239263803680982,0.25,0.6153846153846154,0.6142857142857142,0.6235294117647059,0.52,0.5535714285714285,0.15000000000000002,0.49122807017543857,0.4629629629629629,0.5294117647058824,0.43478260869565216,0.4067796610169492,1.0,0.7142857142857142,0.6518771331058021,0.3333333333333333,0.18407960199004975,0.16184971098265896,0.0,0.0,0.5,0.2631578947368421,0.4662049199904466,0.5075409836065574,0.444629486710806,0.36834034662292275,0.10526315789473685,0.13084112149532712,0.6021505376344085,0.09821428571428571,0.2724550898203593,0.07258064516129031,0.07692307692307693,0.26898047722342733,0.5075061617745911,0.05537806176783813,0.23529411764705882,0.1111111111111111,0.06172839506172839,0.010273972602739725,0.0,0.0,0.0,0.0,0.25,0.3928571428571429,0.8571428571428571,0.6333333333333333,0.3,0.5686274509803922,0.23529411764705885,0.42857142857142855,0.9548660084626234
A. Cambiaso,0.7638888888888888,0.6060903732809431,0.125,0.39285714285714285,0.46,0.2727272727272727,0.45,0.7638888888888888,0.6060903732809431,0.34339285714285717,0.3269230769230769,0.8704,0.39823008849557523,0.30434782608695654,0.18181818181818182,0.36666666666666664,0.3620689655172414,0.3181818181818182,0.0,0.43939393939393945,0.6013986013986014,0.7638888888888888,0.6060903732809431,0.25,0.43939393939393945,0.4744897959183673,0.6349693251533742,0.0,0.6013986013986014,0.6071428571428571,0.6352941176470588,0.5,0.5,0.35000000000000003,0.8421052631578947,0.9444444444444444,0.45098039215686275,0.043478260869565216,0.7288135593220338,0.31730769230769235,0.44360902255639095,0.17406143344709898,0.16666666666666666,0.5024875621890548,0.4508670520231214,0.056179775280898875,0.5714285714285714,0.125,0.631578947368421,0.459517554334846,0.5007650273224044,0.40109942185574826,0.28799657656372585,0.3684210526315789,0.36448598130841126,0.6559139784946236,0.4107142857142857,0.218562874251497,0.27419354838709675,0.25,0.25813449023861174,0.44499215774142953,0.31842385516506927,0.18235294117647058,0.05555555555555555,0.14814814814814814,0.4366438356164383,0.049792531120331954,0.031914893617021274,0.0392156862745098,0.0,0.30000000000000004,0.6428571428571429,0.38095238095238093,0.26666666666666666,0.1,0.15686274509803924,0.7058823529411765,0.07142857142857144,0.9294781382228491
A. Carboni,0.4722222222222222,0.38834315651604456,0.25,0.21428571428571427,0.02,0.5454545454545454,0.03,0.4722222222222222,0.38834315651604456,0.28964285714285715,0.2798273155416013,0.8792,0.10619469026548672,0.0,0.049586776859504134,0.26666666666666666,0.08620689655172414,0.09090909090909091,0.0,0.2828282828282829,0.44755244755244755,0.4722222222222222,0.38834315651604456,0.16666666666666669,0.2828282828282829,0.29081632653061223,0.20858895705521474,0.0,0.44755244755244755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428571428575,0.38095238095238093,0.09999999999999999,0.3,0.05882352941176471,0.4705882352941177,0.35714285714285715,0.8377997179125529
A. Conti,0.027777777777777776,0.007203667321545515,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.007203667321545515,0.0025,0.0011773940345368918,0.4286,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.027777777777777776,0.007203667321545515,0.0,0.0,0.00510204081632653,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019106759016001911,0.0028415300546448087,0.00132688844659274,0.0008915198630625491,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0021691973969631237,0.002016580775263276,0.004259850905218318,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8279266572637518
A. Di Pardo,0.3055555555555555,0.07400130975769482,0.0,0.0,0.0,0.0,0.04,0.3055555555555555,0.07400130975769482,0.03214285714285714,0.023940345368916798,0.6778000000000001,0.05309734513274336,0.0,0.049586776859504134,0.0,0.0,0.0,0.0,0.05050505050505051,0.04195804195804196,0.3055555555555555,0.07400130975769482,0.06060606060606061,0.05050505050505051,0.02551020408163265,0.07975460122699386,0.0,0.04195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Dossena,0.75,0.7442698100851343,0.5,0.3571428571428571,0.06,0.36363636363636365,0.05,0.75,0.7442698100851343,0.36857142857142855,0.3304552590266876,0.8159000000000001,0.1592920353982301,0.34782608695652173,0.0,0.26666666666666666,0.5172413793103449,0.36363636363636365,0.0,0.6767676767676768,0.6573426573426573,0.75,0.7442698100851343,0.5606060606060607,0.6767676767676768,0.8214285714285714,0.6503067484662577,0.5,0.6573426573426573,0.5642857142857143,0.5647058823529412,0.6,0.33928571428571425,0.0,0.5701754385964912,0.48148148148148145,0.6568627450980392,0.5217391304347826,0.5254237288135594,0.6346153846153847,0.5451127819548872,0.78839590443686,0.3333333333333333,0.1791044776119403,0.15028901734104044,0.011235955056179775,0.0,0.25,0.15789473684210525,0.3670886075949367,0.40765027322404374,0.4533084203257646,0.3973325725697169,0.16541353383458646,0.12149532710280375,0.6236559139784946,0.10714285714285714,0.25449101796407186,0.024193548387096774,0.0,0.2646420824295011,0.4048846067667488,0.05644302449414271,0.28823529411764703,0.16666666666666666,0.2839506172839506,0.005136986301369863,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Ferrari,0.7777777777777777,0.6152586771447283,0.0,0.0,0.14,0.0,0.14,0.7777777777777777,0.6152586771447283,0.3132142857142857,0.2755102040816327,0.8005,0.10619469026548672,0.08695652173913043,0.01652892561983471,0.13333333333333333,0.3448275862068966,0.5454545454545454,0.0,0.7272727272727273,0.6853146853146853,0.7777777777777777,0.6152586771447283,0.6666666666666667,0.7272727272727273,0.5714285714285714,0.4171779141104295,0.0,0.6853146853146853,0.29285714285714287,0.2823529411764706,0.33,0.125,0.05,0.40350877192982454,0.31481481481481477,0.24509803921568626,0.13043478260869565,0.2711864406779661,0.31730769230769235,0.2781954887218045,0.18430034129692832,0.16666666666666666,0.03482587064676617,0.028901734104046242,0.0,0.07142857142857142,0.0,0.0,0.11965607833771197,0.1385792349726776,0.12853216350515184,0.1272020540617645,0.007518796992481203,0.01869158878504673,0.5268817204301075,0.03571428571428571,0.09281437125748504,0.04838709677419355,0.019230769230769232,0.06724511930585683,0.1304055568003585,0.05537806176783813,0.15294117647058825,0.0,0.04938271604938271,0.04280821917808219,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.7619047619047619,0.16666666666666666,0.1,0.5294117647058825,0.5294117647058824,0.21428571428571427,0.922425952045134
A. Ferrari,0.7777777777777777,0.6152586771447283,0.0,0.0,0.14,0.0,0.14,0.7777777777777777,0.6152586771447283,0.3132142857142857,0.2755102040816327,0.8005,0.10619469026548672,0.08695652173913043,0.01652892561983471,0.13333333333333333,0.3448275862068966,0.5454545454545454,0.0,0.7272727272727273,0.6853146853146853,0.7777777777777777,0.6152586771447283,0.6666666666666667,0.7272727272727273,0.5714285714285714,0.4171779141104295,0.0,0.6853146853146853,0.29285714285714287,0.2823529411764706,0.33,0.125,0.05,0.40350877192982454,0.31481481481481477,0.24509803921568626,0.13043478260869565,0.2711864406779661,0.31730769230769235,0.2781954887218045,0.18430034129692832,0.16666666666666666,0.03482587064676617,0.028901734104046242,0.0,0.07142857142857142,0.0,0.0,0.11965607833771197,0.1385792349726776,0.12853216350515184,0.1272020540617645,0.007518796992481203,0.01869158878504673,0.5268817204301075,0.03571428571428571,0.09281437125748504,0.04838709677419355,0.019230769230769232,0.06724511930585683,0.1304055568003585,0.05537806176783813,0.15294117647058825,0.0,0.04938271604938271,0.04280821917808219,0.0,0.0,0.0,0.0,0.0,0.28571428571428575,0.7619047619047619,0.3333333333333333,0.8,0.3921568627450981,0.17647058823529413,0.5714285714285715,0.8984485190409027
A. Florenzi,0.41666666666666663,0.22855271774721678,0.0,0.3214285714285714,0.01,0.09090909090909091,0.04,0.41666666666666663,0.22855271774721678,0.15267857142857144,0.14403453689167975,0.8244499999999999,0.2743362831858407,0.043478260869565216,0.24793388429752067,0.2,0.06896551724137931,0.2727272727272727,0.0,0.196969696969697,0.2867132867132867,0.41666666666666663,0.22855271774721678,0.14393939393939395,0.196969696969697,0.14540816326530612,0.18404907975460122,0.0,0.2867132867132867,0.29285714285714287,0.24705882352941178,0.24,0.21428571428571427,0.25,0.42105263157894735,0.4444444444444444,0.13725490196078433,0.10144927536231885,0.11864406779661017,0.1826923076923077,0.22556390977443608,0.06825938566552901,0.16666666666666666,0.29850746268656714,0.21965317919075145,0.15730337078651685,0.0,0.125,0.15789473684210525,0.20444232147122046,0.2301639344262295,0.21031181878494928,0.18154910491405749,0.16541353383458646,0.27102803738317766,0.5161290322580645,0.27678571428571425,0.2095808383233533,0.14516129032258063,0.21153846153846156,0.1735357917570499,0.19516020613936813,0.19062832800851973,0.2411764705882353,0.0,0.1728395061728395,0.1763698630136986,0.14522821576763487,0.19148936170212766,0.13725490196078433,0.0,0.15000000000000002,0.35714285714285715,0.3333333333333333,0.09999999999999999,0.0,0.03921568627450981,0.29411764705882354,0.0,0.92524682651622
