Giocatore,Presenze,Minuti,Goal,Tiri Porta,Dribb Riusciti,Chance Fallite,Dribb Tentati,Presenze_passaggi,Minuti_passaggi,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Presenze_portieri,Minuti_portieri,Parate,Clean Sheet,Goal Subiti,Rig Parati,Rig Subiti,Presenze_generale,Minuti_generale,Goal_generale,Pass Riusciti_generale,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet_generale,Presenze_azioni_difensive,Minuti_azioni_difensive,Intercetti,Rubati,Duelli Vinti,Duelli Persi,Errori Dec,Autogol,Tackle_azioni_difensive
A. Bastoni,24.5,1908.0,0.5,3.5,6.5,0.5,12.5,24.5,1908.0,1395.5,1223.5,87.935,16.0,7.5,51.5,11.5,24.5,1908.0,0.0,10.0,17.5,0.0,2.0,24.5,1908.0,0.5,1223.5,21.5,19.0,4.0,0.0,44.5,36.5,10.0,24.5,1908.0,22.0,44.5,98.0,68.5,0.0,0.0,36.5
A. Buongiorno,26.5,2185.0,2.0,3.0,3.0,1.0,7.5,26.5,2185.0,1151.0,973.0,84.215,5.5,1.5,5.5,2.0,26.5,2185.0,0.0,10.0,21.0,0.0,3.0,26.5,2185.0,2.0,973.0,55.5,28.0,6.5,0.0,80.0,44.0,10.0,26.5,2185.0,53.0,80.0,153.5,118.0,0.5,0.0,44.0
A. Cambiaso,27.5,1851.0,0.5,5.5,23.0,1.5,45.0,27.5,1851.0,961.5,833.0,87.03999999999999,22.5,3.5,53.5,11.0,27.5,1851.0,0.0,5.5,20.5,0.0,1.5,27.5,1851.0,0.5,833.0,24.0,21.0,3.5,0.0,43.5,43.0,5.5,27.5,1851.0,16.5,43.5,93.0,103.5,0.0,0.0,43.0
A. Carboni,17.0,1186.0,1.0,3.0,1.0,3.0,3.0,17.0,1186.0,811.0,713.0,87.92,6.0,0.0,15.0,3.0,17.0,1186.0,0.0,4.0,15.0,0.0,2.0,17.0,1186.0,1.0,713.0,10.0,5.0,1.0,0.0,28.0,32.0,4.0,17.0,1186.0,11.0,28.0,57.0,34.0,0.0,0.0,32.0
A. Conti,1.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,7.0,3.0,42.86,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
A. Di Pardo,11.0,226.0,0.0,0.0,0.0,0.0,4.0,11.0,226.0,90.0,61.0,67.78,3.0,0.0,13.0,3.0,11.0,226.0,0.0,0.0,5.0,0.0,0.0,11.0,226.0,0.0,61.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,11.0,226.0,4.0,5.0,5.0,13.0,0.0,0.0,3.0
A. Dossena,27.0,2273.0,2.0,5.0,3.0,2.0,5.0,27.0,2273.0,1032.0,842.0,81.59,9.0,4.0,1.0,0.0,27.0,2273.0,0.0,4.0,40.0,0.0,1.0,27.0,2273.0,2.0,842.0,28.0,30.0,4.0,0.0,67.0,47.0,4.0,27.0,2273.0,37.0,67.0,161.0,106.0,1.0,1.0,47.0
A. Ferrari,28.0,1879.0,0.0,0.0,7.0,0.0,14.0,28.0,1879.0,877.0,702.0,80.05,6.0,1.0,10.0,1.0,28.0,1879.0,0.0,2.0,39.0,0.0,4.0,28.0,1879.0,0.0,702.0,20.0,20.0,6.0,0.0,72.0,49.0,2.0,28.0,1879.0,44.0,72.0,112.0,68.0,0.0,0.0,49.0
A. Florenzi,15.0,698.0,0.0,4.5,0.5,0.5,4.0,15.0,698.0,427.5,367.0,82.445,15.5,0.5,45.5,15.0,15.0,698.0,0.0,3.0,7.0,0.0,2.5,15.0,698.0,0.0,367.0,6.0,4.0,3.0,0.0,19.5,20.5,3.0,15.0,698.0,9.5,19.5,28.5,30.0,0.0,0.0,20.5
A. Gallo,28.0,2033.5,0.0,1.5,11.0,0.5,21.5,28.0,2033.5,783.5,560.0,71.9,33.5,3.5,85.5,25.0,28.0,2033.5,0.0,4.0,29.5,0.0,2.5,28.0,2033.5,0.0,560.0,9.0,14.5,2.5,0.5,40.5,41.5,4.0,28.0,2033.5,13.0,40.5,85.5,65.0,0.0,1.0,41.5
A. Gravillon,7.0,312.0,0.0,0.0,1.0,0.0,2.0,7.0,312.0,157.0,129.0,82.17,0.0,0.0,3.0,0.0,7.0,312.0,0.0,1.0,5.0,0.0,2.0,7.0,312.0,0.0,129.0,9.0,1.0,2.0,0.0,12.0,3.0,1.0,7.0,312.0,9.0,12.0,11.0,16.0,0.0,0.0,3.0
A. Ismajli,23.0,1867.0,0.0,1.0,1.0,0.0,2.0,23.0,1867.0,940.0,797.5,84.85,4.5,0.0,2.0,0.5,23.0,1867.0,0.0,5.0,26.0,0.0,2.5,23.0,1867.0,0.0,797.5,16.0,10.5,2.0,0.0,43.5,30.0,5.0,23.0,1867.0,22.5,43.5,90.0,59.5,0.0,0.5,30.0
A. Izzo,21.0,1602.0,0.5,3.5,5.5,2.0,10.5,21.0,1602.0,1066.0,946.0,89.65,9.5,1.0,5.0,1.5,21.0,1602.0,0.0,7.0,17.0,0.0,2.0,21.0,1602.0,0.5,946.0,30.5,28.5,7.5,0.0,61.0,43.5,7.0,21.0,1602.0,31.0,61.0,101.5,72.0,0.0,0.0,43.5
A. Marusic,30.0,2506.5,0.0,4.5,10.5,1.0,18.0,30.0,2506.5,1377.0,1187.0,85.96000000000001,7.0,1.5,22.5,6.0,30.0,2506.5,0.0,13.0,25.5,0.0,1.5,30.0,2506.5,0.0,1187.0,18.0,11.0,5.5,1.0,56.5,36.5,13.0,30.0,2506.5,31.0,56.5,81.0,74.5,0.5,0.0,36.5
A. Masina,12.0,655.5,1.0,2.0,1.5,0.0,1.5,12.0,655.5,362.0,291.0,80.855,1.5,0.0,6.0,2.0,12.0,655.5,0.0,2.0,10.5,0.0,2.5,12.0,655.5,1.0,291.0,12.0,1.5,2.0,0.0,15.0,12.0,2.0,12.0,655.5,7.5,15.0,36.0,31.5,0.5,0.0,12.0
A. Matturro,5.0,90.0,0.0,0.0,1.0,0.0,1.0,5.0,90.0,22.0,13.0,61.9,0.0,0.0,0.0,0.0,5.0,90.0,0.0,0.0,3.0,0.0,0.0,5.0,90.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,90.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0
A. Obert,11.0,575.0,0.0,1.0,1.0,0.0,2.0,11.0,575.0,301.0,238.0,79.33,4.0,1.0,9.0,6.0,11.0,575.0,0.0,1.0,19.0,0.0,2.0,11.0,575.0,0.0,238.0,10.0,2.0,1.0,0.0,18.0,10.0,1.0,11.0,575.0,13.0,18.0,24.0,29.0,0.0,0.0,10.0
A. Oyono,16.0,1197.0,0.0,1.0,12.0,0.0,25.0,16.0,1197.0,483.0,397.0,82.19,10.0,2.0,11.0,3.0,16.0,1197.0,0.0,2.0,23.0,0.0,1.0,16.0,1197.0,0.0,397.0,13.0,11.0,4.0,0.0,35.0,37.0,2.0,16.0,1197.0,9.0,35.0,73.0,56.0,0.0,0.0,37.0
A. Reca,30.0,2170.0,1.0,8.0,19.0,0.0,55.0,30.0,2170.0,851.0,608.0,71.45,23.0,2.0,98.0,27.0,30.0,2170.0,0.0,6.0,38.0,0.0,2.0,30.0,2170.0,1.0,608.0,32.0,15.0,5.0,0.0,52.0,44.0,6.0,30.0,2170.0,24.0,52.0,97.0,111.0,0.0,0.0,44.0
A. Romagnoli,27.0,2307.0,1.0,4.0,0.5,0.5,0.5,27.0,2307.0,1501.5,1364.0,90.955,3.0,0.5,0.0,0.0,27.0,2307.0,0.0,11.5,24.0,0.0,1.0,27.0,2307.0,1.0,1364.0,29.0,14.5,5.5,0.0,41.0,26.0,11.5,27.0,2307.0,27.5,41.0,102.5,77.0,0.0,0.0,26.0
A. Sandro,18.5,1159.0,0.0,0.0,10.5,0.5,13.5,18.5,1159.0,756.0,662.5,87.71000000000001,8.0,1.5,12.0,3.5,18.5,1159.0,0.0,5.5,12.0,0.0,1.0,18.5,1159.0,0.0,662.5,20.5,17.5,3.0,0.5,24.0,21.5,5.5,18.5,1159.0,12.0,24.0,73.5,50.0,0.5,0.0,21.5
A. Soumaoro,11.5,935.0,0.0,0.5,1.0,0.0,1.0,11.5,935.0,534.0,498.0,46.63,0.5,0.0,0.0,0.0,11.5,935.0,0.0,2.5,12.5,0.0,3.0,11.5,935.0,0.0,498.0,10.5,6.0,1.5,0.5,16.0,12.5,2.5,11.5,935.0,7.5,16.0,35.0,19.0,0.0,0.0,12.5
A. Terzic,22.0,926.0,1.0,2.0,16.0,0.0,24.0,22.0,926.0,531.0,456.0,85.88,25.0,2.0,79.0,31.0,22.0,926.0,0.0,2.0,8.0,0.0,2.0,22.0,926.0,1.0,456.0,4.0,12.0,2.0,0.0,14.0,16.0,2.0,22.0,926.0,5.0,14.0,51.0,37.0,0.0,0.0,16.0
A. Tikvic,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Touba,6.0,275.0,0.0,0.0,0.0,0.0,0.0,6.0,275.0,138.0,115.0,83.33,0.0,0.0,0.0,0.0,6.0,275.0,0.0,1.0,7.0,0.0,0.0,6.0,275.0,0.0,115.0,6.0,1.0,1.0,0.0,12.0,7.0,1.0,6.0,275.0,7.0,12.0,13.0,13.0,0.0,0.0,7.0
A. Tuia,7.0,511.0,0.0,1.0,2.0,0.0,3.0,7.0,511.0,203.0,141.0,69.46,1.0,0.0,1.0,1.0,7.0,511.0,0.0,0.0,6.0,0.0,1.0,7.0,511.0,0.0,141.0,9.0,2.0,1.0,0.0,21.0,10.0,0.0,7.0,511.0,15.0,21.0,24.0,31.0,0.0,0.0,10.0
A. Vogliacco,12.0,565.0,0.0,0.0,2.0,0.0,3.0,12.0,565.0,247.0,192.0,78.05,3.0,0.0,3.0,2.0,12.0,565.0,0.0,0.0,8.0,0.0,0.0,12.0,565.0,0.0,192.0,6.0,0.0,3.0,0.0,24.0,10.0,0.0,12.0,565.0,18.0,24.0,28.0,15.0,0.0,0.0,10.0
A. Zanoli,17.0,1009.0,1.0,4.5,14.5,2.0,27.0,17.0,1009.0,373.5,299.0,80.755,7.5,0.0,23.0,5.5,17.0,1009.0,0.0,1.5,20.5,0.0,2.5,17.0,1009.0,1.0,299.0,4.0,6.0,2.5,0.0,18.5,17.0,1.5,17.0,1009.0,7.0,18.5,44.0,41.0,0.0,0.5,17.0
Aaron Martin,14.0,758.0,0.0,0.0,3.0,0.0,10.0,14.0,758.0,232.0,179.0,77.16,15.0,0.0,71.0,16.0,14.0,758.0,0.0,3.0,12.0,0.0,0.0,14.0,758.0,0.0,179.0,14.0,14.0,2.0,1.0,10.0,13.0,3.0,14.0,758.0,4.0,10.0,34.0,37.0,0.0,0.0,13.0
