,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Inter (5 stagioni),Atalanta (2 stagioni),Parma (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,17,Atalanta,it ITA,1. Serie A,4°,1.7,,,,,,,1,,,,,,,,,Partite
2017-2018,18,Atalanta,it ITA,1. Serie A,7°,1.0,86,72,14,3,0,2,0,11,0,0,0,0,70,0,4,Partite
2018-2019,19,Parma,it ITA,1. Serie A,14°,18.8,638,592,42,37,3,13,3,5,0,0,0,0,514,4,6,Partite
2019-2020,20,Inter,it ITA,1. Serie A,2°,21.3,1460,1368,85,63,1,27,20,22,0,0,0,0,1278,7,17,Partite
2020-2021,21,Inter,it ITA,1. Serie A,1°,32.5,2306,2175,124,63,1,24,24,32,0,0,0,0,2065,7,24,Partite
2021-2022,22,Inter,it ITA,1. Serie A,2°,25.7,1810,1684,120,58,2,29,29,30,2,0,0,0,1599,6,25,Partite
2022-2023,23,Inter,it ITA,1. Serie A,3°,24.0,1671,1510,152,53,2,24,49,77,0,0,0,0,1384,9,24,Partite
2023-2024,24,Inter,it ITA,1. Serie A,1°,18.2,1359,1259,95,44,1,20,55,46,0,0,0,0,1178,5,22,Partite
8 stagioni,3 club,,1 campionato,,143.2,9330,8660,632,321,10,139,181,223,2,0,0,0,8088,38,122,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Inter (5 stagioni),,1 campionato,,121.7,8606,7996,576,281,7,124,177,207,2,0,0,0,7504,34,112,
Atalanta (2 stagioni),,1 campionato,,2.7,86,72,14,3,0,2,1,11,0,0,0,0,70,0,4,
Parma (1 stagione),,1 campionato,,18.8,638,592,42,37,3,13,3,5,0,0,0,0,514,4,6,
