,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Torino (7 stagioni),Carpi (1 stagione),Trapani (1 stagione),,Serie A (7 stagioni),Serie B (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,18,Torino,it ITA,1. Serie A,9°,0.1,6,7,"85,7",75,22,4,5,"80,0",2,2,"100,0",0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partite
2018-2019,19,Carpi,it ITA,2. Serie B,19°,13.4,221,371,"59,6",3895,2277,106,133,"79,7",93,156,"59,6",18,70,"25,7",1,0.5,0.2,+0.5,4,21,1,1,30,Partite
2019-2020,20,Trapani,it ITA,2. Serie B,18°,12.0,218,342,"63,7",4037,2017,95,112,"84,8",95,151,"62,9",26,71,"36,6",0,0.5,0.7,-0.5,1,22,1,0,24,Partite
2020-2021,21,Torino,it ITA,1. Serie A,17°,9.5,362,436,"83,0",6290,2048,138,156,"88,5",196,212,"92,5",21,53,"39,6",0,0.0,0.1,0.0,1,25,1,1,30,Partite
2021-2022,22,Torino,it ITA,1. Serie A,10°,13.1,451,559,"80,7",7307,2436,227,256,"88,7",186,225,"82,7",28,57,"49,1",1,0.7,0.3,+0.3,5,28,1,1,30,Partite
2022-2023,23,Torino,it ITA,1. Serie A,10°,30.2,1332,1573,"84,7",22243,6857,578,643,"89,9",671,750,"89,5",57,113,"50,4",2,1.3,1.0,+0.7,8,70,5,3,81,Partite
2023-2024,24,Torino,it ITA,1. Serie A,10°,18.3,620,749,"82,8",10596,3472,269,311,"86,5",309,350,"88,3",35,63,"55,6",0,0.1,0.4,-0.1,3,21,4,1,43,Partite
8 stagioni,3 club,,2 campionati,,96.6,3210,4037,"79,5",54443,19129,1417,1616,"87,7",1552,1846,"84,1",185,427,"43,3",4,3.2,2.8,+0.8,22,187,13,7,238,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Torino (7 stagioni),,1 campionato,,71.3,2771,3324,"83,4",46511,14835,1216,1371,"88,7",1364,1539,"88,6",141,286,"49,3",3,2.2,1.8,+0.8,17,144,11,6,184,
Carpi (1 stagione),,1 campionato,,13.4,221,371,"59,6",3895,2277,106,133,"79,7",93,156,"59,6",18,70,"25,7",1,0.5,0.2,+0.5,4,21,1,1,30,
Trapani (1 stagione),,1 campionato,,12.0,218,342,"63,7",4037,2017,95,112,"84,8",95,151,"62,9",26,71,"36,6",0,0.5,0.7,-0.5,1,22,1,0,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,71.3,2771,3324,"83,4",46511,14835,1216,1371,"88,7",1364,1539,"88,6",141,286,"49,3",3,2.2,1.8,+0.8,17,144,11,6,184,
Serie B (2 stagioni),,,,25.4,439,713,"61,6",7932,4294,201,245,"82,0",188,307,"61,2",44,141,"31,2",1,1.0,1.0,0.0,5,43,2,1,54,
