,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Torino (7 stagioni),Carpi (1 stagione),Trapani (1 stagione),,Serie A (7 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,18,Torino,it ITA,1. Serie A,9°,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Partite
2018-2019,19,Carpi,it ITA,2. Serie B,19°,13.4,371,291,78,7,0,0,6,71,0,0,0,0,221,2,5,Partite
2019-2020,20,Trapani,it ITA,2. Serie B,18°,12.0,342,278,61,16,0,0,1,44,0,0,0,0,218,3,2,Partite
2020-2021,21,Torino,it ITA,1. Serie A,17°,9.5,436,413,23,18,0,3,1,5,0,0,0,0,362,0,4,Partite
2021-2022,22,Torino,it ITA,1. Serie A,10°,13.1,559,539,18,15,1,3,6,3,0,0,0,0,451,2,7,Partite
2022-2023,23,Torino,it ITA,1. Serie A,10°,30.2,1573,1527,41,30,1,3,8,6,0,0,0,0,1332,5,21,Partite
2023-2024,24,Torino,it ITA,1. Serie A,10°,18.3,749,738,11,10,1,2,3,0,0,0,0,0,620,0,6,Partite
8 stagioni,3 club,,2 campionati,,96.6,4037,3793,232,96,3,11,25,129,0,0,0,0,3210,12,45,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Torino (7 stagioni),,1 campionato,,71.3,3324,3224,93,73,3,11,18,14,0,0,0,0,2771,7,38,
Carpi (1 stagione),,1 campionato,,13.4,371,291,78,7,0,0,6,71,0,0,0,0,221,2,5,
Trapani (1 stagione),,1 campionato,,12.0,342,278,61,16,0,0,1,44,0,0,0,0,218,3,2,
,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,71.3,3324,3224,93,73,3,11,18,14,0,0,0,0,2771,7,38,
Serie B (2 stagioni),,,,25.4,713,569,139,23,0,0,7,115,0,0,0,0,439,5,7,
