,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Milan (5 stagioni),Sampdoria (3 stagioni),Atalanta (2 stagioni),Virtus Lanciano (1 stagione),Parma (1 stagione),,Serie A (8 stagioni),Serie B (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,20,Virtus Lanciano,it ITA,2. Serie B,14°,21.0,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Atalanta,it ITA,1. Serie A,13°,9.0,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Atalanta,it ITA,1. Serie A,4°,29.6,,52,,,,,,,,,,,70,,,,Partite
2017-2018,23,Milan,it ITA,1. Serie A,6°,1.7,4,2,1,3,0,2,3,"66,7",1,3,0,3,1,5,5,0,Partite
2018-2019,24,Milan,it ITA,1. Serie A,5°,5.6,9,5,3,4,2,2,9,"22,2",7,4,0,4,15,24,12,1,Partite
2019-2020,25,Milan,it ITA,1. Serie A,6°,19.2,41,25,23,15,3,21,49,"42,9",28,21,8,13,43,84,42,1,Partite
2020-2021,26,Parma,it ITA,1. Serie A,20°,9.0,21,10,16,4,1,13,26,"50,0",13,13,4,9,16,37,23,0,Partite
2020-2021,26,Milan,it ITA,1. Serie A,2°,0.3,1,1,1,0,0,0,1,"0,0",1,0,0,0,1,2,0,0,Partite
2021-2022,27,Milan,it ITA,1. Serie A,1°,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
2021-2022,27,Sampdoria,it ITA,1. Serie A,15°,2.6,4,2,2,1,1,3,6,"50,0",3,4,0,4,7,11,4,0,Partite
2022-2023,28,Sampdoria,it ITA,1. Serie A,20°,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
2023-2024,29,Sampdoria,it ITA,2. Serie B,11°,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
10 stagioni,5 club,,2 campionati,,98.5,80,97,46,27,7,41,94,"43,6",53,45,12,33,153,163,86,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Milan (5 stagioni),,1 campionato,,26.9,55,33,28,22,5,25,62,"40,3",37,28,8,20,60,115,59,2,
Sampdoria (3 stagioni),,2 campionati,,2.9,4,2,2,1,1,3,6,"50,0",3,4,0,4,7,11,4,0,
Atalanta (2 stagioni),,1 campionato,,38.6,,52,,,,,,,,,,,70,0,,,
Virtus Lanciano (1 stagione),,1 campionato,,21.0,,,,,,,,,,,,,,0,,,
Parma (1 stagione),,1 campionato,,9.0,21,10,16,4,1,13,26,"50,0",13,13,4,9,16,37,23,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,77.4,80,97,46,27,7,41,94,"43,6",53,45,12,33,153,163,86,2,
Serie B (2 stagioni),,,,21.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
