,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,,2022-2023,2023-2024,4 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Cagliari (2 stagioni),Perugia (2 stagioni),,Serie B (3 stagioni),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,17,Perugia,it ITA,2. Serie B,4°,2.9,,,,,,,,,,,,,,,,,Partite
2017-2018,18,Perugia,it ITA,2. Serie B,8°,4.5,,0,,,,,,,,,,,0,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,23,Cagliari,it ITA,2. Serie B,5°,18.9,33,17,25,8,0,11,22,"50,0",11,29,14,15,30,63,105,0,Partite
2023-2024,24,Cagliari,it ITA,1. Serie A,19°,24.2,46,31,35,11,0,28,43,"65,1",15,38,22,16,36,82,126,2,Partite
4 stagioni,2 club,,2 campionati,,50.5,79,48,60,19,0,39,65,"60,0",26,67,36,31,66,145,231,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Cagliari (2 stagioni),,2 campionati,,43.2,79,48,60,19,0,39,65,"60,0",26,67,36,31,66,145,231,2,
Perugia (2 stagioni),,1 campionato,,7.4,,0,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie B (3 stagioni),,,,26.3,33,17,25,8,0,11,22,"50,0",11,29,14,15,30,63,105,0,
Serie A (1 stagione),,,,24.2,46,31,35,11,0,28,43,"65,1",15,38,22,16,36,82,126,2,
