,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,14 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (9 stagioni),Milan (3 stagioni),Crotone (1 stagione),Paris S-G (1 stagione),Valencia (1 stagione),,Serie A (12 stagioni),Serie B (1 stagione),Ligue 1 (1 stagione),La Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2010-2011,19,Roma,it ITA,1. Serie A,6°,0.1,,,,,,,,,,,,,,,,,Partite
2011-2012,20,Crotone,it ITA,2. Serie B,11°,31.9,,,,,,,,,,,,,,,,,
2012-2013,21,Roma,it ITA,1. Serie A,6°,23.8,,,,,,,,,,,,,,,,,Partite
2013-2014,22,Roma,it ITA,1. Serie A,2°,21.0,,,,,,,,,,,,,,,,,Partite
2014-2015,23,Roma,it ITA,1. Serie A,2°,25.5,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Roma,it ITA,1. Serie A,3°,30.2,,,,,,,,,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,8.3,,12,,,,,,,,,,,19,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,26.5,38,28,20,13,5,18,47,"38,3",29,19,8,11,44,82,62,1,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,24.2,38,21,22,11,5,17,37,"45,9",20,27,5,22,46,84,58,0,Partite
2019-2020,28,Roma,it ITA,1. Serie A,5°,11.1,14,11,8,4,2,7,20,"35,0",13,9,3,6,16,30,19,0,Partite
2019-2020,28,Valencia,es ESP,1. La Liga,9°,8.4,13,9,9,4,0,8,18,"44,4",10,11,1,10,14,27,21,0,Partite
2020-2021,29,Paris S-G,fr FRA,1. Ligue 1,2°,17.1,24,16,9,9,6,12,29,"41,4",17,7,1,6,17,41,25,0,Partite
2021-2022,30,Milan,it ITA,1. Serie A,1°,12.8,28,14,14,7,7,14,32,"43,8",18,9,2,7,27,55,10,1,Partite
2022-2023,31,Milan,it ITA,1. Serie A,4°,2.3,6,4,3,2,1,4,7,"57,1",3,1,0,1,4,10,2,0,Partite
2023-2024,32,Milan,it ITA,1. Serie A,3°,13.3,35,17,21,10,4,20,41,"48,8",21,13,7,6,15,50,18,1,Partite
14 stagioni,5 club,,4 campionati,,256.5,196,132,106,60,30,100,231,"43,3",131,96,27,69,202,379,215,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (9 stagioni),,1 campionato,,170.8,90,72,50,28,12,42,104,"40,4",62,55,16,39,125,196,139,1,
Milan (3 stagioni),,1 campionato,,28.4,69,35,38,19,12,38,80,"47,5",42,23,9,14,46,115,30,2,
Crotone (1 stagione),,1 campionato,,31.9,,,,,,,,,,,,,,0,,,
Paris S-G (1 stagione),,1 campionato,,17.1,24,16,9,9,6,12,29,"41,4",17,7,1,6,17,41,25,0,
Valencia (1 stagione),,1 campionato,,8.4,13,9,9,4,0,8,18,"44,4",10,11,1,10,14,27,21,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (12 stagioni),,,,199.2,159,107,88,47,24,80,184,"43,5",104,78,25,53,171,311,169,3,
Serie B (1 stagione),,,,31.9,,,,,,,,,,,,,,0,,,
Ligue 1 (1 stagione),,,,17.1,24,16,9,9,6,12,29,"41,4",17,7,1,6,17,41,25,0,
La Liga (1 stagione),,,,8.4,13,9,9,4,0,8,18,"44,4",10,11,1,10,14,27,21,0,
