,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Reims (2 stagioni),Pescara (2 stagioni),Ascoli (1 stagione),Lorient (1 stagione),Adana Demirspor (1 stagione),Torino (1 stagione),Benevento (1 stagione),Inter (1 stagione),Sassuolo (1 stagione),,Serie A (4 stagioni),Serie B (3 stagioni),Ligue 1 (3 stagioni),Süper Lig (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,19,Benevento,it ITA,1. Serie A,20°,0.9,2,1,2,0,0,0,1,"0,0",1,1,1,0,3,5,10,0,Partite
2017-2018,19,Pescara,it ITA,2. Serie B,17°,8.3,,0,,,,,,,,,,,0,,,,Partite
2018-2019,20,Pescara,it ITA,2. Serie B,4°,28.2,39,28,29,10,0,21,29,"72,4",8,46,32,14,38,77,140,1,Partite
2019-2020,21,Ascoli,it ITA,2. Serie B,14°,27.1,43,31,33,8,2,24,34,"70,6",10,48,41,7,35,78,132,0,Partite
2020-2021,22,Lorient,fr FRA,1. Ligue 1,16°,25.2,26,17,17,9,0,13,28,"46,4",15,44,31,13,59,85,118,4,Partite
2021-2022,23,Reims,fr FRA,1. Ligue 1,12°,23.7,32,24,19,13,0,17,27,"63,0",10,25,15,10,33,65,83,1,Partite
2022-2023,24,Reims,fr FRA,1. Ligue 1,11°,11.5,16,8,9,6,1,8,13,"61,5",5,18,9,9,21,37,36,0,Partite
2022-2023,24,Torino,it ITA,1. Serie A,10°,3.5,3,3,0,3,0,0,0,,0,4,2,2,9,12,16,0,Partite
2023-2024,25,Adana Demirspor,tr TUR,1. Süper Lig,12°,20.6,,15,,,,,,,,,,,25,,,,Partite
8 stagioni,9 club,,4 campionati,,149.1,161,127,109,49,3,83,132,"62,9",49,186,131,55,223,359,535,6,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Reims (2 stagioni),,1 campionato,,35.3,48,32,28,19,1,25,40,"62,5",15,43,24,19,54,102,119,1,
Pescara (2 stagioni),,1 campionato,,36.5,39,28,29,10,0,21,29,"72,4",8,46,32,14,38,77,140,1,
Ascoli (1 stagione),,1 campionato,,27.1,43,31,33,8,2,24,34,"70,6",10,48,41,7,35,78,132,0,
Lorient (1 stagione),,1 campionato,,25.2,26,17,17,9,0,13,28,"46,4",15,44,31,13,59,85,118,4,
Adana Demirspor (1 stagione),,1 campionato,,20.6,,15,,,,,,,,,,,25,0,,,
Torino (1 stagione),,1 campionato,,3.5,3,3,0,3,0,0,0,,0,4,2,2,9,12,16,0,
Benevento (1 stagione),,1 campionato,,0.9,2,1,2,0,0,0,1,"0,0",1,1,1,0,3,5,10,0,
Inter (1 stagione),,1 campionato,,,,,,,,,,,,,,,,0,,,
Sassuolo (1 stagione),,1 campionato,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,4.4,5,4,2,3,0,0,1,"0,0",1,5,3,2,12,17,26,0,
Serie B (3 stagioni),,,,63.6,82,59,62,18,2,45,63,"71,4",18,94,73,21,73,155,272,1,
Ligue 1 (3 stagioni),,,,60.5,74,49,45,28,1,38,68,"55,9",30,87,55,32,113,187,237,5,
Süper Lig (1 stagione),,,,20.6,,15,,,,,,,,,,,25,0,,,
