,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Reims (2 stagioni),Pescara (2 stagioni),Ascoli (1 stagione),Lorient (1 stagione),Adana Demirspor (1 stagione),Torino (1 stagione),Benevento (1 stagione),Inter (1 stagione),Sassuolo (1 stagione),,Serie A (4 stagioni),Serie B (3 stagioni),Ligue 1 (3 stagioni),Süper Lig (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017-2018,19,Benevento,it ITA,1. Serie A,20°,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2017-2018,19,Pescara,it ITA,2. Serie B,17°,8.3,,,,,,,,,,,,,,,,,Partite
2018-2019,20,Pescara,it ITA,2. Serie B,4°,28.2,18,"0,64",12,0,1,3,1,1,3,"0,11",0,0,0,2,1,0,Partite
2019-2020,21,Ascoli,it ITA,2. Serie B,14°,27.1,10,"0,37",7,0,0,1,2,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,22,Lorient,fr FRA,1. Ligue 1,16°,25.2,11,"0,44",10,1,0,0,0,0,4,"0,16",4,0,0,0,0,0,Partite
2021-2022,23,Reims,fr FRA,1. Ligue 1,12°,23.7,22,"0,93",15,4,1,2,0,0,1,"0,04",1,0,0,0,0,0,Partite
2022-2023,24,Reims,fr FRA,1. Ligue 1,11°,11.5,9,"0,78",5,2,0,2,0,0,1,"0,09",1,0,0,0,0,0,Partite
2022-2023,24,Torino,it ITA,1. Serie A,10°,3.5,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,25,Adana Demirspor,tr TUR,1. Süper Lig,12°,20.6,,,,,,,,,,,,,,,,,Partite
8 stagioni,9 club,,4 campionati,,149.1,70,"0,58",49,7,2,8,3,1,9,"0,07",6,0,0,2,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Reims (2 stagioni),,1 campionato,,35.3,31,"0,88",20,6,1,4,0,0,2,"0,06",2,0,0,0,0,0,
Pescara (2 stagioni),,1 campionato,,36.5,18,"0,64",12,0,1,3,1,1,3,"0,11",0,0,0,2,1,0,
Ascoli (1 stagione),,1 campionato,,27.1,10,"0,37",7,0,0,1,2,0,0,"0,00",0,0,0,0,0,0,
Lorient (1 stagione),,1 campionato,,25.2,11,"0,44",10,1,0,0,0,0,4,"0,16",4,0,0,0,0,0,
Adana Demirspor (1 stagione),,1 campionato,,20.6,,,,,,,,,,,,,,,,,
Torino (1 stagione),,1 campionato,,3.5,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Benevento (1 stagione),,1 campionato,,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Inter (1 stagione),,1 campionato,,,,,,,,,,,,,,,,,,,
Sassuolo (1 stagione),,1 campionato,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,4.4,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Serie B (3 stagioni),,,,63.6,28,"0,51",19,0,1,4,3,1,3,"0,05",0,0,0,2,1,0,
Ligue 1 (3 stagioni),,,,60.5,42,"0,69",30,7,1,4,0,0,6,"0,10",6,0,0,0,0,0,
Süper Lig (1 stagione),,,,20.6,,,,,,,,,,,,,,,,,
