,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Reims (2 stagioni),Pescara (2 stagioni),Ascoli (1 stagione),Lorient (1 stagione),Adana Demirspor (1 stagione),Torino (1 stagione),Benevento (1 stagione),Inter (1 stagione),Sassuolo (1 stagione),,Serie A (4 stagioni),Serie B (3 stagioni),Ligue 1 (3 stagioni),Süper Lig (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017-2018,19,Benevento,it ITA,1. Serie A,20°,0.9,24,22,2,0,0,0,0,2,0,0,0,0,17,0,2,Partite
2017-2018,19,Pescara,it ITA,2. Serie B,17°,8.3,,,,,,,0,,,,,,,,,Partite
2018-2019,20,Pescara,it ITA,2. Serie B,4°,28.2,1180,1121,50,26,0,30,7,24,0,0,0,0,973,9,3,Partite
2019-2020,21,Ascoli,it ITA,2. Serie B,14°,27.1,1262,1204,54,50,0,26,8,4,0,0,0,0,1025,4,7,Partite
2020-2021,22,Lorient,fr FRA,1. Ligue 1,16°,25.2,1216,1166,45,43,1,15,9,2,0,0,0,0,906,5,16,Partite
2021-2022,23,Reims,fr FRA,1. Ligue 1,12°,23.7,950,830,117,40,0,25,24,74,0,0,0,0,718,3,13,Partite
2022-2023,24,Reims,fr FRA,1. Ligue 1,11°,11.5,445,384,58,19,2,5,16,39,0,0,0,0,330,3,7,Partite
2022-2023,24,Torino,it ITA,1. Serie A,10°,3.5,163,156,6,4,0,3,3,2,0,0,0,0,131,1,1,Partite
2023-2024,25,Adana Demirspor,tr TUR,1. Süper Lig,12°,20.6,,,,,,,5,,,,,,,,,Partite
8 stagioni,9 club,,4 campionati,,149.1,5240,4883,332,182,3,104,72,147,0,0,0,0,4100,25,49,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Reims (2 stagioni),,1 campionato,,35.3,1395,1214,175,59,2,30,40,113,0,0,0,0,1048,6,20,
Pescara (2 stagioni),,1 campionato,,36.5,1180,1121,50,26,0,30,7,24,0,0,0,0,973,9,3,
Ascoli (1 stagione),,1 campionato,,27.1,1262,1204,54,50,0,26,8,4,0,0,0,0,1025,4,7,
Lorient (1 stagione),,1 campionato,,25.2,1216,1166,45,43,1,15,9,2,0,0,0,0,906,5,16,
Adana Demirspor (1 stagione),,1 campionato,,20.6,,,,,,,5,,,,,,,,,
Torino (1 stagione),,1 campionato,,3.5,163,156,6,4,0,3,3,2,0,0,0,0,131,1,1,
Benevento (1 stagione),,1 campionato,,0.9,24,22,2,0,0,0,0,2,0,0,0,0,17,0,2,
Inter (1 stagione),,1 campionato,,,,,,,,,,,,,,,,,,
Sassuolo (1 stagione),,1 campionato,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (4 stagioni),,,,4.4,187,178,8,4,0,3,3,4,0,0,0,0,148,1,3,
Serie B (3 stagioni),,,,63.6,2442,2325,104,76,0,56,15,28,0,0,0,0,1998,13,10,
Ligue 1 (3 stagioni),,,,60.5,2611,2380,220,102,3,45,49,115,0,0,0,0,1954,11,36,
Süper Lig (1 stagione),,,,20.6,,,,,,,5,,,,,,,,,
