,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Torino (4 stagioni),Genoa (4 stagioni),Monza (2 stagioni),Avellino (1 stagione),,Serie A (10 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,21,Avellino,it ITA,2. Serie B,11°,29.3,,,,,,,,,,,,,,,,
2014-2015,22,Genoa,it ITA,1. Serie A,6°,12.1,,,,,,,,,,,,,,,,Partite
2015-2016,23,Genoa,it ITA,1. Serie A,11°,30.1,,,,,,,,,,,,,,,,Partite
2016-2017,24,Genoa,it ITA,1. Serie A,16°,28.7,,,,,,,22,,,,,,,,,Partite
2017-2018,25,Genoa,it ITA,1. Serie A,12°,15.4,869,776,90,40,0,12,14,49,1,0,1,0,650,3,10,Partite
2018-2019,26,Torino,it ITA,1. Serie A,7°,36.3,1882,1776,100,75,0,34,20,25,0,0,0,0,1452,6,25,Partite
2019-2020,27,Torino,it ITA,1. Serie A,16°,29.8,1419,1336,78,69,0,12,16,9,0,0,0,0,1115,5,17,Partite
2020-2021,28,Torino,it ITA,1. Serie A,17°,22.3,1207,1122,82,63,0,15,22,19,0,0,0,0,973,3,7,Partite
2021-2022,29,Torino,it ITA,1. Serie A,10°,5.8,307,280,26,20,0,0,3,6,0,0,0,0,240,1,0,Partite
2022-2023,30,Monza,it ITA,1. Serie A,11°,27.4,1597,1495,96,67,1,19,7,25,0,0,0,0,1389,6,8,Partite
2023-2024,31,Monza,it ITA,1. Serie A,11°,8.1,579,552,27,21,0,3,3,3,0,0,0,0,527,0,3,Partite
11 stagioni,4 club,,2 campionati,,245.3,7860,7337,499,355,1,95,107,136,1,0,1,0,6346,24,70,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Torino (4 stagioni),,1 campionato,,94.3,4815,4514,286,227,0,61,61,59,0,0,0,0,3780,15,49,
Genoa (4 stagioni),,1 campionato,,86.3,869,776,90,40,0,12,36,49,1,0,1,0,650,3,10,
Monza (2 stagioni),,1 campionato,,35.5,2176,2047,123,88,1,22,10,28,0,0,0,0,1916,6,11,
Avellino (1 stagione),,1 campionato,,29.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,216.0,7860,7337,499,355,1,95,107,136,1,0,1,0,6346,24,70,
Serie B (1 stagione),,,,29.3,,,,,,,,,,,,,,,,
