,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Bologna (4 stagioni),Watford (4 stagioni),Udinese (2 stagioni),Torino (1 stagione),,Serie A (5 stagioni),Premier League (3 stagioni),Championship (1 stagione),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,20,Bologna,it ITA,2. Serie B,4°,20.3,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Bologna,it ITA,1. Serie A,14°,29.1,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Bologna,it ITA,1. Serie A,15°,27.0,,53,,,,,,,,,,,61,,,,Partite
2017-2018,23,Bologna,it ITA,1. Serie A,15°,31.4,82,57,49,26,7,36,84,"42,9",48,46,7,39,51,133,127,0,Partite
2018-2019,24,Watford,eng ENG,1. Premier League,11°,11.2,30,17,16,13,1,13,25,"52,0",12,19,4,15,17,47,40,0,Partite
2019-2020,25,Watford,eng ENG,1. Premier League,19°,20.2,38,22,24,11,3,14,37,"37,8",23,26,12,14,28,66,66,0,Partite
2020-2021,26,Watford,eng ENG,2. Championship,2°,21.4,39,19,25,13,1,15,42,"35,7",27,22,7,15,37,76,78,0,Partite
2021-2022,27,Watford,eng ENG,1. Premier League,19°,12.0,24,13,11,10,3,12,29,"41,4",17,18,6,12,18,42,45,0,Partite
2022-2023,28,Udinese,it ITA,1. Serie A,12°,8.8,10,7,7,3,0,6,15,"40,0",9,11,4,7,10,20,28,1,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,0.7,4,0,2,2,0,2,4,"50,0",2,2,1,1,2,6,5,0,Partite
2023-2024,29,Torino,it ITA,1. Serie A,10°,5.1,10,8,4,5,1,3,9,"33,3",6,7,3,4,3,13,12,0,Partite
10 stagioni,4 club,,4 campionati,,187.2,237,196,138,83,16,101,245,"41,2",144,151,44,107,227,403,401,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Bologna (4 stagioni),,2 campionati,,107.8,82,110,49,26,7,36,84,"42,9",48,46,7,39,112,133,127,0,
Watford (4 stagioni),,2 campionati,,64.8,131,71,76,47,8,54,133,"40,6",79,85,29,56,100,231,229,0,
Udinese (2 stagioni),,1 campionato,,9.5,14,7,9,5,0,8,19,"42,1",11,13,5,8,12,26,33,1,
Torino (1 stagione),,1 campionato,,5.1,10,8,4,5,1,3,9,"33,3",6,7,3,4,3,13,12,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,102.2,106,125,62,36,8,47,112,"42,0",65,66,15,51,127,172,172,1,
Premier League (3 stagioni),,,,43.4,92,52,51,34,7,39,91,"42,9",52,63,22,41,63,155,151,0,
Championship (1 stagione),,,,21.4,39,19,25,13,1,15,42,"35,7",27,22,7,15,37,76,78,0,
Serie B (1 stagione),,,,20.3,,,,,,,,,,,,,,0,,,
