,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Bologna (4 stagioni),Watford (4 stagioni),Udinese (2 stagioni),Torino (1 stagione),,Serie A (5 stagioni),Premier League (3 stagioni),Championship (1 stagione),Serie B (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2014-2015,20,Bologna,it ITA,2. Serie B,4°,20.3,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Bologna,it ITA,1. Serie A,14°,29.1,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Bologna,it ITA,1. Serie A,15°,27.0,,,,,,,,,,,,,,,,,Partite
2017-2018,23,Bologna,it ITA,1. Serie A,15°,31.4,61,"1,94",52,1,1,5,1,1,5,"0,16",2,0,0,3,0,0,Partite
2018-2019,24,Watford,eng ENG,1. Premier League,11°,11.2,8,"0,72",6,1,0,0,1,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,25,Watford,eng ENG,1. Premier League,19°,20.2,24,"1,19",21,2,0,1,0,0,1,"0,05",0,1,0,0,0,0,Partite
2020-2021,26,Watford,eng ENG,2. Championship,2°,21.4,24,"1,12",23,1,0,0,0,0,2,"0,09",2,0,0,0,0,0,Partite
2021-2022,27,Watford,eng ENG,1. Premier League,19°,12.0,13,"1,09",9,2,0,0,1,1,1,"0,08",1,0,0,0,0,0,Partite
2022-2023,28,Udinese,it ITA,1. Serie A,12°,8.8,5,"0,57",5,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,0.7,2,"2,86",1,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,29,Torino,it ITA,1. Serie A,10°,5.1,3,"0,58",2,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
10 stagioni,4 club,,4 campionati,,187.2,140,"1,26",119,7,1,7,3,3,9,"0,08",5,1,0,3,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Bologna (4 stagioni),,2 campionati,,107.8,61,"1,94",52,1,1,5,1,1,5,"0,16",2,0,0,3,0,0,
Watford (4 stagioni),,2 campionati,,64.8,69,"1,07",59,6,0,1,2,1,4,"0,06",3,1,0,0,0,0,
Udinese (2 stagioni),,1 campionato,,9.5,7,"0,74",6,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
Torino (1 stagione),,1 campionato,,5.1,3,"0,58",2,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,102.2,71,"1,54",60,1,1,6,1,2,5,"0,11",2,0,0,3,0,0,
Premier League (3 stagioni),,,,43.4,45,"1,04",36,5,0,1,2,1,2,"0,05",1,1,0,0,0,0,
Championship (1 stagione),,,,21.4,24,"1,12",23,1,0,0,0,0,2,"0,09",2,0,0,0,0,0,
Serie B (1 stagione),,,,20.3,,,,,,,,,,,,,,,,,
