,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Milan (7 stagioni),Roma (3 stagioni),Lazio (2 stagioni),Sampdoria (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2012-2013,17,Roma,it ITA,1. Serie A,6°,1.1,,,,,,,,,,,,,,,,,Partite
2013-2014,18,Roma,it ITA,1. Serie A,2°,7.8,,,,,,,,,,,,,,,,,Partite
2014-2015,19,Sampdoria,it ITA,1. Serie A,7°,28.2,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Milan,it ITA,1. Serie A,7°,32.7,,,,,,,,,,,,,,,,,Partite
2016-2017,21,Milan,it ITA,1. Serie A,6°,26.3,,22,,,,,,,,,,,40,,,,Partite
2017-2018,22,Milan,it ITA,1. Serie A,6°,26.1,20,14,17,2,1,9,14,"64,3",5,24,14,10,23,43,154,1,Partite
2018-2019,23,Milan,it ITA,1. Serie A,5°,31.6,34,19,26,6,2,16,19,"84,2",3,48,32,16,37,71,173,1,Partite
2019-2020,24,Milan,it ITA,1. Serie A,6°,34.3,46,25,28,15,3,16,27,"59,3",11,32,18,14,56,102,157,1,Partite
2020-2021,25,Milan,it ITA,1. Serie A,2°,21.2,17,7,8,7,2,8,19,"42,1",11,29,22,7,24,41,80,0,Partite
2021-2022,26,Milan,it ITA,1. Serie A,1°,15.7,24,14,14,10,0,14,18,"77,8",4,21,12,9,19,43,45,0,Partite
2022-2023,27,Lazio,it ITA,1. Serie A,2°,32.5,33,15,19,14,0,11,22,"50,0",11,33,26,7,38,71,108,0,Partite
2023-2024,28,Lazio,it ITA,1. Serie A,8°,18.8,19,13,11,8,0,13,18,"72,2",5,23,15,8,15,34,81,0,Partite
12 stagioni,4 club,,1 campionato,,276.4,193,129,123,62,8,87,137,"63,5",50,210,139,71,252,405,798,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Milan (7 stagioni),,1 campionato,,188.0,141,101,93,40,8,63,97,"64,9",34,154,98,56,199,300,609,3,
Roma (3 stagioni),,1 campionato,,8.9,,,,,,,,,,,,,,0,,,
Lazio (2 stagioni),,1 campionato,,51.3,52,28,30,22,0,24,40,"60,0",16,56,41,15,53,105,189,0,
Sampdoria (1 stagione),,1 campionato,,28.2,,,,,,,,,,,,,,0,,,
