,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Milan (7 stagioni),Roma (3 stagioni),Lazio (2 stagioni),Sampdoria (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2012-2013,17,Roma,it ITA,1. Serie A,6°,1.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,18,Roma,it ITA,1. Serie A,2°,7.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,19,Sampdoria,it ITA,1. Serie A,7°,28.2,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2015-2016,20,Milan,it ITA,1. Serie A,7°,32.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,21,Milan,it ITA,1. Serie A,6°,26.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,22,Milan,it ITA,1. Serie A,6°,26.1,1356,1491,"90,9",27291,9911,382,405,"94,3",800,834,"95,9",162,221,"73,3",0,0.3,0.3,-0.3,7,72,0,0,81,Partite
2018-2019,23,Milan,it ITA,1. Serie A,5°,31.6,1615,1776,"90,9",30490,10433,576,612,"94,1",873,925,"94,4",154,209,"73,7",0,0.2,0.4,-0.2,6,50,1,1,86,Partite
2019-2020,24,Milan,it ITA,1. Serie A,6°,34.3,1808,1994,"90,7",34135,12773,629,662,"95,0",977,1040,"93,9",179,249,"71,9",0,1.2,0.5,-1.2,11,113,5,0,130,Partite
2020-2021,25,Milan,it ITA,1. Serie A,2°,21.2,920,1029,"89,4",16835,5763,314,333,"94,3",534,571,"93,5",61,99,"61,6",1,0.8,0.9,+0.2,3,40,2,1,62,Partite
2021-2022,26,Milan,it ITA,1. Serie A,1°,15.7,893,999,"89,4",16845,6188,291,323,"90,1",505,540,"93,5",80,108,"74,1",0,0.1,0.5,-0.1,3,66,3,0,71,Partite
2022-2023,27,Lazio,it ITA,1. Serie A,2°,32.5,1673,1849,"90,5",28906,11821,753,789,"95,4",717,764,"93,8",153,223,"68,6",0,0.1,0.4,-0.1,2,91,4,0,62,Partite
2023-2024,28,Lazio,it ITA,1. Serie A,8°,18.8,1064,1165,"91,3",18175,6749,450,473,"95,1",516,549,"94,0",72,109,"66,1",0,0.1,0.3,-0.1,4,58,3,0,68,Partite
12 stagioni,4 club,,1 campionato,,276.4,9329,10303,"90,5",172677,63638,3395,3597,"94,4",4922,5223,"94,2",861,1218,"70,7",4,2.8,3.3,+1.2,36,490,18,2,560,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Milan (7 stagioni),,1 campionato,,188.0,6592,7289,"90,4",125596,45068,2192,2335,"93,9",3689,3910,"94,3",636,886,"71,8",2,2.6,2.7,-0.6,30,341,11,2,430,
Roma (3 stagioni),,1 campionato,,8.9,,,,,,,,,,,,,,,0,,,,,,,,,
Lazio (2 stagioni),,1 campionato,,51.3,2737,3014,"90,8",47081,18570,1203,1262,"95,3",1233,1313,"93,9",225,332,"67,8",0,0.3,0.6,-0.3,6,149,7,0,130,
Sampdoria (1 stagione),,1 campionato,,28.2,,,,,,,,,,,,,,,2,,,,,,,,,
