,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Juventus (9 stagioni),Porto (5 stagioni),,Serie A (9 stagioni),Primeira Liga (5 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2011-2012,20,Porto,pt POR,1. Primeira Liga,1°,4.6,,,,,,,,,,,,,,,,,Partite
2012-2013,21,Porto,pt POR,1. Primeira Liga,1°,23.9,,,,,,,,,,,,,,,,,Partite
2013-2014,22,Porto,pt POR,1. Primeira Liga,3°,25.5,,,,,,,,,,,,,,,,,Partite
2014-2015,23,Porto,pt POR,1. Primeira Liga,2°,27.8,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Porto,pt POR,1. Primeira Liga,3°,1.0,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Juventus,it ITA,1. Serie A,1°,16.7,,,,,,,,,,,,,,,,,Partite
2016-2017,25,Juventus,it ITA,1. Serie A,1°,25.7,,,,,,,,,,,,,,,,,Partite
2017-2018,26,Juventus,it ITA,1. Serie A,1°,23.5,68,"2,89",58,2,3,1,4,0,10,"0,43",9,0,0,0,1,0,Partite
2018-2019,27,Juventus,it ITA,1. Serie A,1°,26.5,77,"2,90",69,2,2,1,2,1,6,"0,23",5,0,0,0,0,1,Partite
2019-2020,28,Juventus,it ITA,1. Serie A,1°,26.5,78,"2,94",64,4,3,1,6,0,7,"0,26",6,0,0,1,0,0,Partite
2020-2021,29,Juventus,it ITA,1. Serie A,4°,20.6,45,"2,18",38,1,2,2,2,0,4,"0,19",4,0,0,0,0,0,Partite
2021-2022,30,Juventus,it ITA,1. Serie A,4°,19.8,42,"2,12",36,1,1,0,3,1,7,"0,35",6,0,0,0,1,0,Partite
2022-2023,31,Juventus,it ITA,1. Serie A,7°,19.9,36,"1,81",32,0,2,0,1,1,3,"0,15",3,0,0,0,0,0,Partite
2023-2024,32,Juventus,it ITA,1. Serie A,2°,6.0,9,"1,51",7,0,0,1,1,0,1,"0,17",0,0,0,0,1,0,Partite
13 stagioni,2 club,,2 campionati,,268.0,355,"2,49",304,10,13,6,19,3,38,"0,27",33,0,0,1,3,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Juventus (9 stagioni),,1 campionato,,185.1,355,"2,49",304,10,13,6,19,3,38,"0,27",33,0,0,1,3,1,
Porto (5 stagioni),,1 campionato,,82.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,185.1,355,"2,49",304,10,13,6,19,3,38,"0,27",33,0,0,1,3,1,
Primeira Liga (5 stagioni),,,,82.8,,,,,,,,,,,,,,,,,
