,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Juventus (9 stagioni),Porto (5 stagioni),,Serie A (9 stagioni),Primeira Liga (5 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2011-2012,20,Porto,pt POR,1. Primeira Liga,1°,4.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,21,Porto,pt POR,1. Primeira Liga,1°,23.9,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2013-2014,22,Porto,pt POR,1. Primeira Liga,3°,25.5,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2014-2015,23,Porto,pt POR,1. Primeira Liga,2°,27.8,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2015-2016,24,Porto,pt POR,1. Primeira Liga,3°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,24,Juventus,it ITA,1. Serie A,1°,16.7,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,25,Juventus,it ITA,1. Serie A,1°,25.7,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2017-2018,26,Juventus,it ITA,1. Serie A,1°,23.5,1417,1699,"83,4",25719,6951,609,678,"89,8",600,693,"86,6",171,236,"72,5",3,2.8,3.1,+0.2,27,115,43,22,136,Partite
2018-2019,27,Juventus,it ITA,1. Serie A,1°,26.5,1531,1898,"80,7",25867,7764,723,799,"90,5",646,761,"84,9",130,229,"56,8",2,2.4,3.2,-0.4,36,125,39,15,163,Partite
2019-2020,28,Juventus,it ITA,1. Serie A,1°,26.5,1687,1983,"85,1",27574,8739,820,887,"92,4",697,790,"88,2",126,207,"60,9",3,2.1,2.0,+0.9,33,110,40,13,151,Partite
2020-2021,29,Juventus,it ITA,1. Serie A,4°,20.6,1208,1421,"85,0",21302,6647,512,549,"93,3",550,608,"90,5",117,195,"60,0",1,1.6,1.9,-0.6,17,100,20,11,130,Partite
2021-2022,30,Juventus,it ITA,1. Serie A,4°,19.8,918,1096,"83,8",16222,5459,396,440,"90,0",420,489,"85,9",84,119,"70,6",1,1.3,1.3,-0.3,23,73,26,10,80,Partite
2022-2023,31,Juventus,it ITA,1. Serie A,7°,19.9,1081,1256,"86,1",19560,6667,466,504,"92,5",477,532,"89,7",120,172,"69,8",1,0.9,1.1,+0.1,12,93,9,3,97,Partite
2023-2024,32,Juventus,it ITA,1. Serie A,2°,6.0,391,452,"86,5",6990,2402,155,164,"94,5",197,217,"90,8",34,59,"57,6",0,0.8,0.7,-0.8,4,35,7,3,38,Partite
13 stagioni,2 club,,2 campionati,,268.0,8233,9805,"84,0",143234,44629,3681,4021,"91,5",3587,4090,"87,7",782,1217,"64,3",25,11.9,13.1,+13.1,152,651,184,77,795,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Juventus (9 stagioni),,1 campionato,,185.1,8233,9805,"84,0",143234,44629,3681,4021,"91,5",3587,4090,"87,7",782,1217,"64,3",18,11.9,13.1,+6.1,152,651,184,77,795,
Porto (5 stagioni),,1 campionato,,82.8,,,,,,,,,,,,,,,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,185.1,8233,9805,"84,0",143234,44629,3681,4021,"91,5",3587,4090,"87,7",782,1217,"64,3",18,11.9,13.1,+6.1,152,651,184,77,795,
Primeira Liga (5 stagioni),,,,82.8,,,,,,,,,,,,,,,7,,,,,,,,,
