,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Juventus (9 stagioni),Porto (5 stagioni),,Serie A (9 stagioni),Primeira Liga (5 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2011-2012,20,Porto,pt POR,1. Primeira Liga,1°,4.6,,,,,,,,,,,,,,,,Partite
2012-2013,21,Porto,pt POR,1. Primeira Liga,1°,23.9,,,,,,,,,,,,,,,,Partite
2013-2014,22,Porto,pt POR,1. Primeira Liga,3°,25.5,,,,,,,,,,,,,,,,Partite
2014-2015,23,Porto,pt POR,1. Primeira Liga,2°,27.8,,,,,,,,,,,,,,,,Partite
2015-2016,24,Porto,pt POR,1. Primeira Liga,3°,1.0,,,,,,,,,,,,,,,,Partite
2015-2016,24,Juventus,it ITA,1. Serie A,1°,16.7,,,,,,,,,,,,,,,,Partite
2016-2017,25,Juventus,it ITA,1. Serie A,1°,25.7,,,,,,,111,,,,,,,,,Partite
2017-2018,26,Juventus,it ITA,1. Serie A,1°,23.5,1699,1494,199,18,2,27,90,181,0,0,0,0,1417,6,36,Partite
2018-2019,27,Juventus,it ITA,1. Serie A,1°,26.5,1898,1675,211,26,2,19,116,185,0,0,0,0,1531,12,48,Partite
2019-2020,28,Juventus,it ITA,1. Serie A,1°,26.5,1983,1726,245,31,2,13,67,214,0,0,0,0,1687,12,23,Partite
2020-2021,29,Juventus,it ITA,1. Serie A,4°,20.6,1421,1290,128,24,0,13,60,103,0,0,0,0,1208,3,22,Partite
2021-2022,30,Juventus,it ITA,1. Serie A,4°,19.8,1096,960,132,21,0,8,35,109,0,0,0,0,918,4,15,Partite
2022-2023,31,Juventus,it ITA,1. Serie A,7°,19.9,1256,1100,152,24,0,8,19,117,0,0,0,0,1081,4,13,Partite
2023-2024,32,Juventus,it ITA,1. Serie A,2°,6.0,452,383,67,10,0,1,5,48,0,0,0,0,391,2,1,Partite
13 stagioni,2 club,,2 campionati,,268.0,9805,8628,1134,154,6,89,503,957,0,0,0,0,8233,43,158,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Juventus (9 stagioni),,1 campionato,,185.1,9805,8628,1134,154,6,89,503,957,0,0,0,0,8233,43,158,
Porto (5 stagioni),,1 campionato,,82.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,185.1,9805,8628,1134,154,6,89,503,957,0,0,0,0,8233,43,158,
Primeira Liga (5 stagioni),,,,82.8,,,,,,,,,,,,,,,,
