,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Lille (8 stagioni),Bologna (3 stagioni),Genoa (1 stagione),,Ligue 1 (8 stagioni),Serie A (4 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2013-2014,21,Lille,fr FRA,1. Ligue 1,3°,3.7,,,,,,,,,,,,,,,,,Partite
2014-2015,22,Lille,fr FRA,1. Ligue 1,8°,1.0,,,,,,,,,,,,,,,,,Partite
2015-2016,23,Lille,fr FRA,1. Ligue 1,5°,25.8,,,,,,,,,,,,,,,,,Partite
2016-2017,24,Lille,fr FRA,1. Ligue 1,11°,25.8,,15,,,,,,,,,,,52,,,,Partite
2017-2018,25,Lille,fr FRA,1. Ligue 1,17°,13.2,9,5,7,2,0,2,3,"66,7",1,22,16,6,16,25,50,1,Partite
2018-2019,26,Lille,fr FRA,1. Ligue 1,2°,19.1,14,11,12,2,0,4,6,"66,7",2,21,18,3,21,35,92,1,Partite
2019-2020,27,Genoa,it ITA,1. Serie A,17°,7.1,3,2,3,0,0,1,3,"33,3",2,12,12,0,11,14,32,0,Partite
2019-2020,27,Lille,fr FRA,1. Ligue 1,4°,4.6,1,1,0,1,0,0,0,,0,6,5,1,4,5,17,0,Partite
2020-2021,28,Lille,fr FRA,1. Ligue 1,1°,1.6,1,0,0,0,1,0,0,,0,1,1,0,2,3,2,0,Partite
2020-2021,28,Bologna,it ITA,1. Serie A,12°,19.5,24,14,17,7,0,6,12,"50,0",6,28,23,5,20,44,72,0,Partite
2021-2022,29,Bologna,it ITA,1. Serie A,13°,25.2,15,5,5,8,2,4,9,"44,4",5,22,16,6,34,49,95,0,Partite
2022-2023,30,Bologna,it ITA,1. Serie A,9°,20.7,25,17,11,12,2,5,7,"71,4",2,18,13,5,15,40,75,1,Partite
10 stagioni,3 club,,2 campionati,,167.4,92,70,55,32,5,22,40,"55,0",18,130,104,26,175,215,435,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Lille (8 stagioni),,1 campionato,,94.9,25,32,19,5,1,6,9,"66,7",3,50,40,10,95,68,161,2,
Bologna (3 stagioni),,1 campionato,,65.4,64,36,33,27,4,15,28,"53,6",13,68,52,16,69,133,242,1,
Genoa (1 stagione),,1 campionato,,7.1,3,2,3,0,0,1,3,"33,3",2,12,12,0,11,14,32,0,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (8 stagioni),,,,94.9,25,32,19,5,1,6,9,"66,7",3,50,40,10,95,68,161,2,
Serie A (4 stagioni),,,,72.5,67,38,36,27,4,16,31,"51,6",15,80,64,16,80,147,274,1,
