,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Lille (8 stagioni),Bologna (3 stagioni),Genoa (1 stagione),,Ligue 1 (8 stagioni),Serie A (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,21,Lille,fr FRA,1. Ligue 1,3°,3.7,,,,,,,,,,,,,,,,Partite
2014-2015,22,Lille,fr FRA,1. Ligue 1,8°,1.0,,,,,,,,,,,,,,,,Partite
2015-2016,23,Lille,fr FRA,1. Ligue 1,5°,25.8,,,,,,,,,,,,,,,,Partite
2016-2017,24,Lille,fr FRA,1. Ligue 1,11°,25.8,,,,,,,0,,,,,,,,,Partite
2017-2018,25,Lille,fr FRA,1. Ligue 1,17°,13.2,586,561,22,21,0,0,0,1,0,0,0,0,540,3,1,Partite
2018-2019,26,Lille,fr FRA,1. Ligue 1,2°,19.1,926,881,45,45,0,3,0,0,0,0,0,0,873,0,3,Partite
2019-2020,27,Genoa,it ITA,1. Serie A,17°,7.1,327,314,13,12,0,0,0,1,0,0,0,0,302,0,0,Partite
2019-2020,27,Lille,fr FRA,1. Ligue 1,4°,4.6,350,341,9,8,0,0,0,1,0,0,0,0,337,0,0,Partite
2020-2021,28,Lille,fr FRA,1. Ligue 1,1°,1.6,116,115,1,1,0,0,0,0,0,0,0,0,110,0,0,Partite
2020-2021,28,Bologna,it ITA,1. Serie A,12°,19.5,925,853,71,67,0,1,0,4,0,0,0,0,822,1,5,Partite
2021-2022,29,Bologna,it ITA,1. Serie A,13°,25.2,1043,989,53,41,1,3,2,12,0,0,0,0,930,1,11,Partite
2022-2023,30,Bologna,it ITA,1. Serie A,9°,20.7,1075,1021,48,47,0,1,0,1,0,0,0,0,996,6,5,Partite
10 stagioni,3 club,,2 campionati,,167.4,5348,5075,262,242,1,8,2,20,0,0,0,0,4910,11,25,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Lille (8 stagioni),,1 campionato,,94.9,1978,1898,77,75,0,3,0,2,0,0,0,0,1860,3,4,
Bologna (3 stagioni),,1 campionato,,65.4,3043,2863,172,155,1,5,2,17,0,0,0,0,2748,8,21,
Genoa (1 stagione),,1 campionato,,7.1,327,314,13,12,0,0,0,1,0,0,0,0,302,0,0,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (8 stagioni),,,,94.9,1978,1898,77,75,0,3,0,2,0,0,0,0,1860,3,4,
Serie A (4 stagioni),,,,72.5,3370,3177,185,167,1,5,2,18,0,0,0,0,3050,8,21,
