,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2015,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,RB Leipzig (3 stagioni),Manchester City (3 stagioni),Manchester City (2 stagioni),NAC Breda (1 stagione),PSV Eindhoven (1 stagione),Hoffenheim (1 stagione),Mallorca (1 stagione),NYCFC (1 stagione),Galatasaray (1 stagione),Roma (1 stagione),,Bundesliga (4 stagioni),Premier League (3 stagioni),Eredivisie (2 stagioni),PL2 — Div. 1 (2 stagioni),Segunda División (1 stagione),MLS (1 stagione),Süper Lig (1 stagione),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2015,18,NYCFC,us USA,1. MLS,17°,11.0,,,,,,,,,,,,,,,,,Partite
2016-2017,19,Mallorca,es ESP,2. Segunda División,20°,13.7,,0,,,,,,,,,,,0,,,,Partite
2016-2017,19,Manchester City,eng ENG,Jr. PL2 — Div. 1,2°,6.0,,,,,,,,,,,,,,,,,Partite
2017-2018,20,NAC Breda,nl NED,1. Eredivisie,14°,34.0,,0,,,,,,,,,,,0,,,,Partite
2018-2019,21,PSV Eindhoven,nl NED,1. Eredivisie,2°,33.9,74,41,39,28,7,37,60,"61,7",23,34,7,27,48,122,89,0,Partite
2019-2020,22,Manchester City,eng ENG,1. Premier League,2°,4.7,5,2,3,1,1,5,7,"71,4",2,1,0,1,9,14,15,0,Partite
2019-2020,22,Manchester City,eng ENG,Jr. PL2 — Div. 1,9°,1.0,,,,,,,,,,,,,,,,,Partite
2019-2020,22,RB Leipzig,de GER,1. Bundesliga,3°,12.2,15,9,7,5,3,5,15,"33,3",10,14,1,13,19,34,24,0,Partite
2020-2021,23,RB Leipzig,de GER,1. Bundesliga,2°,24.0,31,19,10,18,3,13,24,"54,2",11,22,1,21,30,61,40,0,Partite
2021-2022,24,RB Leipzig,de GER,1. Bundesliga,4°,25.5,28,21,14,13,1,14,30,"46,7",16,24,3,21,29,57,40,0,Partite
2022-2023,25,Hoffenheim,de GER,1. Bundesliga,12°,29.1,40,24,19,18,3,23,37,"62,2",14,32,6,26,25,65,67,0,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.5,1,1,1,0,0,0,0,,0,2,0,2,2,3,12,0,Partite
2023-2024,26,Galatasaray,tr TUR,1. Süper Lig,2°,6.7,,6,,,,,,,,,,,12,,,,Partite
10 stagioni,9 club,,7 campionati,,198.4,194,123,93,83,18,97,173,"56,1",76,129,18,111,174,356,287,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
RB Leipzig (3 stagioni),,1 campionato,,61.7,74,49,31,36,7,32,69,"46,4",37,60,5,55,78,152,104,0,
Manchester City (3 stagioni),,1 campionato,,4.7,5,2,3,1,1,5,7,"71,4",2,1,0,1,9,14,15,0,
Manchester City (2 stagioni),,1 campionato,,7.0,,,,,,,,,,,,,,0,,,
NAC Breda (1 stagione),,1 campionato,,34.0,,0,,,,,,,,,,,0,0,,,
PSV Eindhoven (1 stagione),,1 campionato,,33.9,74,41,39,28,7,37,60,"61,7",23,34,7,27,48,122,89,0,
Hoffenheim (1 stagione),,1 campionato,,29.1,40,24,19,18,3,23,37,"62,2",14,32,6,26,25,65,67,0,
Mallorca (1 stagione),,1 campionato,,13.7,,0,,,,,,,,,,,0,0,,,
NYCFC (1 stagione),,1 campionato,,11.0,,,,,,,,,,,,,,0,,,
Galatasaray (1 stagione),,1 campionato,,6.7,,6,,,,,,,,,,,12,0,,,
Roma (1 stagione),,1 campionato,,3.5,1,1,1,0,0,0,0,,0,2,0,2,2,3,12,0,
,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 stagioni),,,,90.8,114,73,50,54,10,55,106,"51,9",51,92,11,81,103,217,171,0,
Premier League (3 stagioni),,,,4.7,5,2,3,1,1,5,7,"71,4",2,1,0,1,9,14,15,0,
Eredivisie (2 stagioni),,,,67.9,74,41,39,28,7,37,60,"61,7",23,34,7,27,48,122,89,0,
PL2 — Div. 1 (2 stagioni),,,,7.0,,,,,,,,,,,,,,0,,,
Segunda División (1 stagione),,,,13.7,,0,,,,,,,,,,,0,0,,,
MLS (1 stagione),,,,11.0,,,,,,,,,,,,,,0,,,
Süper Lig (1 stagione),,,,6.7,,6,,,,,,,,,,,12,0,,,
Serie A (1 stagione),,,,3.5,1,1,1,0,0,0,0,,0,2,0,2,2,3,12,0,
