,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2015,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,RB Leipzig (3 stagioni),Manchester City (3 stagioni),Manchester City (2 stagioni),NAC Breda (1 stagione),PSV Eindhoven (1 stagione),Hoffenheim (1 stagione),Mallorca (1 stagione),NYCFC (1 stagione),Galatasaray (1 stagione),Roma (1 stagione),,Bundesliga (4 stagioni),Premier League (3 stagioni),Eredivisie (2 stagioni),PL2 — Div. 1 (2 stagioni),Segunda División (1 stagione),MLS (1 stagione),Süper Lig (1 stagione),Serie A (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2015,18,NYCFC,us USA,1. MLS,17°,11.0,,,,,,,,,,,,,,,,,Partite
2016-2017,19,Mallorca,es ESP,2. Segunda División,20°,13.7,,,,,,,,,,,,,,,,,Partite
2016-2017,19,Manchester City,eng ENG,Jr. PL2 — Div. 1,2°,6.0,,,,,,,,,,,,,,,,,Partite
2017-2018,20,NAC Breda,nl NED,1. Eredivisie,14°,34.0,,,,,,,,,,,,,,,,,Partite
2018-2019,21,PSV Eindhoven,nl NED,1. Eredivisie,2°,33.9,129,"3,81",106,8,6,2,5,2,17,"0,50",14,1,0,0,0,2,Partite
2019-2020,22,Manchester City,eng ENG,1. Premier League,2°,4.7,15,"3,19",15,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,22,Manchester City,eng ENG,Jr. PL2 — Div. 1,9°,1.0,,,,,,,,,,,,,,,,,Partite
2019-2020,22,RB Leipzig,de GER,1. Bundesliga,3°,12.2,41,"3,37",27,9,3,1,1,0,5,"0,41",4,0,1,0,0,0,Partite
2020-2021,23,RB Leipzig,de GER,1. Bundesliga,2°,24.0,96,"4,00",65,14,6,6,3,2,9,"0,37",5,1,1,1,1,0,Partite
2021-2022,24,RB Leipzig,de GER,1. Bundesliga,4°,25.5,83,"3,25",53,22,3,4,1,0,8,"0,31",5,3,0,0,0,0,Partite
2022-2023,25,Hoffenheim,de GER,1. Bundesliga,12°,29.1,88,"3,03",61,20,1,2,3,1,10,"0,34",8,1,0,1,0,0,Partite
2023-2024,26,Roma,it ITA,1. Serie A,5°,3.5,8,"2,26",7,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,26,Galatasaray,tr TUR,1. Süper Lig,2°,6.7,,,,,,,,,,,,,,,,,Partite
10 stagioni,9 club,,7 campionati,,198.4,460,"3,46",334,74,19,15,13,5,49,"0,37",36,6,2,2,1,2,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
RB Leipzig (3 stagioni),,1 campionato,,61.7,220,"3,57",145,45,12,11,5,2,22,"0,36",14,4,2,1,1,0,
Manchester City (3 stagioni),,1 campionato,,4.7,15,"3,19",15,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Manchester City (2 stagioni),,1 campionato,,7.0,,,,,,,,,,,,,,,,,
NAC Breda (1 stagione),,1 campionato,,34.0,,,,,,,,,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,33.9,129,"3,81",106,8,6,2,5,2,17,"0,50",14,1,0,0,0,2,
Hoffenheim (1 stagione),,1 campionato,,29.1,88,"3,03",61,20,1,2,3,1,10,"0,34",8,1,0,1,0,0,
Mallorca (1 stagione),,1 campionato,,13.7,,,,,,,,,,,,,,,,,
NYCFC (1 stagione),,1 campionato,,11.0,,,,,,,,,,,,,,,,,
Galatasaray (1 stagione),,1 campionato,,6.7,,,,,,,,,,,,,,,,,
Roma (1 stagione),,1 campionato,,3.5,8,"2,26",7,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 stagioni),,,,90.8,308,"3,39",206,65,13,13,8,3,32,"0,35",22,5,2,2,1,0,
Premier League (3 stagioni),,,,4.7,15,"3,19",15,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Eredivisie (2 stagioni),,,,67.9,129,"3,81",106,8,6,2,5,2,17,"0,50",14,1,0,0,0,2,
PL2 — Div. 1 (2 stagioni),,,,7.0,,,,,,,,,,,,,,,,,
Segunda División (1 stagione),,,,13.7,,,,,,,,,,,,,,,,,
MLS (1 stagione),,,,11.0,,,,,,,,,,,,,,,,,
Süper Lig (1 stagione),,,,6.7,,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,3.5,8,"2,26",7,1,0,0,0,0,0,"0,00",0,0,0,0,0,0,
