,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2009-2010,,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Sampdoria (8 stagioni),Legia Warsaw (5 stagioni),Lech Poznań (2 stagioni),Empoli (1 stagione),Napoli (1 stagione),,Serie A (8 stagioni),Ekstraklasa (6 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2009-2010,17,Lech Poznań,pl POL,1. Ekstraklasa,1°,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,20,Lech Poznań,pl POL,1. Ekstraklasa,2°,5.5,,,,,,,,,,,,,,,,,Partite
2012-2013,20,Legia Warsaw,pl POL,1. Ekstraklasa,1°,9.4,,,,,,,,,,,,,,,,,Partite
2013-2014,21,Legia Warsaw,pl POL,1. Ekstraklasa,1°,17.2,,,,,,,,,,,,,,,,,Partite
2014-2015,22,Legia Warsaw,pl POL,1. Ekstraklasa,2°,14.4,,,,,,,,,,,,,,,,,Partite
2015-2016,23,Legia Warsaw,pl POL,1. Ekstraklasa,1°,8.6,,,,,,,,,,,,,,,,,Partite
2016-2017,24,Legia Warsaw,pl POL,1. Ekstraklasa,1°,11.0,,0,,,,,,,,,,,0,,,,Partite
2016-2017,24,Sampdoria,it ITA,1. Serie A,10°,11.7,,22,,,,,,,,,,,17,,,,Partite
2017-2018,25,Sampdoria,it ITA,1. Serie A,10°,27.6,63,47,30,28,5,31,53,"58,5",22,33,8,25,30,93,98,2,Partite
2018-2019,26,Sampdoria,it ITA,1. Serie A,9°,24.4,46,30,27,15,4,24,51,"47,1",27,22,7,15,31,77,76,0,Partite
2019-2020,27,Sampdoria,it ITA,1. Serie A,15°,26.7,53,35,25,23,5,26,52,"50,0",26,38,16,22,35,88,88,1,Partite
2020-2021,28,Sampdoria,it ITA,1. Serie A,9°,29.0,66,44,37,22,7,41,73,"56,2",32,40,20,20,42,108,88,0,Partite
2021-2022,29,Sampdoria,it ITA,1. Serie A,15°,32.7,64,38,34,25,5,37,80,"46,3",43,38,12,26,42,106,73,1,Partite
2022-2023,30,Napoli,it ITA,1. Serie A,1°,1.8,3,2,1,1,1,2,2,"100,0",0,4,0,4,3,6,3,0,Partite
2022-2023,30,Sampdoria,it ITA,1. Serie A,20°,13.3,28,18,15,11,2,17,26,"65,4",9,18,4,14,21,49,25,0,Partite
2023-2024,31,Sampdoria,it ITA,2. Serie B,11°,1.0,0,0,0,0,0,0,3,"0,0",3,0,0,0,0,0,5,0,Partite
2023-2024,31,Empoli,it ITA,1. Serie A,13°,9.7,21,11,12,7,2,11,18,"61,1",7,7,3,4,9,30,24,0,Partite
13 stagioni,5 club,,3 campionati,,244.0,344,247,181,132,31,189,358,"52,8",169,200,70,130,230,557,480,4,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Sampdoria (8 stagioni),,2 campionati,,166.4,320,234,168,124,28,176,338,"52,1",162,189,67,122,218,521,453,4,
Legia Warsaw (5 stagioni),,1 campionato,,60.5,,0,,,,,,,,,,,0,0,,,
Lech Poznań (2 stagioni),,1 campionato,,5.6,,,,,,,,,,,,,,0,,,
Empoli (1 stagione),,1 campionato,,9.7,21,11,12,7,2,11,18,"61,1",7,7,3,4,9,30,24,0,
Napoli (1 stagione),,1 campionato,,1.8,3,2,1,1,1,2,2,"100,0",0,4,0,4,3,6,3,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,176.9,344,247,181,132,31,189,355,"53,2",166,200,70,130,230,557,475,4,
Ekstraklasa (6 stagioni),,,,66.1,,0,,,,,,,,,,,0,0,,,
Serie B (1 stagione),,,,1.0,0,0,0,0,0,0,3,"0,0",3,0,0,0,0,0,5,0,
