,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Sampdoria (8 stagioni),Legia Warsaw (5 stagioni),Lech Poznań (2 stagioni),Empoli (1 stagione),Napoli (1 stagione),,Serie A (8 stagioni),Ekstraklasa (6 stagioni),Serie B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,17,Lech Poznań,pl POL,1. Ekstraklasa,1°,0.1,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,20,Lech Poznań,pl POL,1. Ekstraklasa,2°,5.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,20,Legia Warsaw,pl POL,1. Ekstraklasa,1°,9.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,21,Legia Warsaw,pl POL,1. Ekstraklasa,1°,17.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,22,Legia Warsaw,pl POL,1. Ekstraklasa,2°,14.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,23,Legia Warsaw,pl POL,1. Ekstraklasa,1°,8.6,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2016-2017,24,Legia Warsaw,pl POL,1. Ekstraklasa,1°,11.0,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2016-2017,24,Sampdoria,it ITA,1. Serie A,10°,11.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,25,Sampdoria,it ITA,1. Serie A,10°,27.6,1271,1606,"79,1",20496,7823,649,726,"89,4",485,601,"80,7",107,199,"53,8",1,1.0,1.0,0.0,12,99,16,8,118,Partite
2018-2019,26,Sampdoria,it ITA,1. Serie A,9°,24.4,1298,1580,"82,2",18512,7514,789,865,"91,2",395,477,"82,8",64,128,"50,0",2,0.7,1.4,+1.3,11,113,16,7,150,Partite
2019-2020,27,Sampdoria,it ITA,1. Serie A,15°,26.7,1038,1350,"76,9",16013,6914,568,644,"88,2",388,497,"78,1",59,133,"44,4",0,0.5,0.9,-0.5,9,87,18,12,117,Partite
2020-2021,28,Sampdoria,it ITA,1. Serie A,9°,29.0,1203,1496,"80,4",18103,7023,665,728,"91,3",420,526,"79,8",69,139,"49,6",0,0.7,1.1,-0.7,8,76,19,6,103,Partite
2021-2022,29,Sampdoria,it ITA,1. Serie A,15°,32.7,1251,1606,"77,9",18173,7708,710,808,"87,9",390,506,"77,1",78,159,"49,1",3,1.8,1.7,+1.2,20,77,28,12,105,Partite
2022-2023,30,Napoli,it ITA,1. Serie A,1°,1.8,87,105,"82,9",1252,420,54,59,"91,5",26,33,"78,8",4,5,"80,0",1,0.2,0.1,+0.8,2,5,3,0,7,Partite
2022-2023,30,Sampdoria,it ITA,1. Serie A,20°,13.3,471,644,"73,1",6989,3219,286,316,"90,5",143,210,"68,1",28,73,"38,4",0,0.1,0.3,-0.1,3,32,10,3,44,Partite
2023-2024,31,Sampdoria,it ITA,2. Serie B,11°,1.0,50,61,"82,0",821,246,23,26,"88,5",22,23,"95,7",5,9,"55,6",0,0.0,0.1,0.0,0,3,1,0,5,Partite
2023-2024,31,Empoli,it ITA,1. Serie A,13°,9.7,366,466,"78,5",6063,2516,188,211,"89,1",139,177,"78,5",29,49,"59,2",1,0.2,0.3,+0.8,6,36,5,3,40,Partite
13 stagioni,5 club,,3 campionati,,244.0,7035,8914,"78,9",106422,43383,3932,4383,"89,7",2408,3050,"79,0",443,894,"49,6",11,5.2,6.9,+5.8,71,528,116,51,689,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Sampdoria (8 stagioni),,2 campionati,,166.4,6582,8343,"78,9",99107,40447,3690,4113,"89,7",2243,2840,"79,0",410,840,"48,8",6,4.8,6.5,+1.2,63,487,108,48,642,
Legia Warsaw (5 stagioni),,1 campionato,,60.5,,,,,,,,,,,,,,,3,,,,,,,,,
Lech Poznań (2 stagioni),,1 campionato,,5.6,,,,,,,,,,,,,,,0,,,,,,,,,
Empoli (1 stagione),,1 campionato,,9.7,366,466,"78,5",6063,2516,188,211,"89,1",139,177,"78,5",29,49,"59,2",1,0.2,0.3,+0.8,6,36,5,3,40,
Napoli (1 stagione),,1 campionato,,1.8,87,105,"82,9",1252,420,54,59,"91,5",26,33,"78,8",4,5,"80,0",1,0.2,0.1,+0.8,2,5,3,0,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,176.9,6985,8853,"78,9",105601,43137,3909,4357,"89,7",2386,3027,"78,8",438,885,"49,5",8,5.2,6.8,+2.8,71,525,115,51,684,
Ekstraklasa (6 stagioni),,,,66.1,,,,,,,,,,,,,,,3,,,,,,,,,
Serie B (1 stagione),,,,1.0,50,61,"82,0",821,246,23,26,"88,5",22,23,"95,7",5,9,"55,6",0,0.0,0.1,0.0,0,3,1,0,5,
