,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2009-2010,,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sampdoria (8 stagioni),Legia Warsaw (5 stagioni),Lech Poznań (2 stagioni),Empoli (1 stagione),Napoli (1 stagione),,Serie A (8 stagioni),Ekstraklasa (6 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2009-2010,17,Lech Poznań,pl POL,1. Ekstraklasa,1°,0.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2012-2013,20,Lech Poznań,pl POL,1. Ekstraklasa,2°,5.5,,,,,,,,,,,,,,,,Partite
2012-2013,20,Legia Warsaw,pl POL,1. Ekstraklasa,1°,9.4,,,,,,,,,,,,,,,,Partite
2013-2014,21,Legia Warsaw,pl POL,1. Ekstraklasa,1°,17.2,,,,,,,,,,,,,,,,Partite
2014-2015,22,Legia Warsaw,pl POL,1. Ekstraklasa,2°,14.4,,,,,,,,,,,,,,,,Partite
2015-2016,23,Legia Warsaw,pl POL,1. Ekstraklasa,1°,8.6,,,,,,,,,,,,,,,,Partite
2016-2017,24,Legia Warsaw,pl POL,1. Ekstraklasa,1°,11.0,,,,,,,0,,,,,,,,,Partite
2016-2017,24,Sampdoria,it ITA,1. Serie A,10°,11.7,,,,,,,28,,,,,,,,,Partite
2017-2018,25,Sampdoria,it ITA,1. Serie A,10°,27.6,1606,1302,303,21,0,1,61,282,0,0,0,0,1271,1,56,Partite
2018-2019,26,Sampdoria,it ITA,1. Serie A,9°,24.4,1580,1328,250,43,2,0,53,207,0,0,0,0,1298,2,38,Partite
2019-2020,27,Sampdoria,it ITA,1. Serie A,15°,26.7,1350,1074,271,33,0,4,49,238,0,0,0,0,1038,5,29,Partite
2020-2021,28,Sampdoria,it ITA,1. Serie A,9°,29.0,1496,1218,274,41,0,2,46,233,0,0,0,0,1203,4,26,Partite
2021-2022,29,Sampdoria,it ITA,1. Serie A,15°,32.7,1606,1322,279,45,0,7,60,233,1,0,0,0,1251,5,43,Partite
2022-2023,30,Napoli,it ITA,1. Serie A,1°,1.8,105,84,21,1,0,2,0,20,0,0,0,0,87,0,3,Partite
2022-2023,30,Sampdoria,it ITA,1. Serie A,20°,13.3,644,480,161,28,0,1,31,133,0,0,0,0,471,3,19,Partite
2023-2024,31,Sampdoria,it ITA,2. Serie B,11°,1.0,61,50,11,1,0,0,0,10,0,0,0,0,50,0,3,Partite
2023-2024,31,Empoli,it ITA,1. Serie A,13°,9.7,466,377,87,12,0,1,13,75,0,0,0,0,366,2,16,Partite
13 stagioni,5 club,,3 campionati,,244.0,8914,7235,1657,225,2,18,341,1431,1,0,0,0,7035,22,233,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sampdoria (8 stagioni),,2 campionati,,166.4,8343,6774,1549,212,2,15,328,1336,1,0,0,0,6582,20,214,
Legia Warsaw (5 stagioni),,1 campionato,,60.5,,,,,,,0,,,,,,,,,
Lech Poznań (2 stagioni),,1 campionato,,5.6,,,,,,,,,,,,,,,,
Empoli (1 stagione),,1 campionato,,9.7,466,377,87,12,0,1,13,75,0,0,0,0,366,2,16,
Napoli (1 stagione),,1 campionato,,1.8,105,84,21,1,0,2,0,20,0,0,0,0,87,0,3,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,176.9,8853,7185,1646,224,2,18,341,1421,1,0,0,0,6985,22,230,
Ekstraklasa (6 stagioni),,,,66.1,,,,,,,0,,,,,,,,,
Serie B (1 stagione),,,,1.0,61,50,11,1,0,0,0,10,0,0,0,0,50,0,3,
