,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Atalanta (7 stagioni),Zürich (5 stagioni),Avellino (1 stagione),Benevento (1 stagione),,Serie A (8 stagioni),Super Lg (5 stagioni),Serie B (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,1.1,,,,,,,,,,,,,,,,,
2012-2013,19,Zürich,ch SUI,1. Super Lg,4°,32.3,,,,,,,,,,,,,,,,,
2013-2014,20,Zürich,ch SUI,1. Super Lg,5°,24.1,,,,,,,,,,,,,,,,,
2014-2015,21,Zürich,ch SUI,1. Super Lg,3°,31.0,,,,,,,,,,,,,,,,,Partite
2015-2016,22,Zürich,ch SUI,1. Super Lg,10°,13.1,,,,,,,,,,,,,,,,,Partite
2015-2016,22,Atalanta,it ITA,1. Serie A,13°,3.0,,,,,,,,,,,,,,,,,Partite
2016-2017,23,Avellino,it ITA,2. Serie B,14°,34.7,,,,,,,,,,,,,,,,,Partite
2017-2018,24,Benevento,it ITA,1. Serie A,20°,30.0,22,"0,73",17,1,1,2,1,0,2,"0,07",2,0,0,0,0,0,Partite
2018-2019,25,Atalanta,it ITA,1. Serie A,3°,20.1,16,"0,80",13,0,0,2,0,1,6,"0,30",4,0,0,2,0,0,Partite
2019-2020,26,Atalanta,it ITA,1. Serie A,3°,30.9,31,"1,00",28,0,0,3,0,0,1,"0,03",0,0,0,1,0,0,Partite
2020-2021,27,Atalanta,it ITA,1. Serie A,3°,29.2,40,"1,37",32,2,1,5,0,0,7,"0,24",4,1,0,2,0,0,Partite
2021-2022,28,Atalanta,it ITA,1. Serie A,8°,25.1,23,"0,92",16,0,1,5,0,1,2,"0,08",2,0,0,0,0,0,Partite
2022-2023,29,Atalanta,it ITA,1. Serie A,5°,20.0,10,"0,50",8,0,0,1,1,0,4,"0,20",3,0,0,1,0,0,Partite
2023-2024,30,Atalanta,it ITA,1. Serie A,6°,24.0,12,"0,50",11,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
13 stagioni,4 club,,3 campionati,,318.6,154,"0,86",125,3,3,19,2,2,22,"0,12",15,1,0,6,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Atalanta (7 stagioni),,1 campionato,,152.2,132,"0,88",108,2,2,17,1,2,20,"0,13",13,1,0,6,0,0,
Zürich (5 stagioni),,1 campionato,,101.7,,,,,,,,,,,,,,,,,
Avellino (1 stagione),,1 campionato,,34.7,,,,,,,,,,,,,,,,,
Benevento (1 stagione),,1 campionato,,30.0,22,"0,73",17,1,1,2,1,0,2,"0,07",2,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,182.2,154,"0,86",125,3,3,19,2,2,22,"0,12",15,1,0,6,0,0,
Super Lg (5 stagioni),,,,101.7,,,,,,,,,,,,,,,,,
Serie B (1 stagione),,,,34.7,,,,,,,,,,,,,,,,,
