,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Atalanta (7 stagioni),Zürich (5 stagioni),Avellino (1 stagione),Benevento (1 stagione),,Serie A (8 stagioni),Super Lg (5 stagioni),Serie B (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,1.1,,,,,,,,,,,,,,,0,,,,,,,,,
2012-2013,19,Zürich,ch SUI,1. Super Lg,4°,32.3,,,,,,,,,,,,,,,1,,,,,,,,,
2013-2014,20,Zürich,ch SUI,1. Super Lg,5°,24.1,,,,,,,,,,,,,,,1,,,,,,,,,
2014-2015,21,Zürich,ch SUI,1. Super Lg,3°,31.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,22,Zürich,ch SUI,1. Super Lg,10°,13.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,22,Atalanta,it ITA,1. Serie A,13°,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,23,Avellino,it ITA,2. Serie B,14°,34.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,24,Benevento,it ITA,1. Serie A,20°,30.0,1423,1618,"87,9",27772,10280,470,513,"91,6",768,830,"92,5",168,233,"72,1",1,0.6,0.5,+0.4,3,64,2,0,90,Partite
2018-2019,25,Atalanta,it ITA,1. Serie A,3°,20.1,946,1046,"90,4",18660,5669,298,324,"92,0",513,538,"95,4",113,148,"76,4",2,2.0,0.7,0.0,6,20,3,1,37,Partite
2019-2020,26,Atalanta,it ITA,1. Serie A,3°,30.9,1615,1876,"86,1",26127,8416,798,862,"92,6",612,706,"86,7",129,192,"67,2",1,1.1,0.7,-0.1,12,83,5,0,93,Partite
2020-2021,27,Atalanta,it ITA,1. Serie A,3°,29.2,1568,1798,"87,2",25553,8946,777,845,"92,0",634,706,"89,8",113,166,"68,1",3,2.3,2.5,+0.7,21,135,23,2,150,Partite
2021-2022,28,Atalanta,it ITA,1. Serie A,8°,25.1,1192,1435,"83,1",19624,7246,589,660,"89,2",471,530,"88,9",97,169,"57,4",1,1.6,1.1,-0.6,13,99,18,7,100,Partite
2022-2023,29,Atalanta,it ITA,1. Serie A,5°,20.0,953,1093,"87,2",16622,5292,419,457,"91,7",451,495,"91,1",68,109,"62,4",1,0.2,0.5,+0.8,4,48,2,0,45,Partite
2023-2024,30,Atalanta,it ITA,1. Serie A,6°,24.0,1082,1228,"88,1",21074,6475,339,387,"87,6",614,658,"93,3",114,150,"76,0",0,0.6,0.3,-0.6,5,21,2,1,49,Partite
13 stagioni,4 club,,3 campionati,,318.6,8779,10094,"87,0",155432,52324,3690,4048,"91,2",4063,4463,"91,0",802,1167,"68,7",11,8.5,6.2,+2.5,64,470,55,11,564,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Atalanta (7 stagioni),,1 campionato,,152.2,7356,8476,"86,8",127660,42044,3220,3535,"91,1",3295,3633,"90,7",634,934,"67,9",8,7.9,5.7,+0.1,61,406,53,11,474,
Zürich (5 stagioni),,1 campionato,,101.7,,,,,,,,,,,,,,,2,,,,,,,,,
Avellino (1 stagione),,1 campionato,,34.7,,,,,,,,,,,,,,,0,,,,,,,,,
Benevento (1 stagione),,1 campionato,,30.0,1423,1618,"87,9",27772,10280,470,513,"91,6",768,830,"92,5",168,233,"72,1",1,0.6,0.5,+0.4,3,64,2,0,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,182.2,8779,10094,"87,0",155432,52324,3690,4048,"91,2",4063,4463,"91,0",802,1167,"68,7",9,8.5,6.2,+0.5,64,470,55,11,564,
Super Lg (5 stagioni),,,,101.7,,,,,,,,,,,,,,,2,,,,,,,,,
Serie B (1 stagione),,,,34.7,,,,,,,,,,,,,,,0,,,,,,,,,
