,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Atalanta (7 stagioni),Zürich (5 stagioni),Avellino (1 stagione),Benevento (1 stagione),,Serie A (8 stagioni),Super Lg (5 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,1.1,,,,,,,,,,,,,,,,
2012-2013,19,Zürich,ch SUI,1. Super Lg,4°,32.3,,,,,,,,,,,,,,,,
2013-2014,20,Zürich,ch SUI,1. Super Lg,5°,24.1,,,,,,,,,,,,,,,,
2014-2015,21,Zürich,ch SUI,1. Super Lg,3°,31.0,,,,,,,,,,,,,,,,Partite
2015-2016,22,Zürich,ch SUI,1. Super Lg,10°,13.1,,,,,,,,,,,,,,,,Partite
2015-2016,22,Atalanta,it ITA,1. Serie A,13°,3.0,,,,,,,,,,,,,,,,Partite
2016-2017,23,Avellino,it ITA,2. Serie B,14°,34.7,,,,,,,,,,,,,,,,Partite
2017-2018,24,Benevento,it ITA,1. Serie A,20°,30.0,1618,1542,73,62,0,17,1,11,0,0,0,0,1423,3,8,Partite
2018-2019,25,Atalanta,it ITA,1. Serie A,3°,20.1,1046,1002,41,33,0,16,1,8,0,0,0,0,946,3,4,Partite
2019-2020,26,Atalanta,it ITA,1. Serie A,3°,30.9,1876,1763,111,57,0,20,3,54,0,0,0,0,1615,2,17,Partite
2020-2021,27,Atalanta,it ITA,1. Serie A,3°,29.2,1798,1706,91,40,0,10,9,51,0,0,0,0,1568,1,17,Partite
2021-2022,28,Atalanta,it ITA,1. Serie A,8°,25.1,1435,1348,84,40,0,14,11,44,0,0,0,0,1192,3,16,Partite
2022-2023,29,Atalanta,it ITA,1. Serie A,5°,20.0,1093,1047,45,29,0,3,0,15,0,0,0,0,953,1,8,Partite
2023-2024,30,Atalanta,it ITA,1. Serie A,6°,24.0,1228,1180,46,39,0,4,4,7,0,0,0,0,1082,2,8,Partite
13 stagioni,4 club,,3 campionati,,318.6,10094,9588,491,300,0,84,29,190,0,0,0,0,8779,15,78,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Atalanta (7 stagioni),,1 campionato,,152.2,8476,8046,418,238,0,67,28,179,0,0,0,0,7356,12,70,
Zürich (5 stagioni),,1 campionato,,101.7,,,,,,,,,,,,,,,,
Avellino (1 stagione),,1 campionato,,34.7,,,,,,,,,,,,,,,,
Benevento (1 stagione),,1 campionato,,30.0,1618,1542,73,62,0,17,1,11,0,0,0,0,1423,3,8,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,182.2,10094,9588,491,300,0,84,29,190,0,0,0,0,8779,15,78,
Super Lg (5 stagioni),,,,101.7,,,,,,,,,,,,,,,,
Serie B (1 stagione),,,,34.7,,,,,,,,,,,,,,,,
