,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Udinese (6 stagioni),Anderlecht (5 stagioni),NEC Nijmegen (5 stagioni),Sampdoria (1 stagione),,Serie A (6 stagioni),First Division A (5 stagioni),Eredivisie (5 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2009-2010,19,NEC Nijmegen,nl NED,1. Eredivisie,13°,12.0,,,,,,,,,,,,,,,,,Partite
2010-2011,20,NEC Nijmegen,nl NED,1. Eredivisie,11°,30.5,,,,,,,,,,,,,,,,,Partite
2011-2012,21,NEC Nijmegen,nl NED,1. Eredivisie,8°,24.3,,,,,,,,,,,,,,,,,Partite
2012-2013,22,NEC Nijmegen,nl NED,1. Eredivisie,15°,1.5,,,,,,,,,,,,,,,,,Partite
2012-2013,22,Anderlecht,be BEL,1. Pro League,1°,32.9,,,,,,,,,,,,,,,,,Partite
2013-2014,23,Anderlecht,be BEL,1. Pro League,1°,22.1,,,,,,,,,,,,,,,,,Partite
2014-2015,24,Anderlecht,be BEL,1. Pro League,3°,9.2,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Anderlecht,be BEL,1. Pro League,2°,13.7,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Anderlecht,be BEL,1. First Division A,1°,26.3,,0,,,,,,,,,,,0,,,,Partite
2017-2018,27,Udinese,it ITA,1. Serie A,14°,26.2,65,41,40,24,1,25,39,"64,1",14,43,24,19,37,102,124,1,Partite
2018-2019,28,Udinese,it ITA,1. Serie A,12°,23.6,50,35,34,13,3,25,33,"75,8",8,44,27,17,29,79,126,0,Partite
2019-2020,29,Udinese,it ITA,1. Serie A,13°,24.7,46,32,30,13,3,17,27,"63,0",10,50,32,18,27,73,96,1,Partite
2020-2021,30,Udinese,it ITA,1. Serie A,14°,18.2,21,15,10,9,2,13,20,"65,0",7,30,17,13,25,46,77,0,Partite
2021-2022,31,Udinese,it ITA,1. Serie A,12°,22.6,38,24,24,13,1,15,34,"44,1",19,42,31,11,22,60,101,0,Partite
2022-2023,32,Udinese,it ITA,1. Serie A,12°,4.3,7,4,3,4,0,4,8,"50,0",4,6,6,0,5,12,22,0,Partite
2022-2023,32,Sampdoria,it ITA,1. Serie A,20°,16.6,54,38,33,21,0,23,34,"67,6",11,36,21,15,23,77,84,0,Partite
2023-2024,33,NEC Nijmegen,nl NED,1. Eredivisie,6°,18.6,22,14,9,8,5,12,20,"60,0",8,45,34,11,19,41,88,0,Partite
15 stagioni,4 club,,3 campionati,,327.5,303,203,183,105,15,134,215,"62,3",81,296,192,104,187,490,718,2,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Udinese (6 stagioni),,1 campionato,,119.7,227,151,141,76,10,99,161,"61,5",62,215,137,78,145,372,546,2,
Anderlecht (5 stagioni),,1 campionato,,104.2,,0,,,,,,,,,,,0,0,,,
NEC Nijmegen (5 stagioni),,1 campionato,,87.0,22,14,9,8,5,12,20,"60,0",8,45,34,11,19,41,88,0,
Sampdoria (1 stagione),,1 campionato,,16.6,54,38,33,21,0,23,34,"67,6",11,36,21,15,23,77,84,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,136.3,281,189,174,97,10,122,195,"62,6",73,251,158,93,168,449,630,2,
First Division A (5 stagioni),,,,104.2,,0,,,,,,,,,,,0,0,,,
Eredivisie (5 stagioni),,,,87.0,22,14,9,8,5,12,20,"60,0",8,45,34,11,19,41,88,0,
