,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Udinese (6 stagioni),Anderlecht (5 stagioni),NEC Nijmegen (5 stagioni),Sampdoria (1 stagione),,Serie A (6 stagioni),First Division A (5 stagioni),Eredivisie (5 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,19,NEC Nijmegen,nl NED,1. Eredivisie,13°,12.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,20,NEC Nijmegen,nl NED,1. Eredivisie,11°,30.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,21,NEC Nijmegen,nl NED,1. Eredivisie,8°,24.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2012-2013,22,NEC Nijmegen,nl NED,1. Eredivisie,15°,1.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,22,Anderlecht,be BEL,1. Pro League,1°,32.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,23,Anderlecht,be BEL,1. Pro League,1°,22.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,24,Anderlecht,be BEL,1. Pro League,3°,9.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,25,Anderlecht,be BEL,1. Pro League,2°,13.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,26,Anderlecht,be BEL,1. First Division A,1°,26.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Udinese,it ITA,1. Serie A,14°,26.2,1062,1251,"84,9",21525,7599,328,357,"91,9",583,651,"89,6",139,210,"66,2",1,0.5,0.5,+0.5,3,68,4,0,78,Partite
2018-2019,28,Udinese,it ITA,1. Serie A,12°,23.6,726,893,"81,3",14335,5171,235,260,"90,4",376,433,"86,8",96,168,"57,1",0,0.4,1.0,-0.4,5,42,6,0,49,Partite
2019-2020,29,Udinese,it ITA,1. Serie A,13°,24.7,1102,1308,"84,3",20315,8462,425,459,"92,6",553,618,"89,5",106,198,"53,5",0,1.0,0.4,-1.0,7,95,3,0,91,Partite
2020-2021,30,Udinese,it ITA,1. Serie A,14°,18.2,697,835,"83,5",13452,5102,235,260,"90,4",380,419,"90,7",74,131,"56,5",0,0.1,0.1,-0.1,3,38,1,1,54,Partite
2021-2022,31,Udinese,it ITA,1. Serie A,12°,22.6,781,937,"83,4",15612,5968,230,253,"90,9",455,506,"89,9",90,160,"56,3",0,0.3,0.1,-0.3,3,23,2,1,23,Partite
2022-2023,32,Udinese,it ITA,1. Serie A,12°,4.3,113,139,"81,3",2516,1038,24,27,"88,9",67,75,"89,3",20,32,"62,5",0,0.0,0.0,0.0,0,4,1,0,4,Partite
2022-2023,32,Sampdoria,it ITA,1. Serie A,20°,16.6,559,659,"84,8",11417,3707,138,163,"84,7",359,387,"92,8",59,95,"62,1",1,0.3,0.4,+0.7,3,16,0,0,23,Partite
2023-2024,33,NEC Nijmegen,nl NED,1. Eredivisie,6°,18.6,1008,1150,"87,7",18905,6877,355,381,"93,2",557,590,"94,4",85,153,"55,6",0,0.2,0.4,-0.2,4,62,3,0,96,Partite
15 stagioni,4 club,,3 campionati,,327.5,6048,7172,"84,3",118077,43924,1970,2160,"91,2",3330,3679,"90,5",669,1147,"58,3",3,2.8,3.0,+0.2,28,348,20,2,418,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Udinese (6 stagioni),,1 campionato,,119.7,4481,5363,"83,6",87755,33340,1477,1616,"91,4",2414,2702,"89,3",525,899,"58,4",1,2.3,2.1,-1.3,21,270,17,2,299,
Anderlecht (5 stagioni),,1 campionato,,104.2,,,,,,,,,,,,,,,0,,,,,,,,,
NEC Nijmegen (5 stagioni),,1 campionato,,87.0,1008,1150,"87,7",18905,6877,355,381,"93,2",557,590,"94,4",85,153,"55,6",1,0.2,0.4,+0.8,4,62,3,0,96,
Sampdoria (1 stagione),,1 campionato,,16.6,559,659,"84,8",11417,3707,138,163,"84,7",359,387,"92,8",59,95,"62,1",1,0.3,0.4,+0.7,3,16,0,0,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,136.3,5040,6022,"83,7",99172,37047,1615,1779,"90,8",2773,3089,"89,8",584,994,"58,8",2,2.6,2.5,-0.6,24,286,17,2,322,
First Division A (5 stagioni),,,,104.2,,,,,,,,,,,,,,,0,,,,,,,,,
Eredivisie (5 stagioni),,,,87.0,1008,1150,"87,7",18905,6877,355,381,"93,2",557,590,"94,4",85,153,"55,6",1,0.2,0.4,+0.8,4,62,3,0,96,
