,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Udinese (6 stagioni),Anderlecht (5 stagioni),NEC Nijmegen (5 stagioni),Sampdoria (1 stagione),,Serie A (6 stagioni),First Division A (5 stagioni),Eredivisie (5 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2009-2010,19,NEC Nijmegen,nl NED,1. Eredivisie,13°,12.0,,,,,,,,,,,,,,,,Partite
2010-2011,20,NEC Nijmegen,nl NED,1. Eredivisie,11°,30.5,,,,,,,,,,,,,,,,Partite
2011-2012,21,NEC Nijmegen,nl NED,1. Eredivisie,8°,24.3,,,,,,,,,,,,,,,,Partite
2012-2013,22,NEC Nijmegen,nl NED,1. Eredivisie,15°,1.5,,,,,,,,,,,,,,,,Partite
2012-2013,22,Anderlecht,be BEL,1. Pro League,1°,32.9,,,,,,,,,,,,,,,,Partite
2013-2014,23,Anderlecht,be BEL,1. Pro League,1°,22.1,,,,,,,,,,,,,,,,Partite
2014-2015,24,Anderlecht,be BEL,1. Pro League,3°,9.2,,,,,,,,,,,,,,,,Partite
2015-2016,25,Anderlecht,be BEL,1. Pro League,2°,13.7,,,,,,,,,,,,,,,,Partite
2016-2017,26,Anderlecht,be BEL,1. First Division A,1°,26.3,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Udinese,it ITA,1. Serie A,14°,26.2,1251,1180,70,48,1,15,3,22,0,0,0,0,1062,1,9,Partite
2018-2019,28,Udinese,it ITA,1. Serie A,12°,23.6,893,837,54,48,0,17,4,6,0,0,0,0,726,2,8,Partite
2019-2020,29,Udinese,it ITA,1. Serie A,13°,24.7,1308,1258,46,32,0,13,6,14,0,0,0,0,1102,4,6,Partite
2020-2021,30,Udinese,it ITA,1. Serie A,14°,18.2,835,796,33,31,0,7,3,2,0,0,0,0,697,6,7,Partite
2021-2022,31,Udinese,it ITA,1. Serie A,12°,22.6,937,863,69,42,1,1,6,18,0,0,0,0,781,5,3,Partite
2022-2023,32,Udinese,it ITA,1. Serie A,12°,4.3,139,124,14,4,0,3,0,9,0,0,0,0,113,1,2,Partite
2022-2023,32,Sampdoria,it ITA,1. Serie A,20°,16.6,659,628,26,24,0,1,0,2,0,0,0,0,559,5,3,Partite
2023-2024,33,NEC Nijmegen,nl NED,1. Eredivisie,6°,18.6,1150,1115,31,19,1,3,2,0,0,0,0,0,1008,4,3,Partite
15 stagioni,4 club,,3 campionati,,327.5,7172,6801,343,248,3,60,24,73,0,0,0,0,6048,28,41,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Udinese (6 stagioni),,1 campionato,,119.7,5363,5058,286,205,2,56,22,71,0,0,0,0,4481,19,35,
Anderlecht (5 stagioni),,1 campionato,,104.2,,,,,,,0,,,,,,,,,
NEC Nijmegen (5 stagioni),,1 campionato,,87.0,1150,1115,31,19,1,3,2,0,0,0,0,0,1008,4,3,
Sampdoria (1 stagione),,1 campionato,,16.6,659,628,26,24,0,1,0,2,0,0,0,0,559,5,3,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,136.3,6022,5686,312,229,2,57,22,73,0,0,0,0,5040,24,38,
First Division A (5 stagioni),,,,104.2,,,,,,,0,,,,,,,,,
Eredivisie (5 stagioni),,,,87.0,1150,1115,31,19,1,3,2,0,0,0,0,0,1008,4,3,
