,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Fiorentina (7 stagioni),Chievo (2 stagioni),Pescara (1 stagione),Cittadella (1 stagione),Granada (1 stagione),Inter (1 stagione),Catania (1 stagione),Juve Stabia (1 stagione),,Serie A (11 stagioni),Serie B (2 stagioni),La Liga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9°,6.6,,,,,,,,,,,,,,,,
2012-2013,19,Cittadella,it ITA,2. Serie B,15°,30.4,,,,,,,,,,,,,,,,
2013-2014,20,Catania,it ITA,1. Serie A,18°,17.3,,,,,,,,,,,,,,,,Partite
2014-2015,21,Chievo,it ITA,1. Serie A,14°,14.5,,,,,,,,,,,,,,,,Partite
2015-2016,22,Granada,es ESP,1. La Liga,16°,31.3,,,,,,,89,,,,,,,,,Partite
2016-2017,23,Pescara,it ITA,1. Serie A,20°,33.2,,,,,,,130,,,,,,,,,Partite
2017-2018,24,Fiorentina,it ITA,1. Serie A,8°,33.1,1790,1336,446,73,2,5,245,280,93,31,56,0,1268,8,52,Partite
2018-2019,25,Fiorentina,it ITA,1. Serie A,16°,35.5,1941,1449,486,75,0,12,272,322,89,26,52,0,1359,6,69,Partite
2019-2020,26,Inter,it ITA,1. Serie A,2°,17.5,902,686,208,21,0,3,138,144,43,23,6,0,633,8,33,Partite
2020-2021,27,Fiorentina,it ITA,1. Serie A,13°,31.1,1735,1313,413,86,0,4,286,242,85,13,64,1,1175,9,50,Partite
2021-2022,28,Fiorentina,it ITA,1. Serie A,7°,35.0,2600,2017,575,130,0,34,278,324,121,18,82,0,2080,8,55,Partite
2022-2023,29,Fiorentina,it ITA,1. Serie A,8°,28.3,1994,1440,548,94,0,27,300,292,162,71,63,0,1433,6,37,Partite
2023-2024,30,Fiorentina,it ITA,1. Serie A,7°,20.2,1475,1081,391,76,0,14,173,236,79,23,39,0,1101,3,28,Partite
13 stagioni,8 club,,3 campionati,,334.1,12437,9322,3067,555,2,99,1911,1840,672,205,362,1,9049,48,324,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Fiorentina (7 stagioni),,1 campionato,,183.3,11535,8636,2859,534,2,96,1554,1696,629,182,356,1,8416,40,291,
Chievo (2 stagioni),,1 campionato,,14.5,,,,,,,,,,,,,,,,
Pescara (1 stagione),,1 campionato,,33.2,,,,,,,130,,,,,,,,,
Cittadella (1 stagione),,1 campionato,,30.4,,,,,,,,,,,,,,,,
Granada (1 stagione),,1 campionato,,31.3,,,,,,,89,,,,,,,,,
Inter (1 stagione),,1 campionato,,17.5,902,686,208,21,0,3,138,144,43,23,6,0,633,8,33,
Catania (1 stagione),,1 campionato,,17.3,,,,,,,,,,,,,,,,
Juve Stabia (1 stagione),,1 campionato,,6.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (11 stagioni),,,,265.8,12437,9322,3067,555,2,99,1822,1840,672,205,362,1,9049,48,324,
Serie B (2 stagioni),,,,36.9,,,,,,,,,,,,,,,,
La Liga (1 stagione),,,,31.3,,,,,,,89,,,,,,,,,
