,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Cagliari (5 stagioni),Sturm Graz (3 stagioni),Bologna (2 stagioni),Ergotelis (1 stagione),Levadiakos (1 stagione),Olympiacos (1 stagione),,Serie A (7 stagioni),Bundesliga (3 stagioni),Super League (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2012-2013,18,Olympiacos,gr GRE,1. Super League,1°,2.3,,,,,,,,,,,,,,,,,Partite
2013-2014,19,Levadiakos,gr GRE,1. Super League,8°,17.9,,,,,,,,,,,,,,,,,
2014-2015,20,Ergotelis,gr GRE,1. Super League,15°,21.3,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Sturm Graz,at AUT,1. Bundesliga,5°,19.1,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Sturm Graz,at AUT,1. Bundesliga,3°,33.9,,51,,,,,,,,,,,114,,,,Partite
2017-2018,23,Sturm Graz,at AUT,1. Bundesliga,2°,16.3,,31,,,,,,,,,,,52,,,,Partite
2017-2018,23,Cagliari,it ITA,1. Serie A,16°,7.6,16,12,9,5,2,11,18,"61,1",7,12,3,9,15,31,28,0,Partite
2018-2019,24,Cagliari,it ITA,1. Serie A,15°,9.2,14,8,8,3,3,6,11,"54,5",5,18,3,15,19,33,33,0,Partite
2019-2020,25,Cagliari,it ITA,1. Serie A,14°,14.9,14,9,9,3,2,7,18,"38,9",11,25,9,16,23,37,71,0,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,26.9,34,21,22,9,3,22,38,"57,9",16,34,13,21,32,66,94,0,Partite
2021-2022,27,Cagliari,it ITA,1. Serie A,18°,20.2,19,12,16,1,2,11,20,"55,0",9,18,8,10,31,50,73,0,Partite
2022-2023,28,Bologna,it ITA,1. Serie A,9°,12.3,16,8,5,6,5,5,13,"38,5",8,9,4,5,15,31,30,0,Partite
2023-2024,29,Bologna,it ITA,1. Serie A,4°,7.9,9,5,4,4,1,5,9,"55,6",4,14,5,9,5,14,26,0,Partite
12 stagioni,6 club,,3 campionati,,209.7,122,157,73,31,18,67,127,"52,8",60,130,45,85,306,262,355,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Cagliari (5 stagioni),,1 campionato,,78.8,97,62,64,21,12,57,105,"54,3",48,107,36,71,120,217,299,0,
Sturm Graz (3 stagioni),,1 campionato,,69.3,,82,,,,,,,,,,,166,0,,,
Bologna (2 stagioni),,1 campionato,,20.2,25,13,9,10,6,10,22,"45,5",12,23,9,14,20,45,56,0,
Ergotelis (1 stagione),,1 campionato,,21.3,,,,,,,,,,,,,,0,,,
Levadiakos (1 stagione),,1 campionato,,17.9,,,,,,,,,,,,,,0,,,
Olympiacos (1 stagione),,1 campionato,,2.3,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,98.9,122,75,73,31,18,67,127,"52,8",60,130,45,85,140,262,355,0,
Bundesliga (3 stagioni),,,,69.3,,82,,,,,,,,,,,166,0,,,
Super League (3 stagioni),,,,41.5,,,,,,,,,,,,,,0,,,
