,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Cagliari (5 stagioni),Sturm Graz (3 stagioni),Bologna (2 stagioni),Ergotelis (1 stagione),Levadiakos (1 stagione),Olympiacos (1 stagione),,Serie A (7 stagioni),Bundesliga (3 stagioni),Super League (3 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2012-2013,18,Olympiacos,gr GRE,1. Super League,1°,2.3,,,,,,,,,,,,,,,,,Partite
2013-2014,19,Levadiakos,gr GRE,1. Super League,8°,17.9,,,,,,,,,,,,,,,,,
2014-2015,20,Ergotelis,gr GRE,1. Super League,15°,21.3,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Sturm Graz,at AUT,1. Bundesliga,5°,19.1,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Sturm Graz,at AUT,1. Bundesliga,3°,33.9,,,,,,,,,,,,,,,,,Partite
2017-2018,23,Sturm Graz,at AUT,1. Bundesliga,2°,16.3,,,,,,,,,,,,,,,,,Partite
2017-2018,23,Cagliari,it ITA,1. Serie A,16°,7.6,5,"0,66",2,3,0,0,0,0,2,"0,26",1,1,0,0,0,0,Partite
2018-2019,24,Cagliari,it ITA,1. Serie A,15°,9.2,16,"1,73",9,7,0,0,0,0,1,"0,11",0,1,0,0,0,0,Partite
2019-2020,25,Cagliari,it ITA,1. Serie A,14°,14.9,16,"1,08",10,5,1,0,0,0,3,"0,20",1,2,0,0,0,0,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,26.9,33,"1,23",21,9,0,3,0,0,2,"0,07",2,0,0,0,0,0,Partite
2021-2022,27,Cagliari,it ITA,1. Serie A,18°,20.2,27,"1,34",14,10,0,3,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,28,Bologna,it ITA,1. Serie A,9°,12.3,29,"2,36",19,6,1,2,1,0,2,"0,16",0,2,0,0,0,0,Partite
2023-2024,29,Bologna,it ITA,1. Serie A,4°,7.9,12,"1,53",9,2,1,0,0,0,2,"0,25",1,0,1,0,0,0,Partite
12 stagioni,6 club,,3 campionati,,209.7,138,"1,40",84,42,3,8,1,0,12,"0,12",5,6,1,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Cagliari (5 stagioni),,1 campionato,,78.8,97,"1,23",56,34,1,6,0,0,8,"0,10",4,4,0,0,0,0,
Sturm Graz (3 stagioni),,1 campionato,,69.3,,,,,,,,,,,,,,,,,
Bologna (2 stagioni),,1 campionato,,20.2,41,"2,03",28,8,2,2,1,0,4,"0,20",1,2,1,0,0,0,
Ergotelis (1 stagione),,1 campionato,,21.3,,,,,,,,,,,,,,,,,
Levadiakos (1 stagione),,1 campionato,,17.9,,,,,,,,,,,,,,,,,
Olympiacos (1 stagione),,1 campionato,,2.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,98.9,138,"1,40",84,42,3,8,1,0,12,"0,12",5,6,1,0,0,0,
Bundesliga (3 stagioni),,,,69.3,,,,,,,,,,,,,,,,,
Super League (3 stagioni),,,,41.5,,,,,,,,,,,,,,,,,
