,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Cagliari (5 stagioni),Sturm Graz (3 stagioni),Bologna (2 stagioni),Ergotelis (1 stagione),Levadiakos (1 stagione),Olympiacos (1 stagione),,Serie A (7 stagioni),Bundesliga (3 stagioni),Super League (3 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2012-2013,18,Olympiacos,gr GRE,1. Super League,1°,2.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,19,Levadiakos,gr GRE,1. Super League,8°,17.9,,,,,,,,,,,,,,,0,,,,,,,,,
2014-2015,20,Ergotelis,gr GRE,1. Super League,15°,21.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2015-2016,21,Sturm Graz,at AUT,1. Bundesliga,5°,19.1,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2016-2017,22,Sturm Graz,at AUT,1. Bundesliga,3°,33.9,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2017-2018,23,Sturm Graz,at AUT,1. Bundesliga,2°,16.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,23,Cagliari,it ITA,1. Serie A,16°,7.6,170,296,"57,4",3138,1564,67,98,"68,4",81,138,"58,7",19,45,"42,2",1,0.8,0.6,+0.2,3,12,6,3,14,Partite
2018-2019,24,Cagliari,it ITA,1. Serie A,15°,9.2,282,437,"64,5",5164,2346,115,139,"82,7",119,177,"67,2",36,79,"45,6",1,1.6,1.0,-0.6,8,24,8,5,24,Partite
2019-2020,25,Cagliari,it ITA,1. Serie A,14°,14.9,400,618,"64,7",7479,3383,159,194,"82,0",195,292,"66,8",39,97,"40,2",1,1.1,1.0,-0.1,8,32,5,2,41,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,26.9,809,1201,"67,4",13966,6444,394,454,"86,8",333,480,"69,4",69,180,"38,3",2,1.8,2.3,+0.2,14,66,18,10,79,Partite
2021-2022,27,Cagliari,it ITA,1. Serie A,18°,20.2,460,766,"60,1",8461,3808,194,252,"77,0",220,337,"65,3",43,136,"31,6",0,1.1,1.0,-1.1,12,33,9,7,34,Partite
2022-2023,28,Bologna,it ITA,1. Serie A,9°,12.3,518,731,"70,9",8881,3581,246,280,"87,9",219,287,"76,3",45,117,"38,5",0,1.5,1.5,-1.5,18,51,17,12,60,Partite
2023-2024,29,Bologna,it ITA,1. Serie A,4°,7.9,305,418,"73,0",4891,1553,167,189,"88,4",119,155,"76,8",17,54,"31,5",1,0.9,0.5,+0.1,7,20,6,6,25,Partite
12 stagioni,6 club,,3 campionati,,209.7,2944,4467,"65,9",51980,22679,1342,1606,"83,6",1286,1866,"68,9",268,708,"37,9",11,8.8,7.9,+2.2,70,238,69,45,277,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Cagliari (5 stagioni),,1 campionato,,78.8,2121,3318,"63,9",38208,17545,929,1137,"81,7",948,1424,"66,6",206,537,"38,4",5,6.4,5.9,-1.4,45,167,46,27,192,
Sturm Graz (3 stagioni),,1 campionato,,69.3,,,,,,,,,,,,,,,4,,,,,,,,,
Bologna (2 stagioni),,1 campionato,,20.2,823,1149,"71,6",13772,5134,413,469,"88,1",338,442,"76,5",62,171,"36,3",1,2.4,2.0,-1.4,25,71,23,18,85,
Ergotelis (1 stagione),,1 campionato,,21.3,,,,,,,,,,,,,,,1,,,,,,,,,
Levadiakos (1 stagione),,1 campionato,,17.9,,,,,,,,,,,,,,,0,,,,,,,,,
Olympiacos (1 stagione),,1 campionato,,2.3,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,98.9,2944,4467,"65,9",51980,22679,1342,1606,"83,6",1286,1866,"68,9",268,708,"37,9",6,8.8,7.9,-2.8,70,238,69,45,277,
Bundesliga (3 stagioni),,,,69.3,,,,,,,,,,,,,,,4,,,,,,,,,
Super League (3 stagioni),,,,41.5,,,,,,,,,,,,,,,1,,,,,,,,,
