,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Cagliari (5 stagioni),Sturm Graz (3 stagioni),Bologna (2 stagioni),Ergotelis (1 stagione),Levadiakos (1 stagione),Olympiacos (1 stagione),,Serie A (7 stagioni),Bundesliga (3 stagioni),Super League (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2012-2013,18,Olympiacos,gr GRE,1. Super League,1°,2.3,,,,,,,,,,,,,,,,Partite
2013-2014,19,Levadiakos,gr GRE,1. Super League,8°,17.9,,,,,,,,,,,,,,,,
2014-2015,20,Ergotelis,gr GRE,1. Super League,15°,21.3,,,,,,,,,,,,,,,,Partite
2015-2016,21,Sturm Graz,at AUT,1. Bundesliga,5°,19.1,,,,,,,,,,,,,,,,Partite
2016-2017,22,Sturm Graz,at AUT,1. Bundesliga,3°,33.9,,,,,,,89,,,,,,,,,Partite
2017-2018,23,Sturm Graz,at AUT,1. Bundesliga,2°,16.3,,,,,,,34,,,,,,,,,Partite
2017-2018,23,Cagliari,it ITA,1. Serie A,16°,7.6,296,203,93,6,0,2,28,82,5,2,2,0,170,0,16,Partite
2018-2019,24,Cagliari,it ITA,1. Serie A,15°,9.2,437,318,119,10,0,4,41,103,6,5,0,0,282,0,21,Partite
2019-2020,25,Cagliari,it ITA,1. Serie A,14°,14.9,618,486,130,22,0,8,64,94,14,6,6,0,400,2,21,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,26.9,1201,918,279,43,0,7,118,209,27,5,20,0,809,4,46,Partite
2021-2022,27,Cagliari,it ITA,1. Serie A,18°,20.2,766,558,206,21,0,3,95,166,18,3,13,1,460,2,32,Partite
2022-2023,28,Bologna,it ITA,1. Serie A,9°,12.3,731,601,127,12,1,10,69,104,11,6,3,0,518,3,28,Partite
2023-2024,29,Bologna,it ITA,1. Serie A,4°,7.9,418,346,70,5,0,7,44,62,3,2,1,0,305,2,10,Partite
12 stagioni,6 club,,3 campionati,,209.7,4467,3430,1024,119,1,41,582,820,84,29,45,1,2944,13,174,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Cagliari (5 stagioni),,1 campionato,,78.8,3318,2483,827,102,0,24,346,654,70,21,41,1,2121,8,136,
Sturm Graz (3 stagioni),,1 campionato,,69.3,,,,,,,123,,,,,,,,,
Bologna (2 stagioni),,1 campionato,,20.2,1149,947,197,17,1,17,113,166,14,8,4,0,823,5,38,
Ergotelis (1 stagione),,1 campionato,,21.3,,,,,,,,,,,,,,,,
Levadiakos (1 stagione),,1 campionato,,17.9,,,,,,,,,,,,,,,,
Olympiacos (1 stagione),,1 campionato,,2.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,98.9,4467,3430,1024,119,1,41,459,820,84,29,45,1,2944,13,174,
Bundesliga (3 stagioni),,,,69.3,,,,,,,123,,,,,,,,,
Super League (3 stagioni),,,,41.5,,,,,,,,,,,,,,,,
