,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Manchester Utd (9 stagioni),Roma (5 stagioni),Fulham (2 stagioni),,Premier League (11 stagioni),Serie A (5 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2008-2009,18,Fulham,eng ENG,1. Premier League,7°,0.2,,,,,,,,,,,,,,,,,Partite
2009-2010,19,Fulham,eng ENG,1. Premier League,12°,9.7,,,,,,,,,,,,,,,,,Partite
2010-2011,20,Manchester Utd,eng ENG,1. Premier League,1°,12.1,,,,,,,,,,,,,,,,,Partite
2011-2012,21,Manchester Utd,eng ENG,1. Premier League,2°,14.4,,,,,,,,,,,,,,,,,Partite
2012-2013,22,Manchester Utd,eng ENG,1. Premier League,1°,11.3,,,,,,,,,,,,,,,,,Partite
2013-2014,23,Manchester Utd,eng ENG,1. Premier League,7°,21.5,,,,,,,,,,,,,,,,,Partite
2014-2015,24,Manchester Utd,eng ENG,1. Premier League,4°,20.9,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,35.0,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,13.5,,,,,,,,,,,,,,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,28.2,7,"0,25",7,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,23.6,11,"0,47",9,0,0,2,0,0,2,"0,08",2,0,0,0,0,0,Partite
2019-2020,29,Roma,it ITA,1. Serie A,5°,28.5,30,"1,05",27,1,0,1,1,0,4,"0,14",3,0,0,1,0,0,Partite
2020-2021,30,Roma,it ITA,1. Serie A,7°,12.3,5,"0,41",4,0,1,0,0,0,1,"0,08",1,0,0,0,0,0,Partite
2021-2022,31,Roma,it ITA,1. Serie A,6°,23.2,8,"0,34",6,0,0,2,0,0,1,"0,04",1,0,0,0,0,0,Partite
2022-2023,32,Roma,it ITA,1. Serie A,6°,31.2,16,"0,51",14,1,0,1,0,0,1,"0,03",1,0,0,0,0,0,Partite
2023-2024,33,Roma,it ITA,1. Serie A,5°,4.0,2,"0,50",1,0,0,1,0,0,1,"0,25",1,0,0,0,0,0,Partite
16 stagioni,3 club,,2 campionati,,289.7,79,"0,52",68,2,1,7,1,0,10,"0,07",9,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Manchester Utd (9 stagioni),,1 campionato,,180.6,18,"0,35",16,0,0,2,0,0,2,"0,04",2,0,0,0,0,0,
Roma (5 stagioni),,1 campionato,,99.3,61,"0,61",52,2,1,5,1,0,8,"0,08",7,0,0,1,0,0,
Fulham (2 stagioni),,1 campionato,,9.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Premier League (11 stagioni),,,,190.4,18,"0,35",16,0,0,2,0,0,2,"0,04",2,0,0,0,0,0,
Serie A (5 stagioni),,,,99.3,61,"0,61",52,2,1,5,1,0,8,"0,08",7,0,0,1,0,0,
