,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Manchester Utd (9 stagioni),Roma (5 stagioni),Fulham (2 stagioni),,Premier League (11 stagioni),Serie A (5 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2008-2009,18,Fulham,eng ENG,1. Premier League,7°,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2009-2010,19,Fulham,eng ENG,1. Premier League,12°,9.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,20,Manchester Utd,eng ENG,1. Premier League,1°,12.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,21,Manchester Utd,eng ENG,1. Premier League,2°,14.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,22,Manchester Utd,eng ENG,1. Premier League,1°,11.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2013-2014,23,Manchester Utd,eng ENG,1. Premier League,7°,21.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,24,Manchester Utd,eng ENG,1. Premier League,4°,20.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,35.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,13.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,28.2,998,1140,"87,5",19226,5423,280,309,"90,6",598,647,"92,4",94,135,"69,6",0,0.2,0.3,-0.2,2,25,2,0,37,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,23.6,829,962,"86,2",15916,4648,261,294,"88,8",467,509,"91,7",85,129,"65,9",0,0.2,0.4,-0.2,2,13,1,0,35,Partite
2019-2020,29,Roma,it ITA,1. Serie A,5°,28.5,1308,1449,"90,3",25187,8006,426,466,"91,4",755,797,"94,7",119,160,"74,4",2,0.7,0.8,+1.3,10,56,2,0,79,Partite
2020-2021,30,Roma,it ITA,1. Serie A,7°,12.3,620,684,"90,6",12325,4078,163,175,"93,1",377,393,"95,9",68,96,"70,8",1,0.7,0.6,+0.3,2,16,0,0,20,Partite
2021-2022,31,Roma,it ITA,1. Serie A,6°,23.2,932,1053,"88,5",19200,6205,222,259,"85,7",614,650,"94,5",92,127,"72,4",0,0.4,0.3,-0.4,2,26,2,0,39,Partite
2022-2023,32,Roma,it ITA,1. Serie A,6°,31.2,1173,1344,"87,3",22956,7520,335,366,"91,5",713,778,"91,6",113,162,"69,8",1,0.4,0.8,+0.6,6,35,3,0,51,Partite
2023-2024,33,Roma,it ITA,1. Serie A,5°,4.0,185,212,"87,3",3564,1325,58,66,"87,9",114,121,"94,2",12,19,"63,2",0,0.4,0.0,-0.4,1,7,0,0,13,Partite
16 stagioni,3 club,,2 campionati,,289.7,6045,6844,"88,3",118374,37205,1745,1935,"90,2",3638,3895,"93,4",583,828,"70,4",5,3.0,3.2,+2.0,25,178,10,0,274,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Manchester Utd (9 stagioni),,1 campionato,,180.6,1827,2102,"86,9",35142,10071,541,603,"89,7",1065,1156,"92,1",179,264,"67,8",1,0.4,0.7,+0.6,4,38,3,0,72,
Roma (5 stagioni),,1 campionato,,99.3,4218,4742,"88,9",83232,27134,1204,1332,"90,4",2573,2739,"93,9",404,564,"71,6",4,2.6,2.5,+1.4,21,140,7,0,202,
Fulham (2 stagioni),,1 campionato,,9.8,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (11 stagioni),,,,190.4,1827,2102,"86,9",35142,10071,541,603,"89,7",1065,1156,"92,1",179,264,"67,8",1,0.4,0.7,+0.6,4,38,3,0,72,
Serie A (5 stagioni),,,,99.3,4218,4742,"88,9",83232,27134,1204,1332,"90,4",2573,2739,"93,9",404,564,"71,6",4,2.6,2.5,+1.4,21,140,7,0,202,
