,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Metz (3 stagioni),Gent (3 stagioni),Salernitana (2 stagioni),Niort (1 stagione),Servette FC (1 stagione),,Ligue 1 (3 stagioni),First Division A (3 stagioni),Serie A (2 stagioni),Ligue 2 (1 stagione),Super Lg (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2016-2017,21,Niort,fr FRA,2. Ligue 2,10°,29.6,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Gent,be BEL,1. First Division A,4°,33.1,38,"1,15",28,2,5,3,0,0,1,"0,03",1,0,0,0,0,0,Partite
2018-2019,23,Gent,be BEL,1. First Division A,5°,26.2,26,"0,99",18,2,0,5,1,0,3,"0,11",2,0,0,1,0,0,Partite
2019-2020,24,Gent,be BEL,1. First Division A,2°,3.1,5,"1,63",5,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,24,Metz,fr FRA,1. Ligue 1,15°,9.0,2,"0,22",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,25,Metz,fr FRA,1. Ligue 1,10°,37.9,35,"0,92",29,2,1,2,0,1,3,"0,08",3,0,0,0,0,0,Partite
2021-2022,26,Metz,fr FRA,1. Ligue 1,19°,28.3,15,"0,53",14,0,0,1,0,0,4,"0,14",3,0,0,1,0,0,Partite
2022-2023,27,Salernitana,it ITA,1. Serie A,15°,18.7,14,"0,75",12,0,0,2,0,0,2,"0,11",2,0,0,0,0,0,Partite
2023-2024,28,Salernitana,it ITA,1. Serie A,20°,0.6,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,28,Servette FC,ch SUI,1. Super Lg,2°,2.0,,,,,,,,,,,,,,,,,Partite
8 stagioni,5 club,,5 campionati,,188.4,135,"0,86",108,6,6,13,1,1,13,"0,08",11,0,0,2,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Metz (3 stagioni),,1 campionato,,75.2,52,"0,69",45,2,1,3,0,1,7,"0,09",6,0,0,1,0,0,
Gent (3 stagioni),,1 campionato,,62.3,69,"1,11",51,4,5,8,1,0,4,"0,06",3,0,0,1,0,0,
Salernitana (2 stagioni),,1 campionato,,19.3,14,"0,73",12,0,0,2,0,0,2,"0,10",2,0,0,0,0,0,
Niort (1 stagione),,1 campionato,,29.6,,,,,,,,,,,,,,,,,
Servette FC (1 stagione),,1 campionato,,2.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (3 stagioni),,,,75.2,52,"0,69",45,2,1,3,0,1,7,"0,09",6,0,0,1,0,0,
First Division A (3 stagioni),,,,62.3,69,"1,11",51,4,5,8,1,0,4,"0,06",3,0,0,1,0,0,
Serie A (2 stagioni),,,,19.3,14,"0,73",12,0,0,2,0,0,2,"0,10",2,0,0,0,0,0,
Ligue 2 (1 stagione),,,,29.6,,,,,,,,,,,,,,,,,
Super Lg (1 stagione),,,,2.0,,,,,,,,,,,,,,,,,
