,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2014-2015,17,Milan,it ITA,1. Serie A,10°,0.1,,,,,,,,,,,,,,,,,Partite
2015-2016,18,Milan,it ITA,1. Serie A,7°,4.1,,,,,,,,,,,,,,,,,Partite
2016-2017,19,Milan,it ITA,1. Serie A,6°,11.0,,,,,,,,,,,,,,,,,Partite
2017-2018,20,Milan,it ITA,1. Serie A,6°,17.4,42,"2,42",37,0,2,1,2,0,7,"0,40",6,0,0,1,0,0,Partite
2018-2019,21,Milan,it ITA,1. Serie A,5°,21.7,48,"2,21",42,1,2,1,1,1,5,"0,23",5,0,0,0,0,0,Partite
2019-2020,22,Milan,it ITA,1. Serie A,6°,18.0,33,"1,83",24,6,1,0,1,1,6,"0,33",4,2,0,0,0,0,Partite
2020-2021,23,Milan,it ITA,1. Serie A,2°,29.4,55,"1,87",43,6,4,1,1,0,6,"0,20",3,2,0,0,1,0,Partite
2021-2022,24,Milan,it ITA,1. Serie A,1°,23.5,47,"2,00",32,4,3,6,2,0,6,"0,25",3,0,0,3,0,0,Partite
2022-2023,25,Milan,it ITA,1. Serie A,4°,18.8,37,"1,97",30,2,0,1,3,1,6,"0,32",5,0,0,0,1,0,Partite
2023-2024,26,Milan,it ITA,1. Serie A,3°,18.3,25,"1,37",23,0,0,0,1,1,5,"0,27",5,0,0,0,0,0,Partite
10 stagioni,1 club,,1 campionato,,162.3,287,"1,95",231,19,12,10,11,4,41,"0,28",31,4,0,4,2,0,
