,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,17,Milan,it ITA,1. Serie A,10°,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,18,Milan,it ITA,1. Serie A,7°,4.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,19,Milan,it ITA,1. Serie A,6°,11.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,20,Milan,it ITA,1. Serie A,6°,17.4,910,1165,"78,1",16092,6048,399,440,"90,7",417,504,"82,7",86,175,"49,1",2,2.3,1.6,-0.3,17,78,19,10,100,Partite
2018-2019,21,Milan,it ITA,1. Serie A,5°,21.7,1200,1486,"80,8",18984,7055,657,704,"93,3",436,536,"81,3",80,173,"46,2",2,2.0,1.5,0.0,20,109,20,13,123,Partite
2019-2020,22,Milan,it ITA,1. Serie A,6°,18.0,938,1168,"80,3",16402,6423,429,477,"89,9",393,458,"85,8",97,185,"52,4",1,0.7,1.1,+0.3,13,108,19,12,121,Partite
2020-2021,23,Milan,it ITA,1. Serie A,2°,29.4,1384,1792,"77,2",24172,9372,664,726,"91,5",558,699,"79,8",141,279,"50,5",1,1.6,2.3,-0.6,21,156,33,11,169,Partite
2021-2022,24,Milan,it ITA,1. Serie A,1°,23.5,958,1271,"75,4",16848,6799,435,495,"87,9",401,512,"78,3",104,198,"52,5",2,1.8,2.1,+0.2,19,96,24,13,113,Partite
2022-2023,25,Milan,it ITA,1. Serie A,4°,18.8,1040,1276,"81,5",17672,5902,484,518,"93,4",452,524,"86,3",88,187,"47,1",4,1.7,1.6,+2.3,19,71,19,12,108,Partite
2023-2024,26,Milan,it ITA,1. Serie A,3°,18.3,988,1156,"85,5",16863,5037,437,480,"91,0",468,525,"89,1",70,121,"57,9",3,1.0,1.3,+2.0,8,74,19,10,98,Partite
10 stagioni,1 club,,1 campionato,,162.3,7418,9314,"79,6",127033,46636,3505,3840,"91,3",3125,3758,"83,2",666,1318,"50,5",16,11.1,11.4,+4.9,117,692,153,81,832,
