,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Inter (10 stagioni),Torino (5 stagioni),Monza (1 stagione),,Serie A (12 stagioni),Serie B (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2009-2010,20,Torino,it ITA,2. Serie B,5°,16.0,,,,,,,,,,,,,,,,,
2010-2011,21,Torino,it ITA,2. Serie B,8°,27.0,,,,,,,,,,,,,,,,,
2011-2012,22,Torino,it ITA,2. Serie B,2°,17.2,,,,,,,,,,,,,,,,,
2012-2013,23,Torino,it ITA,1. Serie A,16°,21.8,,,,,,,,,,,,,,,,,Partite
2013-2014,24,Torino,it ITA,1. Serie A,7°,13.4,,,,,,,,,,,,,,,,,Partite
2013-2014,24,Inter,it ITA,1. Serie A,5°,7.1,,,,,,,,,,,,,,,,,Partite
2014-2015,25,Inter,it ITA,1. Serie A,8°,18.7,,,,,,,,,,,,,,,,,Partite
2015-2016,26,Inter,it ITA,1. Serie A,4°,18.0,,,,,,,,,,,,,,,,,Partite
2016-2017,27,Inter,it ITA,1. Serie A,7°,31.4,,61,,,,,,,,,,,66,,,,Partite
2017-2018,28,Inter,it ITA,1. Serie A,4°,33.1,82,64,38,35,9,30,59,"50,8",29,31,7,24,45,127,68,1,Partite
2018-2019,29,Inter,it ITA,1. Serie A,4°,28.7,69,40,34,27,8,24,57,"42,1",33,25,8,17,27,96,39,0,Partite
2019-2020,30,Inter,it ITA,1. Serie A,2°,15.6,30,16,16,12,2,16,33,"48,5",17,15,4,11,14,44,25,0,Partite
2020-2021,31,Inter,it ITA,1. Serie A,1°,7.8,15,9,6,7,2,6,15,"40,0",9,9,7,2,4,19,15,0,Partite
2021-2022,32,Inter,it ITA,1. Serie A,2°,11.1,30,15,21,8,1,11,22,"50,0",11,21,10,11,8,38,20,0,Partite
2022-2023,33,Inter,it ITA,1. Serie A,3°,8.1,25,17,17,7,1,15,27,"55,6",12,12,4,8,10,35,17,0,Partite
2023-2024,34,Monza,it ITA,1. Serie A,11°,15.1,51,31,31,17,3,26,38,"68,4",12,19,12,7,11,62,30,0,Partite
15 stagioni,3 club,,2 campionati,,290.0,302,253,163,113,26,128,251,"51,0",123,132,52,80,185,421,214,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Inter (10 stagioni),,1 campionato,,179.6,251,222,132,96,23,102,213,"47,9",111,113,40,73,174,359,184,1,
Torino (5 stagioni),,2 campionati,,95.4,,,,,,,,,,,,,,0,,,
Monza (1 stagione),,1 campionato,,15.1,51,31,31,17,3,26,38,"68,4",12,19,12,7,11,62,30,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (12 stagioni),,,,229.9,302,253,163,113,26,128,251,"51,0",123,132,52,80,185,421,214,1,
Serie B (3 stagioni),,,,60.2,,,,,,,,,,,,,,0,,,
