,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Inter (10 stagioni),Torino (5 stagioni),Monza (1 stagione),,Serie A (12 stagioni),Serie B (3 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2009-2010,20,Torino,it ITA,2. Serie B,5°,16.0,,,,,,,,,,,,,,,,,
2010-2011,21,Torino,it ITA,2. Serie B,8°,27.0,,,,,,,,,,,,,,,,,
2011-2012,22,Torino,it ITA,2. Serie B,2°,17.2,,,,,,,,,,,,,,,,,
2012-2013,23,Torino,it ITA,1. Serie A,16°,21.8,,,,,,,,,,,,,,,,,Partite
2013-2014,24,Torino,it ITA,1. Serie A,7°,13.4,,,,,,,,,,,,,,,,,Partite
2013-2014,24,Inter,it ITA,1. Serie A,5°,7.1,,,,,,,,,,,,,,,,,Partite
2014-2015,25,Inter,it ITA,1. Serie A,8°,18.7,,,,,,,,,,,,,,,,,Partite
2015-2016,26,Inter,it ITA,1. Serie A,4°,18.0,,,,,,,,,,,,,,,,,Partite
2016-2017,27,Inter,it ITA,1. Serie A,7°,31.4,,,,,,,,,,,,,,,,,Partite
2017-2018,28,Inter,it ITA,1. Serie A,4°,33.1,73,"2,21",56,4,0,3,5,5,9,"0,27",5,0,0,1,2,1,Partite
2018-2019,29,Inter,it ITA,1. Serie A,4°,28.7,72,"2,51",60,5,2,1,3,1,14,"0,49",10,1,1,0,2,0,Partite
2019-2020,30,Inter,it ITA,1. Serie A,2°,15.6,22,"1,41",16,2,1,1,2,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,31,Inter,it ITA,1. Serie A,1°,7.8,9,"1,16",5,2,1,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,32,Inter,it ITA,1. Serie A,2°,11.1,11,"0,99",9,0,0,1,0,1,3,"0,27",3,0,0,0,0,0,Partite
2022-2023,33,Inter,it ITA,1. Serie A,3°,8.1,17,"2,09",14,0,1,1,1,0,2,"0,25",2,0,0,0,0,0,Partite
2023-2024,34,Monza,it ITA,1. Serie A,11°,15.1,13,"0,86",5,0,2,3,1,2,0,"0,00",0,0,0,0,0,0,Partite
15 stagioni,3 club,,2 campionati,,290.0,217,"1,82",165,13,7,11,12,9,28,"0,23",20,1,1,1,4,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Inter (10 stagioni),,1 campionato,,179.6,204,"1,96",160,13,5,8,11,7,28,"0,27",20,1,1,1,4,1,
Torino (5 stagioni),,2 campionati,,95.4,,,,,,,,,,,,,,,,,
Monza (1 stagione),,1 campionato,,15.1,13,"0,86",5,0,2,3,1,2,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (12 stagioni),,,,229.9,217,"1,82",165,13,7,11,12,9,28,"0,23",20,1,1,1,4,1,
Serie B (3 stagioni),,,,60.2,,,,,,,,,,,,,,,,,
