,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Inter (10 stagioni),Torino (5 stagioni),Monza (1 stagione),,Serie A (12 stagioni),Serie B (3 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,20,Torino,it ITA,2. Serie B,5°,16.0,,,,,,,,,,,,,,,0,,,,,,,,,
2010-2011,21,Torino,it ITA,2. Serie B,8°,27.0,,,,,,,,,,,,,,,1,,,,,,,,,
2011-2012,22,Torino,it ITA,2. Serie B,2°,17.2,,,,,,,,,,,,,,,1,,,,,,,,,
2012-2013,23,Torino,it ITA,1. Serie A,16°,21.8,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2013-2014,24,Torino,it ITA,1. Serie A,7°,13.4,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2013-2014,24,Inter,it ITA,1. Serie A,5°,7.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,25,Inter,it ITA,1. Serie A,8°,18.7,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2015-2016,26,Inter,it ITA,1. Serie A,4°,18.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,27,Inter,it ITA,1. Serie A,7°,31.4,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2017-2018,28,Inter,it ITA,1. Serie A,4°,33.1,1719,2119,"81,1",25752,10194,958,1049,"91,3",610,750,"81,3",93,196,"47,4",3,1.4,1.9,+1.6,20,134,21,8,179,Partite
2018-2019,29,Inter,it ITA,1. Serie A,4°,28.7,1619,1937,"83,6",26018,9028,815,897,"90,9",617,734,"84,1",129,207,"62,3",5,5.0,3.6,0.0,34,136,31,19,154,Partite
2019-2020,30,Inter,it ITA,1. Serie A,2°,15.6,757,905,"83,6",12621,4239,355,383,"92,7",322,388,"83,0",61,93,"65,6",0,0.9,1.1,-0.9,7,50,12,3,67,Partite
2020-2021,31,Inter,it ITA,1. Serie A,1°,7.8,431,476,"90,5",7052,2371,180,191,"94,2",200,210,"95,2",27,37,"73,0",0,0.2,0.2,-0.2,3,35,1,1,35,Partite
2021-2022,32,Inter,it ITA,1. Serie A,2°,11.1,642,736,"87,2",11095,3644,297,318,"93,4",272,298,"91,3",55,89,"61,8",1,0.1,0.4,+0.9,2,45,2,1,47,Partite
2022-2023,33,Inter,it ITA,1. Serie A,3°,8.1,493,557,"88,5",8396,2823,212,222,"95,5",246,270,"91,1",26,51,"51,0",2,0.7,0.6,+1.3,7,26,5,1,34,Partite
2023-2024,34,Monza,it ITA,1. Serie A,11°,15.1,852,951,"89,6",15161,4787,321,336,"95,5",455,481,"94,6",63,108,"58,3",0,0.2,0.4,-0.2,4,52,4,1,53,Partite
15 stagioni,3 club,,2 campionati,,290.0,6513,7681,"84,8",106095,37086,3138,3396,"92,4",2722,3131,"86,9",454,781,"58,1",22,8.4,8.1,+13.6,77,478,76,34,569,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Inter (10 stagioni),,1 campionato,,179.6,5661,6730,"84,1",90934,32299,2817,3060,"92,1",2267,2650,"85,5",391,673,"58,1",16,8.3,7.7,+7.7,73,426,72,33,516,
Torino (5 stagioni),,2 campionati,,95.4,,,,,,,,,,,,,,,6,,,,,,,,,
Monza (1 stagione),,1 campionato,,15.1,852,951,"89,6",15161,4787,321,336,"95,5",455,481,"94,6",63,108,"58,3",0,0.2,0.4,-0.2,4,52,4,1,53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (12 stagioni),,,,229.9,6513,7681,"84,8",106095,37086,3138,3396,"92,4",2722,3131,"86,9",454,781,"58,1",20,8.4,8.1,+11.6,77,478,76,34,569,
Serie B (3 stagioni),,,,60.2,,,,,,,,,,,,,,,2,,,,,,,,,
