,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Inter (10 stagioni),Torino (5 stagioni),Monza (1 stagione),,Serie A (12 stagioni),Serie B (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2009-2010,20,Torino,it ITA,2. Serie B,5°,16.0,,,,,,,,,,,,,,,,
2010-2011,21,Torino,it ITA,2. Serie B,8°,27.0,,,,,,,,,,,,,,,,
2011-2012,22,Torino,it ITA,2. Serie B,2°,17.2,,,,,,,,,,,,,,,,
2012-2013,23,Torino,it ITA,1. Serie A,16°,21.8,,,,,,,,,,,,,,,,Partite
2013-2014,24,Torino,it ITA,1. Serie A,7°,13.4,,,,,,,,,,,,,,,,Partite
2013-2014,24,Inter,it ITA,1. Serie A,5°,7.1,,,,,,,,,,,,,,,,Partite
2014-2015,25,Inter,it ITA,1. Serie A,8°,18.7,,,,,,,,,,,,,,,,Partite
2015-2016,26,Inter,it ITA,1. Serie A,4°,18.0,,,,,,,,,,,,,,,,Partite
2016-2017,27,Inter,it ITA,1. Serie A,7°,31.4,,,,,,,71,,,,,,,,,Partite
2017-2018,28,Inter,it ITA,1. Serie A,4°,33.1,2119,1801,309,40,3,7,59,268,1,1,0,0,1719,9,50,Partite
2018-2019,29,Inter,it ITA,1. Serie A,4°,28.7,1937,1651,284,43,4,11,60,241,0,0,0,0,1619,2,31,Partite
2019-2020,30,Inter,it ITA,1. Serie A,2°,15.6,905,797,106,15,1,6,17,91,0,0,0,0,757,2,11,Partite
2020-2021,31,Inter,it ITA,1. Serie A,1°,7.8,476,436,38,19,0,2,8,19,0,0,0,0,431,2,6,Partite
2021-2022,32,Inter,it ITA,1. Serie A,2°,11.1,736,711,25,18,1,5,7,7,0,0,0,0,642,0,10,Partite
2022-2023,33,Inter,it ITA,1. Serie A,3°,8.1,557,530,26,13,0,2,9,13,0,0,0,0,493,1,2,Partite
2023-2024,34,Monza,it ITA,1. Serie A,11°,15.1,951,889,61,30,1,2,6,27,0,0,0,0,852,1,7,Partite
15 stagioni,3 club,,2 campionati,,290.0,7681,6815,849,178,10,35,237,666,1,1,0,0,6513,17,117,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Inter (10 stagioni),,1 campionato,,179.6,6730,5926,788,148,9,33,231,639,1,1,0,0,5661,16,110,
Torino (5 stagioni),,2 campionati,,95.4,,,,,,,,,,,,,,,,
Monza (1 stagione),,1 campionato,,15.1,951,889,61,30,1,2,6,27,0,0,0,0,852,1,7,
,,,,,,,,,,,,,,,,,,,,
Serie A (12 stagioni),,,,229.9,7681,6815,849,178,10,35,237,666,1,1,0,0,6513,17,117,
Serie B (3 stagioni),,,,60.2,,,,,,,,,,,,,,,,
