,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Juventus (9 stagioni),Empoli (2 stagioni),Cagliari (1 stagione),Rennes (1 stagione),,Serie A (10 stagioni),Serie B (1 stagione),Ligue 1 (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2013-2014,19,Empoli,it ITA,2. Serie B,2°,39.7,,,,,,,,,,,,,,,0,,,,,,,,,
2014-2015,20,Empoli,it ITA,1. Serie A,15°,38.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,21,Juventus,it ITA,1. Serie A,1°,13.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Juventus,it ITA,1. Serie A,1°,12.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Juventus,it ITA,1. Serie A,1°,21.5,1371,1512,"90,7",25803,8500,442,462,"95,7",799,856,"93,3",110,165,"66,7",1,0.6,0.5,+0.4,3,39,0,0,39,Partite
2018-2019,24,Juventus,it ITA,1. Serie A,1°,15.0,696,775,"89,8",12939,4513,243,259,"93,8",386,418,"92,3",58,83,"69,9",0,0.0,0.1,0.0,0,31,0,0,39,Partite
2019-2020,25,Juventus,it ITA,1. Serie A,1°,7.7,393,452,"86,9",6744,2830,160,177,"90,4",205,233,"88,0",22,30,"73,3",0,0.0,0.1,0.0,0,16,0,0,17,Partite
2020-2021,26,Rennes,fr FRA,1. Ligue 1,6°,1.0,57,65,"87,7",1093,450,14,15,"93,3",41,43,"95,3",1,5,"20,0",0,0.0,0.0,0.0,0,1,0,0,2,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,11.1,402,508,"79,1",7043,2474,171,198,"86,4",189,220,"85,9",33,70,"47,1",1,0.5,0.5,+0.5,3,23,2,0,36,Partite
2021-2022,27,Juventus,it ITA,1. Serie A,4°,9.8,497,547,"90,9",9586,3391,154,159,"96,9",296,312,"94,9",41,63,"65,1",0,0.0,0.1,0.0,1,23,0,0,28,Partite
2022-2023,28,Juventus,it ITA,1. Serie A,7°,6.3,231,262,"88,2",4696,1347,64,70,"91,4",150,159,"94,3",17,33,"51,5",0,0.0,0.0,0.0,0,7,0,0,5,Partite
2023-2024,29,Juventus,it ITA,1. Serie A,2°,9.3,440,496,"88,7",8572,2832,123,135,"91,1",282,299,"94,3",35,55,"63,6",0,0.0,0.1,0.0,1,48,1,0,36,Partite
11 stagioni,4 club,,3 campionati,,184.4,4087,4617,"88,5",76476,26337,1371,1475,"92,9",2348,2540,"92,4",317,504,"62,9",2,1.2,1.3,+0.8,8,188,3,0,202,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Juventus (9 stagioni),,1 campionato,,94.5,3628,4044,"89,7",68340,23413,1186,1262,"94,0",2118,2277,"93,0",283,429,"66,0",1,0.7,0.8,+0.3,5,164,1,0,164,
Empoli (2 stagioni),,2 campionati,,77.7,,,,,,,,,,,,,,,0,,,,,,,,,
Cagliari (1 stagione),,1 campionato,,11.1,402,508,"79,1",7043,2474,171,198,"86,4",189,220,"85,9",33,70,"47,1",1,0.5,0.5,+0.5,3,23,2,0,36,
Rennes (1 stagione),,1 campionato,,1.0,57,65,"87,7",1093,450,14,15,"93,3",41,43,"95,3",1,5,"20,0",0,0.0,0.0,0.0,0,1,0,0,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,143.6,4030,4552,"88,5",75383,25887,1357,1460,"92,9",2307,2497,"92,4",316,499,"63,3",2,1.2,1.3,+0.8,8,187,3,0,200,
Serie B (1 stagione),,,,39.7,,,,,,,,,,,,,,,0,,,,,,,,,
Ligue 1 (1 stagione),,,,1.0,57,65,"87,7",1093,450,14,15,"93,3",41,43,"95,3",1,5,"20,0",0,0.0,0.0,0.0,0,1,0,0,2,
