,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Juventus (9 stagioni),Empoli (2 stagioni),Cagliari (1 stagione),Rennes (1 stagione),,Serie A (10 stagioni),Serie B (1 stagione),Ligue 1 (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,19,Empoli,it ITA,2. Serie B,2°,39.7,,,,,,,,,,,,,,,,
2014-2015,20,Empoli,it ITA,1. Serie A,15°,38.0,,,,,,,,,,,,,,,,Partite
2015-2016,21,Juventus,it ITA,1. Serie A,1°,13.0,,,,,,,,,,,,,,,,Partite
2016-2017,22,Juventus,it ITA,1. Serie A,1°,12.0,,,,,,,1,,,,,,,,,Partite
2017-2018,23,Juventus,it ITA,1. Serie A,1°,21.5,1512,1485,25,24,0,11,2,1,0,0,0,0,1371,2,5,Partite
2018-2019,24,Juventus,it ITA,1. Serie A,1°,15.0,775,763,11,11,0,5,0,0,0,0,0,0,696,1,1,Partite
2019-2020,25,Juventus,it ITA,1. Serie A,1°,7.7,452,444,7,7,0,2,0,0,0,0,0,0,393,1,1,Partite
2020-2021,26,Rennes,fr FRA,1. Ligue 1,6°,1.0,65,63,2,2,0,0,0,0,0,0,0,0,57,0,0,Partite
2020-2021,26,Cagliari,it ITA,1. Serie A,16°,11.1,508,483,24,20,0,1,5,4,0,0,0,0,402,1,5,Partite
2021-2022,27,Juventus,it ITA,1. Serie A,4°,9.8,547,528,18,12,0,4,0,1,0,0,0,0,497,1,4,Partite
2022-2023,28,Juventus,it ITA,1. Serie A,7°,6.3,262,255,7,4,0,3,0,0,0,0,0,0,231,0,0,Partite
2023-2024,29,Juventus,it ITA,1. Serie A,2°,9.3,496,483,12,5,0,4,0,1,0,0,0,0,440,1,3,Partite
11 stagioni,4 club,,3 campionati,,184.4,4617,4504,106,85,0,30,8,7,0,0,0,0,4087,7,19,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Juventus (9 stagioni),,1 campionato,,94.5,4044,3958,80,63,0,29,3,3,0,0,0,0,3628,6,14,
Empoli (2 stagioni),,2 campionati,,77.7,,,,,,,,,,,,,,,,
Cagliari (1 stagione),,1 campionato,,11.1,508,483,24,20,0,1,5,4,0,0,0,0,402,1,5,
Rennes (1 stagione),,1 campionato,,1.0,65,63,2,2,0,0,0,0,0,0,0,0,57,0,0,
,,,,,,,,,,,,,,,,,,,,
Serie A (10 stagioni),,,,143.6,4552,4441,104,83,0,30,8,7,0,0,0,0,4030,7,19,
Serie B (1 stagione),,,,39.7,,,,,,,,,,,,,,,,
Ligue 1 (1 stagione),,,,1.0,65,63,2,2,0,0,0,0,0,0,0,0,57,0,0,
