,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Middlesbrough (4 stagioni),Middlesbrough (4 stagioni),Nott'ham Forest (1 stagione),Rennes (1 stagione),Leeds United (1 stagione),Fulham (1 stagione),Tottenham (1 stagione),Genoa (1 stagione),,Championship (5 stagioni),PL2 — Div. 2 (4 stagioni),Ligue 1 (1 stagione),Premier League (1 stagione),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,16,Fulham,eng ENG,Jr. PL2 — Div. 2,8°,4.3,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,4°,0.9,,,,,,,,,,,,,,,,,Partite
2018-2019,17,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,8°,17.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,5°,2.6,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,2. Championship,17°,17.1,27,16,14,11,2,5,16,"31,3",11,20,4,16,17,44,43,0,Partite
2020-2021,19,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,6°,1.0,,,,,,,,,,,,,,,,,Partite
2020-2021,19,Middlesbrough,eng ENG,2. Championship,10°,23.2,30,19,14,13,3,12,20,"60,0",8,27,3,24,27,57,30,0,Partite
2021-2022,20,Middlesbrough,eng ENG,2. Championship,7°,2.3,5,4,2,3,0,5,7,"71,4",2,2,0,2,3,8,2,0,Partite
2021-2022,20,Nott'ham Forest,eng ENG,2. Championship,4°,37.9,54,37,32,17,5,20,39,"51,3",19,43,7,36,63,117,65,1,Partite
2022-2023,21,Tottenham,eng ENG,1. Premier League,8°,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partite
2022-2023,21,Rennes,fr FRA,1. Ligue 1,4°,6.4,14,6,8,2,4,11,18,"61,1",7,10,3,7,4,18,15,0,Partite
2023-2024,22,Leeds United,eng ENG,2. Championship,3°,4.3,17,11,10,5,2,5,8,"62,5",3,10,4,6,8,25,11,0,Partite
2023-2024,22,Genoa,it ITA,1. Serie A,12°,2.6,3,2,3,0,0,1,1,"100,0",0,6,1,5,3,6,5,0,Partite
6 stagioni,6 club,,4 campionati,,93.9,150,95,83,51,16,59,109,"54,1",50,118,22,96,125,275,171,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Middlesbrough (4 stagioni),,1 campionato,,42.6,62,39,30,27,5,22,43,"51,2",21,49,7,42,47,109,75,0,
Middlesbrough (4 stagioni),,1 campionato,,21.5,,,,,,,,,,,,,,0,,,
Nott'ham Forest (1 stagione),,1 campionato,,37.9,54,37,32,17,5,20,39,"51,3",19,43,7,36,63,117,65,1,
Rennes (1 stagione),,1 campionato,,6.4,14,6,8,2,4,11,18,"61,1",7,10,3,7,4,18,15,0,
Leeds United (1 stagione),,1 campionato,,4.3,17,11,10,5,2,5,8,"62,5",3,10,4,6,8,25,11,0,
Fulham (1 stagione),,1 campionato,,4.3,,,,,,,,,,,,,,0,,,
Tottenham (1 stagione),,1 campionato,,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
Genoa (1 stagione),,1 campionato,,2.6,3,2,3,0,0,1,1,"100,0",0,6,1,5,3,6,5,0,
,,,,,,,,,,,,,,,,,,,,,
Championship (5 stagioni),,,,84.8,133,87,72,49,12,47,90,"52,2",43,102,18,84,118,251,151,1,
PL2 — Div. 2 (4 stagioni),,,,25.8,,,,,,,,,,,,,,0,,,
Ligue 1 (1 stagione),,,,6.4,14,6,8,2,4,11,18,"61,1",7,10,3,7,4,18,15,0,
Premier League (1 stagione),,,,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
Serie A (1 stagione),,,,2.6,3,2,3,0,0,1,1,"100,0",0,6,1,5,3,6,5,0,
