,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Middlesbrough (4 stagioni),Middlesbrough (4 stagioni),Nott'ham Forest (1 stagione),Rennes (1 stagione),Leeds United (1 stagione),Fulham (1 stagione),Tottenham (1 stagione),Genoa (1 stagione),,Championship (5 stagioni),PL2 — Div. 2 (4 stagioni),Ligue 1 (1 stagione),Premier League (1 stagione),Serie A (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017-2018,16,Fulham,eng ENG,Jr. PL2 — Div. 2,8°,4.3,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,4°,0.9,,,,,,,,,,,,,,,,,Partite
2018-2019,17,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,8°,17.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,5°,2.6,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,2. Championship,17°,17.1,31,"1,82",24,0,1,1,2,3,1,"0,06",1,0,0,0,0,0,Partite
2020-2021,19,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,6°,1.0,,,,,,,,,,,,,,,,,Partite
2020-2021,19,Middlesbrough,eng ENG,2. Championship,10°,23.2,40,"1,72",33,0,2,1,3,1,2,"0,09",0,0,1,0,1,0,Partite
2021-2022,20,Middlesbrough,eng ENG,2. Championship,7°,2.3,2,"0,85",1,0,0,0,1,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,20,Nott'ham Forest,eng ENG,2. Championship,4°,37.9,93,"2,45",69,3,11,1,8,1,10,"0,26",8,0,1,0,1,0,Partite
2022-2023,21,Tottenham,eng ENG,1. Premier League,8°,0.1,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,21,Rennes,fr FRA,1. Ligue 1,4°,6.4,11,"1,73",7,0,4,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,22,Leeds United,eng ENG,2. Championship,3°,4.3,9,"2,09",6,0,0,1,2,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,22,Genoa,it ITA,1. Serie A,12°,2.6,1,"0,38",0,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
6 stagioni,6 club,,4 campionati,,93.9,187,"1,99",140,3,18,5,16,5,13,"0,14",9,0,2,0,2,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Middlesbrough (4 stagioni),,1 campionato,,42.6,73,"1,71",58,0,3,2,6,4,3,"0,07",1,0,1,0,1,0,
Middlesbrough (4 stagioni),,1 campionato,,21.5,,,,,,,,,,,,,,,,,
Nott'ham Forest (1 stagione),,1 campionato,,37.9,93,"2,45",69,3,11,1,8,1,10,"0,26",8,0,1,0,1,0,
Rennes (1 stagione),,1 campionato,,6.4,11,"1,73",7,0,4,0,0,0,0,"0,00",0,0,0,0,0,0,
Leeds United (1 stagione),,1 campionato,,4.3,9,"2,09",6,0,0,1,2,0,0,"0,00",0,0,0,0,0,0,
Fulham (1 stagione),,1 campionato,,4.3,,,,,,,,,,,,,,,,,
Tottenham (1 stagione),,1 campionato,,0.1,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Genoa (1 stagione),,1 campionato,,2.6,1,"0,38",0,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Championship (5 stagioni),,,,84.8,175,"2,06",133,3,14,4,16,5,13,"0,15",9,0,2,0,2,0,
PL2 — Div. 2 (4 stagioni),,,,25.8,,,,,,,,,,,,,,,,,
Ligue 1 (1 stagione),,,,6.4,11,"1,73",7,0,4,0,0,0,0,"0,00",0,0,0,0,0,0,
Premier League (1 stagione),,,,0.1,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Serie A (1 stagione),,,,2.6,1,"0,38",0,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,
