,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Middlesbrough (4 stagioni),Middlesbrough (4 stagioni),Nott'ham Forest (1 stagione),Rennes (1 stagione),Leeds United (1 stagione),Fulham (1 stagione),Tottenham (1 stagione),Genoa (1 stagione),,Championship (5 stagioni),PL2 — Div. 2 (4 stagioni),Ligue 1 (1 stagione),Premier League (1 stagione),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,16,Fulham,eng ENG,Jr. PL2 — Div. 2,8°,4.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,16,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,4°,0.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,17,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,8°,17.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,5°,2.6,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2019-2020,18,Middlesbrough,eng ENG,2. Championship,17°,17.1,345,500,"69,0",5214,1942,202,243,"83,1",110,168,"65,5",20,50,"40,0",0,1.7,1.7,-1.7,14,25,15,6,45,Partite
2020-2021,19,Middlesbrough,eng ENG,Jr. PL2 — Div. 2,6°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2020-2021,19,Middlesbrough,eng ENG,2. Championship,10°,23.2,483,737,"65,5",6799,2235,296,380,"77,9",142,226,"62,8",22,58,"37,9",0,1.4,1.1,-1.4,15,25,17,7,47,Partite
2021-2022,20,Middlesbrough,eng ENG,2. Championship,7°,2.3,24,36,"66,7",355,68,11,17,"64,7",10,13,"76,9",1,3,"33,3",0,0.0,0.0,0.0,1,3,0,0,2,Partite
2021-2022,20,Nott'ham Forest,eng ENG,2. Championship,4°,37.9,1390,1852,"75,1",21329,7456,804,902,"89,1",469,639,"73,4",79,193,"40,9",4,4.2,3.7,-0.2,39,80,41,16,120,Partite
2022-2023,21,Tottenham,eng ENG,1. Premier League,8°,0.1,5,9,"55,6",60,4,4,5,"80,0",1,1,"100,0",0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partite
2022-2023,21,Rennes,fr FRA,1. Ligue 1,4°,6.4,278,315,"88,3",4201,891,139,154,"90,3",126,140,"90,0",5,11,"45,5",0,0.1,0.2,-0.1,2,23,5,1,21,Partite
2023-2024,22,Leeds United,eng ENG,2. Championship,3°,4.3,234,274,"85,4",3373,815,137,151,"90,7",83,91,"91,2",7,18,"38,9",0,0.3,0.2,-0.3,5,17,4,1,15,Partite
2023-2024,22,Genoa,it ITA,1. Serie A,12°,2.6,61,81,"75,3",879,198,40,46,"87,0",18,26,"69,2",2,4,"50,0",0,0.0,0.0,0.0,0,3,0,0,6,Partite
6 stagioni,6 club,,4 campionati,,93.9,2820,3804,"74,1",42210,13609,1633,1898,"86,0",959,1304,"73,5",136,337,"40,4",4,7.7,6.9,-3.7,76,176,82,31,256,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Middlesbrough (4 stagioni),,1 campionato,,42.6,852,1273,"66,9",12368,4245,509,640,"79,5",262,407,"64,4",43,111,"38,7",0,3.2,2.8,-3.2,30,53,32,13,94,
Middlesbrough (4 stagioni),,1 campionato,,21.5,,,,,,,,,,,,,,,2,,,,,,,,,
Nott'ham Forest (1 stagione),,1 campionato,,37.9,1390,1852,"75,1",21329,7456,804,902,"89,1",469,639,"73,4",79,193,"40,9",4,4.2,3.7,-0.2,39,80,41,16,120,
Rennes (1 stagione),,1 campionato,,6.4,278,315,"88,3",4201,891,139,154,"90,3",126,140,"90,0",5,11,"45,5",0,0.1,0.2,-0.1,2,23,5,1,21,
Leeds United (1 stagione),,1 campionato,,4.3,234,274,"85,4",3373,815,137,151,"90,7",83,91,"91,2",7,18,"38,9",0,0.3,0.2,-0.3,5,17,4,1,15,
Fulham (1 stagione),,1 campionato,,4.3,,,,,,,,,,,,,,,1,,,,,,,,,
Tottenham (1 stagione),,1 campionato,,0.1,5,9,"55,6",60,4,4,5,"80,0",1,1,"100,0",0,0,,0,0.0,0.0,0.0,0,0,0,0,0,
Genoa (1 stagione),,1 campionato,,2.6,61,81,"75,3",879,198,40,46,"87,0",18,26,"69,2",2,4,"50,0",0,0.0,0.0,0.0,0,3,0,0,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship (5 stagioni),,,,84.8,2476,3399,"72,8",37070,12516,1450,1693,"85,6",814,1137,"71,6",129,322,"40,1",4,7.6,6.7,-3.6,74,150,77,30,229,
PL2 — Div. 2 (4 stagioni),,,,25.8,,,,,,,,,,,,,,,3,,,,,,,,,
Ligue 1 (1 stagione),,,,6.4,278,315,"88,3",4201,891,139,154,"90,3",126,140,"90,0",5,11,"45,5",0,0.1,0.2,-0.1,2,23,5,1,21,
Premier League (1 stagione),,,,0.1,5,9,"55,6",60,4,4,5,"80,0",1,1,"100,0",0,0,,0,0.0,0.0,0.0,0,0,0,0,0,
Serie A (1 stagione),,,,2.6,61,81,"75,3",879,198,40,46,"87,0",18,26,"69,2",2,4,"50,0",0,0.0,0.0,0.0,0,3,0,0,6,
