,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Atalanta (4 stagioni),Torino (3 stagioni),Chelsea (2 stagioni),Avellino (1 stagione),Genoa (1 stagione),Roma (1 stagione),,Serie A (9 stagioni),Premier League (2 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2013-2014,21,Avellino,it ITA,2. Serie B,11°,31.0,,,,,,,,,,,,,,,,,
2014-2015,22,Atalanta,it ITA,1. Serie A,17°,25.0,,,,,,,,,,,,,,,,,Partite
2015-2016,23,Torino,it ITA,1. Serie A,12°,14.1,,,,,,,,,,,,,,,,,Partite
2016-2017,24,Torino,it ITA,1. Serie A,9°,26.0,,35,,,,,,,,,,,39,,,,Partite
2017-2018,25,Torino,it ITA,1. Serie A,9°,1.1,1,0,1,0,0,0,0,,0,0,0,0,2,3,1,0,Partite
2017-2018,25,Chelsea,eng ENG,1. Premier League,5°,12.2,26,11,14,9,3,11,25,"44,0",14,11,2,9,6,32,26,0,Partite
2018-2019,26,Chelsea,eng ENG,1. Premier League,3°,1.4,0,0,0,0,0,0,1,"0,0",1,0,0,0,3,3,5,0,Partite
2019-2020,27,Roma,it ITA,1. Serie A,5°,5.0,7,3,2,3,2,4,8,"50,0",4,3,1,2,6,13,8,1,Partite
2020-2021,28,Genoa,it ITA,1. Serie A,11°,22.7,33,16,15,13,5,15,30,"50,0",15,17,1,16,18,51,41,0,Partite
2021-2022,29,Atalanta,it ITA,1. Serie A,8°,26.1,32,22,12,13,7,19,37,"51,4",18,32,2,30,12,44,22,0,Partite
2022-2023,30,Atalanta,it ITA,1. Serie A,5°,16.3,34,18,17,12,5,15,22,"68,2",7,23,2,21,9,43,16,0,Partite
2023-2024,31,Atalanta,it ITA,1. Serie A,6°,14.1,13,12,4,5,4,9,18,"50,0",9,19,3,16,3,16,15,0,Partite
11 stagioni,6 club,,3 campionati,,195.0,146,117,65,55,26,73,141,"51,8",68,105,11,94,98,205,134,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Atalanta (4 stagioni),,1 campionato,,81.5,79,52,33,30,16,43,77,"55,8",34,74,7,67,24,103,53,0,
Torino (3 stagioni),,1 campionato,,41.1,1,35,1,0,0,0,0,,0,0,0,0,41,3,1,0,
Chelsea (2 stagioni),,1 campionato,,13.6,26,11,14,9,3,11,26,"42,3",15,11,2,9,9,35,31,0,
Avellino (1 stagione),,1 campionato,,31.0,,,,,,,,,,,,,,0,,,
Genoa (1 stagione),,1 campionato,,22.7,33,16,15,13,5,15,30,"50,0",15,17,1,16,18,51,41,0,
Roma (1 stagione),,1 campionato,,5.0,7,3,2,3,2,4,8,"50,0",4,3,1,2,6,13,8,1,
,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,150.4,120,106,51,46,23,62,115,"53,9",53,94,9,85,89,170,103,1,
Premier League (2 stagioni),,,,13.6,26,11,14,9,3,11,26,"42,3",15,11,2,9,9,35,31,0,
Serie B (1 stagione),,,,31.0,,,,,,,,,,,,,,0,,,
