,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Atalanta (4 stagioni),Torino (3 stagioni),Chelsea (2 stagioni),Avellino (1 stagione),Genoa (1 stagione),Roma (1 stagione),,Serie A (9 stagioni),Premier League (2 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,21,Avellino,it ITA,2. Serie B,11°,31.0,,,,,,,,,,,,,,,,
2014-2015,22,Atalanta,it ITA,1. Serie A,17°,25.0,,,,,,,,,,,,,,,,Partite
2015-2016,23,Torino,it ITA,1. Serie A,12°,14.1,,,,,,,,,,,,,,,,Partite
2016-2017,24,Torino,it ITA,1. Serie A,9°,26.0,,,,,,,166,,,,,,,,,Partite
2017-2018,25,Torino,it ITA,1. Serie A,9°,1.1,55,36,19,1,0,0,9,15,3,3,0,0,41,0,2,Partite
2017-2018,25,Chelsea,eng ENG,1. Premier League,5°,12.2,660,526,131,2,0,0,84,128,1,0,0,0,514,3,33,Partite
2018-2019,26,Chelsea,eng ENG,1. Premier League,3°,1.4,91,74,17,2,0,1,1,15,0,0,0,0,74,0,3,Partite
2019-2020,27,Roma,it ITA,1. Serie A,5°,5.0,242,196,46,2,0,0,23,44,0,0,0,0,195,0,11,Partite
2020-2021,28,Genoa,it ITA,1. Serie A,11°,22.7,1090,870,216,9,0,2,83,204,3,1,1,0,859,4,44,Partite
2021-2022,29,Atalanta,it ITA,1. Serie A,8°,26.1,1503,1262,236,21,1,2,88,211,4,1,0,0,1238,5,40,Partite
2022-2023,30,Atalanta,it ITA,1. Serie A,5°,16.3,925,719,204,11,0,0,59,188,5,5,0,0,771,2,22,Partite
2023-2024,31,Atalanta,it ITA,1. Serie A,6°,14.1,710,585,124,11,0,2,54,106,7,1,4,0,592,1,22,Partite
11 stagioni,6 club,,3 campionati,,195.0,5276,4268,993,59,1,7,567,911,23,11,5,0,4284,15,177,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Atalanta (4 stagioni),,1 campionato,,81.5,3138,2566,564,43,1,4,201,505,16,7,4,0,2601,8,84,
Torino (3 stagioni),,1 campionato,,41.1,55,36,19,1,0,0,175,15,3,3,0,0,41,0,2,
Chelsea (2 stagioni),,1 campionato,,13.6,751,600,148,4,0,1,85,143,1,0,0,0,588,3,36,
Avellino (1 stagione),,1 campionato,,31.0,,,,,,,,,,,,,,,,
Genoa (1 stagione),,1 campionato,,22.7,1090,870,216,9,0,2,83,204,3,1,1,0,859,4,44,
Roma (1 stagione),,1 campionato,,5.0,242,196,46,2,0,0,23,44,0,0,0,0,195,0,11,
,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,150.4,4525,3668,845,55,1,6,482,768,22,11,5,0,3696,12,141,
Premier League (2 stagioni),,,,13.6,751,600,148,4,0,1,85,143,1,0,0,0,588,3,36,
Serie B (1 stagione),,,,31.0,,,,,,,,,,,,,,,,
