,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016,2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Shakhtar (4 stagioni),Coritiba (2 stagioni),Fiorentina (2 stagioni),Vitória (1 stagione),,Premier League (4 stagioni),Série A (2 stagioni),Serie A (2 stagioni),Primeira Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016,17,Coritiba,br BRA,1. Série A,15°,23.2,,25,,,,,,,,,,,45,,,,Partite
2017,18,Coritiba,br BRA,1. Série A,17°,15.7,,25,,,,,,,,,,,37,,,,Partite
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1°,1.0,,0,,,,,,,,,,,0,,,,Partite
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5°,8.4,18,14,13,4,1,5,15,"33,3",10,4,1,3,18,36,18,0,Partite
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1°,20.5,,,,,,,,,,,,,,,,,Partite
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2°,22.1,,,,,,,,,,,,,,,,,Partite
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1°,13.8,,,,,,,,,,,,,,,,,Partite
2022-2023,23,Fiorentina,it ITA,1. Serie A,8°,25.9,40,22,20,14,6,22,46,"47,8",24,26,2,24,25,65,37,0,Partite
2023-2024,24,Fiorentina,it ITA,1. Serie A,7°,3.0,3,2,1,2,0,1,4,"25,0",3,2,0,2,3,6,6,0,Partite
8 stagioni,4 club,,4 campionati,,133.6,61,88,34,20,7,28,65,"43,1",37,32,3,29,128,107,61,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Shakhtar (4 stagioni),,1 campionato,,57.4,,0,,,,,,,,,,,0,0,,,
Coritiba (2 stagioni),,1 campionato,,38.9,,50,,,,,,,,,,,82,0,,,
Fiorentina (2 stagioni),,1 campionato,,28.9,43,24,21,16,6,23,50,"46,0",27,28,2,26,28,71,43,0,
Vitória (1 stagione),,1 campionato,,8.4,18,14,13,4,1,5,15,"33,3",10,4,1,3,18,36,18,0,
,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,57.4,,0,,,,,,,,,,,0,0,,,
Série A (2 stagioni),,,,38.9,,50,,,,,,,,,,,82,0,,,
Serie A (2 stagioni),,,,28.9,43,24,21,16,6,23,50,"46,0",27,28,2,26,28,71,43,0,
Primeira Liga (1 stagione),,,,8.4,18,14,13,4,1,5,15,"33,3",10,4,1,3,18,36,18,0,
