,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2016,2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Shakhtar (4 stagioni),Coritiba (2 stagioni),Fiorentina (2 stagioni),Vitória (1 stagione),,Premier League (4 stagioni),Série A (2 stagioni),Serie A (2 stagioni),Primeira Liga (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2016,17,Coritiba,br BRA,1. Série A,15°,23.2,,,,,,,,,,,,,,,,,Partite
2017,18,Coritiba,br BRA,1. Série A,17°,15.7,,,,,,,,,,,,,,,,,Partite
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1°,1.0,,,,,,,,,,,,,,,,,Partite
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5°,8.4,22,"2,62",18,2,2,0,0,0,2,"0,24",2,0,0,0,0,0,Partite
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1°,20.5,,,,,,,,,,,,,,,,,Partite
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2°,22.1,,,,,,,,,,,,,,,,,Partite
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1°,13.8,,,,,,,,,,,,,,,,,Partite
2022-2023,23,Fiorentina,it ITA,1. Serie A,8°,25.9,65,"2,51",58,2,1,2,1,1,5,"0,19",5,0,0,0,0,0,Partite
2023-2024,24,Fiorentina,it ITA,1. Serie A,7°,3.0,6,"2,02",6,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
8 stagioni,4 club,,4 campionati,,133.6,93,"2,50",82,4,3,2,1,1,7,"0,19",7,0,0,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Shakhtar (4 stagioni),,1 campionato,,57.4,,,,,,,,,,,,,,,,,
Coritiba (2 stagioni),,1 campionato,,38.9,,,,,,,,,,,,,,,,,
Fiorentina (2 stagioni),,1 campionato,,28.9,71,"2,46",64,2,1,2,1,1,5,"0,17",5,0,0,0,0,0,
Vitória (1 stagione),,1 campionato,,8.4,22,"2,62",18,2,2,0,0,0,2,"0,24",2,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,57.4,,,,,,,,,,,,,,,,,
Série A (2 stagioni),,,,38.9,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,28.9,71,"2,46",64,2,1,2,1,1,5,"0,17",5,0,0,0,0,0,
Primeira Liga (1 stagione),,,,8.4,22,"2,62",18,2,2,0,0,0,2,"0,24",2,0,0,0,0,0,
