,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016,2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Shakhtar (4 stagioni),Coritiba (2 stagioni),Fiorentina (2 stagioni),Vitória (1 stagione),,Premier League (4 stagioni),Série A (2 stagioni),Serie A (2 stagioni),Primeira Liga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016,17,Coritiba,br BRA,1. Série A,15°,23.2,,,,,,,49,,,,,,,,,Partite
2017,18,Coritiba,br BRA,1. Série A,17°,15.7,,,,,,,55,,,,,,,,,Partite
2017-2018,18,Shakhtar,ua UKR,1. Premier League,1°,1.0,,,,,,,0,,,,,,,,,Partite
2018-2019,19,Vitória,pt POR,1. Primeira Liga,5°,8.4,438,336,102,12,0,3,27,90,0,0,0,0,351,0,13,Partite
2019-2020,20,Shakhtar,ua UKR,1. Premier League,1°,20.5,,,,,,,,,,,,,,,,Partite
2020-2021,21,Shakhtar,ua UKR,1. Premier League,2°,22.1,,,,,,,,,,,,,,,,Partite
2021-2022,22,Shakhtar,ua UKR,1. Premier League,1°,13.8,,,,,,,,,,,,,,,,Partite
2022-2023,23,Fiorentina,it ITA,1. Serie A,8°,25.9,1504,1272,229,21,2,8,61,208,0,0,0,0,1222,3,28,Partite
2023-2024,24,Fiorentina,it ITA,1. Serie A,7°,3.0,186,158,27,4,1,1,8,23,0,0,0,0,152,1,0,Partite
8 stagioni,4 club,,4 campionati,,133.6,2128,1766,358,37,3,12,200,321,0,0,0,0,1725,4,41,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Shakhtar (4 stagioni),,1 campionato,,57.4,,,,,,,0,,,,,,,,,
Coritiba (2 stagioni),,1 campionato,,38.9,,,,,,,104,,,,,,,,,
Fiorentina (2 stagioni),,1 campionato,,28.9,1690,1430,256,25,3,9,69,231,0,0,0,0,1374,4,28,
Vitória (1 stagione),,1 campionato,,8.4,438,336,102,12,0,3,27,90,0,0,0,0,351,0,13,
,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,57.4,,,,,,,0,,,,,,,,,
Série A (2 stagioni),,,,38.9,,,,,,,104,,,,,,,,,
Serie A (2 stagioni),,,,28.9,1690,1430,256,25,3,9,69,231,0,0,0,0,1374,4,28,
Primeira Liga (1 stagione),,,,8.4,438,336,102,12,0,3,27,90,0,0,0,0,351,0,13,
