,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Chelsea (3 stagioni),Chelsea (2 stagioni),Leeds United (1 stagione),Spezia (1 stagione),Venezia (1 stagione),Sheffield Utd (1 stagione),Exeter City (1 stagione),RB Leipzig (1 stagione),Chelsea (1 stagione),,Premier League (4 stagioni),PL2 — Div. 1 (3 stagioni),Serie A (2 stagioni),Championship (1 stagione),League Two (1 stagione),Bundesliga (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2016-2017,15,Exeter City,eng ENG,4. League Two,5°,5.6,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8°,5.1,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Chelsea,eng ENG,1. Premier League,5°,0.1,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6°,6.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,RB Leipzig,de GER,1. Bundesliga,3°,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,19,Sheffield Utd,eng ENG,1. Premier League,20°,23.2,20,"0,86",17,2,0,0,1,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,20,Venezia,it ITA,1. Serie A,20°,25.4,45,"1,77",39,4,1,0,0,1,6,"0,24",5,1,0,0,0,0,Partite
2022-2023,21,Spezia,it ITA,1. Serie A,17°,29.3,40,"1,36",33,0,0,4,2,1,4,"0,14",4,0,0,0,0,0,Partite
2022-2023,21,Chelsea,eng ENG,Jr. PL2 — Div. 1,3°,1.0,,,,,,,,,,,,,,,,,Partite
2023-2024,22,Leeds United,eng ENG,2. Championship,3°,35.0,70,"2,00",64,1,0,2,1,2,5,"0,14",5,0,0,0,0,0,Partite
8 stagioni,7 club,,5 campionati,,119.5,175,"1,54",153,7,1,6,4,4,15,"0,13",14,1,0,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Chelsea (3 stagioni),,1 campionato,,0.1,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Chelsea (2 stagioni),,1 campionato,,11.1,,,,,,,,,,,,,,,,,
Leeds United (1 stagione),,1 campionato,,35.0,70,"2,00",64,1,0,2,1,2,5,"0,14",5,0,0,0,0,0,
Spezia (1 stagione),,1 campionato,,29.3,40,"1,36",33,0,0,4,2,1,4,"0,14",4,0,0,0,0,0,
Venezia (1 stagione),,1 campionato,,25.4,45,"1,77",39,4,1,0,0,1,6,"0,24",5,1,0,0,0,0,
Sheffield Utd (1 stagione),,1 campionato,,23.2,20,"0,86",17,2,0,0,1,0,0,"0,00",0,0,0,0,0,0,
Exeter City (1 stagione),,1 campionato,,5.6,,,,,,,,,,,,,,,,,
RB Leipzig (1 stagione),,1 campionato,,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Chelsea (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,23.3,20,"0,86",17,2,0,0,1,0,0,"0,00",0,0,0,0,0,0,
PL2 — Div. 1 (3 stagioni),,,,12.1,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,54.7,85,"1,55",72,4,1,4,2,2,10,"0,18",9,1,0,0,0,0,
Championship (1 stagione),,,,35.0,70,"2,00",64,1,0,2,1,2,5,"0,14",5,0,0,0,0,0,
League Two (1 stagione),,,,5.6,,,,,,,,,,,,,,,,,
Bundesliga (1 stagione),,,,0.9,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
