,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Chelsea (3 stagioni),Chelsea (2 stagioni),Leeds United (1 stagione),Spezia (1 stagione),Venezia (1 stagione),Sheffield Utd (1 stagione),Exeter City (1 stagione),RB Leipzig (1 stagione),Chelsea (1 stagione),,Premier League (4 stagioni),PL2 — Div. 1 (3 stagioni),Serie A (2 stagioni),Championship (1 stagione),League Two (1 stagione),Bundesliga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,15,Exeter City,eng ENG,4. League Two,5°,5.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8°,5.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,16,Chelsea,eng ENG,1. Premier League,5°,0.1,19,19,"100,0",391,149,5,5,"100,0",13,13,"100,0",1,1,"100,0",0,0.0,0.0,0.0,0,1,0,0,1,Partite
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6°,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,18,RB Leipzig,de GER,1. Bundesliga,3°,0.9,75,83,"90,4",1220,397,22,24,"91,7",40,43,"93,0",3,5,"60,0",0,0.0,0.0,0.0,0,3,0,0,3,Partite
2020-2021,19,Sheffield Utd,eng ENG,1. Premier League,20°,23.2,870,1087,"80,0",15680,5536,370,424,"87,3",378,446,"84,8",102,158,"64,6",0,1.2,1.1,-1.2,11,76,14,2,100,Partite
2021-2022,20,Venezia,it ITA,1. Serie A,20°,25.4,867,1165,"74,4",15853,6627,385,445,"86,5",359,443,"81,0",103,209,"49,3",3,1.6,1.5,+1.4,15,96,12,7,112,Partite
2022-2023,21,Spezia,it ITA,1. Serie A,17°,29.3,1254,1548,"81,0",23855,9527,474,538,"88,1",631,707,"89,3",134,253,"53,0",1,1.1,0.9,-0.1,13,106,14,4,125,Partite
2022-2023,21,Chelsea,eng ENG,Jr. PL2 — Div. 1,3°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2023-2024,22,Leeds United,eng ENG,2. Championship,3°,35.0,2065,2349,"87,9",37216,10983,845,922,"91,6",1037,1122,"92,4",158,244,"64,8",1,1.9,2.5,-0.9,30,192,17,0,179,Partite
8 stagioni,7 club,,5 campionati,,119.5,5150,6251,"82,4",94215,33219,2101,2358,"89,1",2458,2774,"88,6",501,870,"57,6",5,5.8,6.0,-0.8,69,474,57,13,520,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Chelsea (3 stagioni),,1 campionato,,0.1,19,19,"100,0",391,149,5,5,"100,0",13,13,"100,0",1,1,"100,0",0,0.0,0.0,0.0,0,1,0,0,1,
Chelsea (2 stagioni),,1 campionato,,11.1,,,,,,,,,,,,,,,0,,,,,,,,,
Leeds United (1 stagione),,1 campionato,,35.0,2065,2349,"87,9",37216,10983,845,922,"91,6",1037,1122,"92,4",158,244,"64,8",1,1.9,2.5,-0.9,30,192,17,0,179,
Spezia (1 stagione),,1 campionato,,29.3,1254,1548,"81,0",23855,9527,474,538,"88,1",631,707,"89,3",134,253,"53,0",1,1.1,0.9,-0.1,13,106,14,4,125,
Venezia (1 stagione),,1 campionato,,25.4,867,1165,"74,4",15853,6627,385,445,"86,5",359,443,"81,0",103,209,"49,3",3,1.6,1.5,+1.4,15,96,12,7,112,
Sheffield Utd (1 stagione),,1 campionato,,23.2,870,1087,"80,0",15680,5536,370,424,"87,3",378,446,"84,8",102,158,"64,6",0,1.2,1.1,-1.2,11,76,14,2,100,
Exeter City (1 stagione),,1 campionato,,5.6,,,,,,,,,,,,,,,0,,,,,,,,,
RB Leipzig (1 stagione),,1 campionato,,0.9,75,83,"90,4",1220,397,22,24,"91,7",40,43,"93,0",3,5,"60,0",0,0.0,0.0,0.0,0,3,0,0,3,
Chelsea (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (4 stagioni),,,,23.3,889,1106,"80,4",16071,5685,375,429,"87,4",391,459,"85,2",103,159,"64,8",0,1.2,1.1,-1.2,11,77,14,2,101,
PL2 — Div. 1 (3 stagioni),,,,12.1,,,,,,,,,,,,,,,0,,,,,,,,,
Serie A (2 stagioni),,,,54.7,2121,2713,"78,2",39708,16154,859,983,"87,4",990,1150,"86,1",237,462,"51,3",4,2.7,2.4,+1.3,28,202,26,11,237,
Championship (1 stagione),,,,35.0,2065,2349,"87,9",37216,10983,845,922,"91,6",1037,1122,"92,4",158,244,"64,8",1,1.9,2.5,-0.9,30,192,17,0,179,
League Two (1 stagione),,,,5.6,,,,,,,,,,,,,,,0,,,,,,,,,
Bundesliga (1 stagione),,,,0.9,75,83,"90,4",1220,397,22,24,"91,7",40,43,"93,0",3,5,"60,0",0,0.0,0.0,0.0,0,3,0,0,3,
