,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2010-2011,2011-2012,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,14 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Sassuolo (5 stagioni),Lazio (4 stagioni),Inter (2 stagioni),Chievo (2 stagioni),Reggina (1 stagione),Milan (1 stagione),,Serie A (13 stagioni),Serie B (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2010-2011,22,Reggina,it ITA,2. Serie B,6°,39.1,,,,,,,,,,,,,,,,,
2011-2012,23,Chievo,it ITA,1. Serie A,10°,14.9,,,,,,,,,,,,,,,,,Partite
2012-2013,24,Chievo,it ITA,1. Serie A,12°,4.9,,,,,,,,,,,,,,,,,Partite
2012-2013,24,Milan,it ITA,1. Serie A,3°,5.3,,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sassuolo,it ITA,1. Serie A,17°,12.0,,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sassuolo,it ITA,1. Serie A,12°,32.0,,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sassuolo,it ITA,1. Serie A,6°,36.0,,,,,,,,,,,,,,,,,Partite
2016-2017,28,Sassuolo,it ITA,1. Serie A,12°,38.0,,,,,,,,,,,,,,,,,Partite
2017-2018,29,Sassuolo,it ITA,1. Serie A,11°,38.0,30,"0,79",28,0,0,1,1,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,30,Lazio,it ITA,1. Serie A,8°,36.8,31,"0,84",27,0,0,1,3,0,2,"0,05",1,0,0,1,0,0,Partite
2019-2020,31,Lazio,it ITA,1. Serie A,4°,35.1,37,"1,05",34,0,0,2,1,0,5,"0,14",5,0,0,0,0,0,Partite
2020-2021,32,Lazio,it ITA,1. Serie A,6°,31.3,31,"0,99",26,1,0,2,0,2,5,"0,16",5,0,0,0,0,0,Partite
2021-2022,33,Lazio,it ITA,1. Serie A,5°,28.2,17,"0,61",13,1,0,1,2,0,2,"0,07",1,0,0,0,1,0,Partite
2022-2023,34,Inter,it ITA,1. Serie A,3°,26.9,37,"1,37",34,1,0,2,0,0,1,"0,04",1,0,0,0,0,0,Partite
2023-2024,35,Inter,it ITA,1. Serie A,1°,18.2,15,"0,82",12,0,0,3,0,0,1,"0,05",1,0,0,0,0,0,Partite
14 stagioni,6 club,,2 campionati,,396.8,198,"0,92",174,3,0,12,7,2,16,"0,07",14,0,0,1,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Sassuolo (5 stagioni),,1 campionato,,156.0,30,"0,79",28,0,0,1,1,0,0,"0,00",0,0,0,0,0,0,
Lazio (4 stagioni),,1 campionato,,131.3,116,"0,88",100,2,0,6,6,2,14,"0,11",12,0,0,1,1,0,
Inter (2 stagioni),,1 campionato,,45.2,52,"1,15",46,1,0,5,0,0,2,"0,04",2,0,0,0,0,0,
Chievo (2 stagioni),,1 campionato,,19.8,,,,,,,,,,,,,,,,,
Reggina (1 stagione),,1 campionato,,39.1,,,,,,,,,,,,,,,,,
Milan (1 stagione),,1 campionato,,5.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (13 stagioni),,,,357.6,198,"0,92",174,3,0,12,7,2,16,"0,07",14,0,0,1,1,0,
Serie B (1 stagione),,,,39.1,,,,,,,,,,,,,,,,,
