,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2010-2011,2011-2012,2012-2013,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,14 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sassuolo (5 stagioni),Lazio (4 stagioni),Inter (2 stagioni),Chievo (2 stagioni),Reggina (1 stagione),Milan (1 stagione),,Serie A (13 stagioni),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2010-2011,22,Reggina,it ITA,2. Serie B,6°,39.1,,,,,,,,,,,,,,,,
2011-2012,23,Chievo,it ITA,1. Serie A,10°,14.9,,,,,,,,,,,,,,,,Partite
2012-2013,24,Chievo,it ITA,1. Serie A,12°,4.9,,,,,,,,,,,,,,,,Partite
2012-2013,24,Milan,it ITA,1. Serie A,3°,5.3,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sassuolo,it ITA,1. Serie A,17°,12.0,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sassuolo,it ITA,1. Serie A,12°,32.0,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sassuolo,it ITA,1. Serie A,6°,36.0,,,,,,,,,,,,,,,,Partite
2016-2017,28,Sassuolo,it ITA,1. Serie A,12°,38.0,,,,,,,6,,,,,,,,,Partite
2017-2018,29,Sassuolo,it ITA,1. Serie A,11°,38.0,1650,1529,118,89,2,24,12,28,0,0,0,0,1391,3,9,Partite
2018-2019,30,Lazio,it ITA,1. Serie A,8°,36.8,1800,1735,61,46,0,15,6,15,0,0,0,0,1560,4,11,Partite
2019-2020,31,Lazio,it ITA,1. Serie A,4°,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12,Partite
2020-2021,32,Lazio,it ITA,1. Serie A,6°,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11,Partite
2021-2022,33,Lazio,it ITA,1. Serie A,5°,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,Partite
2022-2023,34,Inter,it ITA,1. Serie A,3°,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4,Partite
2023-2024,35,Inter,it ITA,1. Serie A,1°,18.2,1197,1149,47,32,0,7,6,7,0,0,0,0,1080,1,3,Partite
14 stagioni,6 club,,2 campionati,,396.8,12504,11867,618,427,7,152,113,117,1,0,0,0,11021,19,56,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sassuolo (5 stagioni),,1 campionato,,156.0,1650,1529,118,89,2,24,18,28,0,0,0,0,1391,3,9,
Lazio (4 stagioni),,1 campionato,,131.3,8013,7643,360,265,4,111,67,61,1,0,0,0,7095,10,40,
Inter (2 stagioni),,1 campionato,,45.2,2841,2695,140,73,1,17,28,28,0,0,0,0,2535,6,7,
Chievo (2 stagioni),,1 campionato,,19.8,,,,,,,,,,,,,,,,
Reggina (1 stagione),,1 campionato,,39.1,,,,,,,,,,,,,,,,
Milan (1 stagione),,1 campionato,,5.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (13 stagioni),,,,357.6,12504,11867,618,427,7,152,113,117,1,0,0,0,11021,19,56,
Serie B (1 stagione),,,,39.1,,,,,,,,,,,,,,,,
