,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Nice (3 stagioni),Bayern U19 (3 stagioni),Salernitana (2 stagioni),FC Bayern U17 (2 stagioni),Bayern Munich II (1 stagione),RB Salzburg (1 stagione),,Ligue 1 (3 stagioni),U19 Bundesliga (3 stagioni),Serie A (2 stagioni),U17 Bundesliga (2 stagioni),3. Liga (1 stagione),Bundesliga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,15,FC Bayern U17,de GER,Jr. U17 Bundesliga,5°,1.3,,,,,,,,,,,,,,,,,Partite
2017-2018,16,FC Bayern U17,de GER,Jr. U17 Bundesliga,4°,8.7,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Bayern U19,de GER,Jr. U19 Bundesliga,3°,2.8,,,,,,,,,,,,,,,,,Partite
2018-2019,17,Bayern U19,de GER,Jr. U19 Bundesliga,13°,17.3,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern U19,de GER,Jr. U19 Bundesliga,3°,16.0,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern Munich II,de GER,3. 3. Liga,1°,3.4,,3,,,,,,,,,,,4,,,,Partite
2020-2021,19,Nice,fr FRA,1. Ligue 1,9°,16.4,23,15,15,5,3,10,21,"47,6",11,17,6,11,14,37,32,0,Partite
2021-2022,20,Nice,fr FRA,1. Ligue 1,5°,14.4,46,31,26,17,3,34,43,"79,1",9,13,7,6,14,60,34,1,Partite
2022-2023,21,Nice,fr FRA,1. Ligue 1,9°,1.0,2,0,2,0,0,1,1,"100,0",0,4,1,3,0,2,1,0,Partite
2022-2023,21,Salernitana,it ITA,1. Serie A,15°,24.4,57,29,37,17,3,26,47,"55,3",21,30,13,17,29,86,76,0,Partite
2023-2024,22,Salernitana,it ITA,1. Serie A,20°,8.3,19,11,12,5,2,9,19,"47,4",10,13,4,9,8,27,15,0,Partite
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,1°,2.7,,1,,,,,,,,,,,6,,,,Partite
5 stagioni,4 club,,4 campionati,,70.6,147,90,92,44,11,80,131,"61,1",51,77,31,46,75,212,158,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Nice (3 stagioni),,1 campionato,,31.8,71,46,43,22,6,45,65,"69,2",20,34,14,20,28,99,67,1,
Bayern U19 (3 stagioni),,1 campionato,,36.1,,,,,,,,,,,,,,0,,,
Salernitana (2 stagioni),,1 campionato,,32.7,76,40,49,22,5,35,66,"53,0",31,43,17,26,37,113,91,0,
FC Bayern U17 (2 stagioni),,1 campionato,,10.0,,,,,,,,,,,,,,0,,,
Bayern Munich II (1 stagione),,1 campionato,,3.4,,3,,,,,,,,,,,4,0,,,
RB Salzburg (1 stagione),,1 campionato,,2.7,,1,,,,,,,,,,,6,0,,,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (3 stagioni),,,,31.8,71,46,43,22,6,45,65,"69,2",20,34,14,20,28,99,67,1,
U19 Bundesliga (3 stagioni),,,,36.1,,,,,,,,,,,,,,0,,,
Serie A (2 stagioni),,,,32.7,76,40,49,22,5,35,66,"53,0",31,43,17,26,37,113,91,0,
U17 Bundesliga (2 stagioni),,,,10.0,,,,,,,,,,,,,,0,,,
3. Liga (1 stagione),,,,3.4,,3,,,,,,,,,,,4,0,,,
Bundesliga (1 stagione),,,,2.7,,1,,,,,,,,,,,6,0,,,
