,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Nice (3 stagioni),Bayern U19 (3 stagioni),Salernitana (2 stagioni),FC Bayern U17 (2 stagioni),Bayern Munich II (1 stagione),RB Salzburg (1 stagione),,Ligue 1 (3 stagioni),U19 Bundesliga (3 stagioni),Serie A (2 stagioni),U17 Bundesliga (2 stagioni),3. Liga (1 stagione),Bundesliga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2016-2017,15,FC Bayern U17,de GER,Jr. U17 Bundesliga,5°,1.3,,,,,,,,,,,,,,,,,,,,,,,,Partite
2017-2018,16,FC Bayern U17,de GER,Jr. U17 Bundesliga,4°,8.7,,,,,,,,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Bayern U19,de GER,Jr. U19 Bundesliga,3°,2.8,,,,,,,,,,,,,,,,,,,,,,,,Partite
2018-2019,17,Bayern U19,de GER,Jr. U19 Bundesliga,13°,17.3,,,,,,,,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern U19,de GER,Jr. U19 Bundesliga,3°,16.0,,,,,,,,,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern Munich II,de GER,3. 3. Liga,1°,3.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2020-2021,19,Nice,fr FRA,1. Ligue 1,9°,16.4,981,1117,"87,8",17809,6646,402,433,"92,8",497,535,"92,9",76,127,"59,8",0,0.4,0.5,-0.4,3,88,4,1,102,Partite
2021-2022,20,Nice,fr FRA,1. Ligue 1,5°,14.4,771,877,"87,9",13635,4959,302,335,"90,1",401,441,"90,9",56,77,"72,7",0,0.1,0.2,-0.1,3,38,3,2,63,Partite
2022-2023,21,Nice,fr FRA,1. Ligue 1,9°,1.0,57,63,"90,5",787,259,35,38,"92,1",15,16,"93,8",3,4,"75,0",0,0.1,0.0,-0.1,1,1,1,1,4,Partite
2022-2023,21,Salernitana,it ITA,1. Serie A,15°,24.4,969,1127,"86,0",18211,7113,377,415,"90,8",475,524,"90,6",101,153,"66,0",2,0.5,0.2,+1.5,7,56,2,0,70,Partite
2023-2024,22,Salernitana,it ITA,1. Serie A,20°,8.3,350,411,"85,2",5932,2368,157,180,"87,2",157,170,"92,4",27,39,"69,2",0,0.2,0.1,-0.2,5,31,2,0,37,Partite
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,1°,2.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
5 stagioni,4 club,,4 campionati,,70.6,3128,3595,"87,0",56374,21345,1273,1401,"90,9",1545,1686,"91,6",263,400,"65,8",2,1.4,1.1,+0.6,19,214,12,4,276,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Nice (3 stagioni),,1 campionato,,31.8,1809,2057,"87,9",32231,11864,739,806,"91,7",913,992,"92,0",135,208,"64,9",0,0.6,0.8,-0.6,7,127,8,4,169,
Bayern U19 (3 stagioni),,1 campionato,,36.1,,,,,,,,,,,,,,,,,,,,,,,,
Salernitana (2 stagioni),,1 campionato,,32.7,1319,1538,"85,8",24143,9481,534,595,"89,7",632,694,"91,1",128,192,"66,7",2,0.8,0.4,+1.2,12,87,4,0,107,
FC Bayern U17 (2 stagioni),,1 campionato,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Bayern Munich II (1 stagione),,1 campionato,,3.4,,,,,,,,,,,,,,,0,,,,,,,,,
RB Salzburg (1 stagione),,1 campionato,,2.7,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (3 stagioni),,,,31.8,1809,2057,"87,9",32231,11864,739,806,"91,7",913,992,"92,0",135,208,"64,9",0,0.6,0.8,-0.6,7,127,8,4,169,
U19 Bundesliga (3 stagioni),,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,32.7,1319,1538,"85,8",24143,9481,534,595,"89,7",632,694,"91,1",128,192,"66,7",2,0.8,0.4,+1.2,12,87,4,0,107,
U17 Bundesliga (2 stagioni),,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga (1 stagione),,,,3.4,,,,,,,,,,,,,,,0,,,,,,,,,
Bundesliga (1 stagione),,,,2.7,,,,,,,,,,,,,,,0,,,,,,,,,
