,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Nice (3 stagioni),Bayern U19 (3 stagioni),Salernitana (2 stagioni),FC Bayern U17 (2 stagioni),Bayern Munich II (1 stagione),RB Salzburg (1 stagione),,Ligue 1 (3 stagioni),U19 Bundesliga (3 stagioni),Serie A (2 stagioni),U17 Bundesliga (2 stagioni),3. Liga (1 stagione),Bundesliga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,15,FC Bayern U17,de GER,Jr. U17 Bundesliga,5°,1.3,,,,,,,,,,,,,,,,Partite
2017-2018,16,FC Bayern U17,de GER,Jr. U17 Bundesliga,4°,8.7,,,,,,,,,,,,,,,,Partite
2017-2018,16,Bayern U19,de GER,Jr. U19 Bundesliga,3°,2.8,,,,,,,,,,,,,,,,Partite
2018-2019,17,Bayern U19,de GER,Jr. U19 Bundesliga,13°,17.3,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern U19,de GER,Jr. U19 Bundesliga,3°,16.0,,,,,,,,,,,,,,,,Partite
2019-2020,18,Bayern Munich II,de GER,3. 3. Liga,1°,3.4,,,,,,,0,,,,,,,,,Partite
2020-2021,19,Nice,fr FRA,1. Ligue 1,9°,16.4,1117,1058,59,16,0,14,2,43,0,0,0,0,981,0,9,Partite
2021-2022,20,Nice,fr FRA,1. Ligue 1,5°,14.4,877,781,96,16,0,7,7,80,0,0,0,0,771,0,5,Partite
2022-2023,21,Nice,fr FRA,1. Ligue 1,9°,1.0,63,50,13,2,0,1,2,11,0,0,0,0,57,0,1,Partite
2022-2023,21,Salernitana,it ITA,1. Serie A,15°,24.4,1127,1078,46,37,0,10,0,9,0,0,0,0,969,3,11,Partite
2023-2024,22,Salernitana,it ITA,1. Serie A,20°,8.3,411,368,41,11,1,4,1,30,0,0,0,0,350,2,8,Partite
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,1°,2.7,,,,,,,2,,,,,,,,,Partite
5 stagioni,4 club,,4 campionati,,70.6,3595,3335,255,82,1,36,14,173,0,0,0,0,3128,5,34,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Nice (3 stagioni),,1 campionato,,31.8,2057,1889,168,34,0,22,11,134,0,0,0,0,1809,0,15,
Bayern U19 (3 stagioni),,1 campionato,,36.1,,,,,,,,,,,,,,,,
Salernitana (2 stagioni),,1 campionato,,32.7,1538,1446,87,48,1,14,1,39,0,0,0,0,1319,5,19,
FC Bayern U17 (2 stagioni),,1 campionato,,10.0,,,,,,,,,,,,,,,,
Bayern Munich II (1 stagione),,1 campionato,,3.4,,,,,,,0,,,,,,,,,
RB Salzburg (1 stagione),,1 campionato,,2.7,,,,,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (3 stagioni),,,,31.8,2057,1889,168,34,0,22,11,134,0,0,0,0,1809,0,15,
U19 Bundesliga (3 stagioni),,,,36.1,,,,,,,,,,,,,,,,
Serie A (2 stagioni),,,,32.7,1538,1446,87,48,1,14,1,39,0,0,0,0,1319,5,19,
U17 Bundesliga (2 stagioni),,,,10.0,,,,,,,,,,,,,,,,
3. Liga (1 stagione),,,,3.4,,,,,,,0,,,,,,,,,
Bundesliga (1 stagione),,,,2.7,,,,,,,2,,,,,,,,,
